PHI;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
;Replacements;;;;;;;;;X
325001;Head of State;마누엘 L. 케손 ;1933;1964;1999;SL;Die-hard Reformer;High;M50001;X
325002;Head of Government;세르히오 오스메냐 ;1933;1964;1999;SL;Silent Workhorse;High;M50002;X
325003;Foreign Minister;킨틴 파레데스 ;1933;1964;1999;SL;Apologetic Clerk;Low;M50003;X
325004;Minister of Armament;엘피디오 키리노 ;1933;1964;1999;SL;laissez-faire capitalist;Medium;M50004;X
325005;Minister of Security;호세 율로 ;1933;1964;1999;SL;Compassionate Gentleman;Medium;M50005;X
325006;Head of Military Intelligence;베니토 N. 에부엔 ;1933;1964;1999;SL;Logistics Specialist;High;M50006;X
325007;Chief of Staff;파울리노 산토스 ;1933;1964;1999;SL;School of Psychology;Medium;M50007;X
325008;Chief of Army;레온시오 S. 탄 ;1933;1964;1999;SL;Guns and Butter Doctrine;Very High;M50008;X
325009;Chief of Navy;산티아고 누발 ;1933;1964;1999;SL;Open Seas Doctrine;Medium;M50009;X
325010;Chief of Air Force;펠라히오 크루스 ;1933;1964;1999;SL;Army Aviation Doctrine;Medium;M50010;X
325011;Head of State;엘피디오 키리노 ;1933;1964;1999;SC;Pig-headed Isolationist;High;M50004;X
325012;Head of State;에밀리오 아기날도 ;1933;1964;1999;SD;Popular Figurehead;High;M50032;X
325013;Head of State;후안 수물롱 ;1941;1964;1999;SD;Barking Buffoon;High;M50033;X
325014;Head of State;세르히오 오스메냐 ;1944;1964;1999;SL;Stern Imperialist;High;M50002;X
325015;Head of State;마누엘 록사스 ;1945;1964;1999;SL;Resigned Generalissimo;High;M50035;X
325016;Head of Government;엘피디오 키리노 ;1933;1964;1999;SC;Silent Workhorse;High;M50004;X
325017;Head of Government;라펠 리나왁 ;1933;1964;1999;SD;Political Protege;High;M50037;X
325018;Head of Government;후안 수물롱 ;1941;1964;1999;SD;Happy Amateur;High;M50033;X
325019;Foreign Minister;마누엘 L. 케손 ;1937;1964;1999;SL;the cloak n dagger schemer;High;M50001;X
325020;Foreign Minister;호아킨 엘리살데 ;1938;1964;1999;SL;Great Compromiser;High;M50040;X
325021;Foreign Minister;세르히오 오스메냐 ;1939;1964;1999;SL;Iron Fisted Brute;Low;M50002;X
325022;Foreign Minister;마누엘 콰드리노 ;1940;1964;1999;SL;Biased Intellectual;Very Low;M50042;X
325023;Foreign Minister;후안 수물롱 ;1941;1964;1999;SD;Biased Intellectual;Medium;M50033;X
325024;Foreign Minister;엘피디오 키리노 ;1933;1964;1999;SC;Ideological Crusader;Medium;M50004;X
325025;Foreign Minister;페르디난드 마르코스 ;1945;1964;1999;SC;Iron Fisted Brute;Medium;M50013;X
325026;Foreign Minister;에밀리오 아기날도 ;1933;1964;1999;SD;Ideological Crusader;Medium;M50032;X
325027;Minister of Armament;안토니오 데 라스 알라스 ;1933;1964;1999;SL;laissez-faire capitalist;Low;M50014;X
325028;Minister of Armament;라펠 리나왁 ;1933;1964;1999;SD;Submarine Proponent;Medium;M50037;X
325029;Minister of Armament;마누엘 록사스 ;1938;1964;1999;SC;Air to Sea Proponent;Medium;M50035;X
325030;Minister of Armament;마누엘 콰드리노 ;1941;1964;1999;SL;Corrupt Kleptocrat;Very Low;M50042;X
325031;Minister of Armament;세라핀 파우스토 ;1941;1964;1999;SC;Administrative Genius;Medium;M50051;X
325032;Minister of Armament;카를로스 P. 가르시아 ;1941;1964;1999;SD;Battle Fleet Proponent;Medium;M50052;X
325033;Minister of Armament;호세 G. 다비드 ;1942;1964;1999;SC;Resource Industrialist;Medium;M50053;X
325034;Minister of Armament;라몬 막사이사이 ;1945;1964;1999;SC;Tank Proponent;Medium;M50054;X
325035;Minister of Armament;디오스다도 P. 마카파갈 ;1945;1964;1999;SD;Military Entrepreneur;Medium;M50055;X
325036;Minister of Security;파르도 데 타베라 ;1933;1964;1999;SD;Prince of Terror;Medium;M50056;X
325037;Minister of Security;레온시오 S. 탄 ;1938;1964;1999;SL;Back Stabber;High;M50008;X
325038;Minister of Security;로만 아폴리나리오 ;1939;1964;1999;SL;Man of the People;Medium;M50058;X
325039;Minister of Security;티라노 크라베사 ;1940;1964;1999;SC;Efficient Sociopath;Low;M50059;X
325040;Minister of Security;테오필로 시손 ;1941;1964;1999;SC;Compassionate Gentleman;Medium;M50060;X
