PRU;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
;Replacements;;;;;;;;;X
185001;Head of State;오스카르 베나비데스 ;1933;1964;1999;PA;Resigned Generalissimo;High;M39001;X
185002;Head of Government;마누엘 에스테반 ;1933;1964;1999;PA;Old General;High;M39002;X
185003;Foreign Minister;알베르토 우요아 소토마요르 ;1933;1964;1999;PA;Iron Fisted Brute;Medium;M39003;X
185004;Minister of Armament;에르네스토 스크로스 ;1933;1964;1999;PA;Battle Fleet Proponent;Medium;M39004;X
185005;Minister of Security;루이스 산체스 세로 ;1933;1964;1999;PA;Back Stabber;Medium;M39005;X
185006;Head of Military Intelligence;오스카르 힐라르디 ;1933;1964;1999;PA;Technical Specialist;Very Low;M39006;X
185007;Chief of Staff;구스타보 히메네스 ;1933;1964;1999;PA;School of Psychology;Medium;M39007;X
185008;Chief of Army;오스카르 베나비데스 ;1933;1964;1999;PA;Static Defence Doctrine;Medium;M39001;X
185009;Chief of Navy;에르네스토 스크로스 ;1933;1964;1999;PA;Open Seas Doctrine;Medium;M39004;X
185010;Chief of Air Force;파울 데 보디에스 ;1933;1964;1999;PA;Army Aviation Doctrine;Medium;M39010;X
185011;Head of State;오스카르 베나비데스 ;1933;1964;1999;SC;Resigned Generalissimo;High;M39001;X
185012;Head of State;마누엘 프라도 우가르테체 ;1939;1964;1999;SC;Autocratic Charmer;High;M39032;X
185013;Head of State;호세 부스타만테 ;1945;1964;1999;ML;Benevolent Gentleman;High;M39033;X
185014;Head of State;아우구스토 레구이아 ;1933;1964;1999;LWR;Powerhungry Demagogue;High;M39034;X
185015;Head of State;레이날도 비나테아 ;1939;1964;1999;SD;Barking Buffoon;High;M39035;X
185016;Head of State;엘로이 G. 우레타 ;1945;1964;1999;SD;Resigned Generalissimo;High;M39036;X
185017;Head of Government;에르네스토 산체스 ;1933;1964;1999;SC;Smiling Oilman;High;M39037;X
185018;Head of Government;아우구스토 레구이아 ;1933;1964;1999;LWR;Happy Amateur;High;M39034;X
185019;Head of Government;알프레도 솔프 무로 ;1939;1964;1999;SC;Naive Optimist;High;M39039;X
185020;Head of Government;오스카 미로 케사다 ;1939;1964;1999;SD;Silent Workhorse;High;M39040;X
