QUE;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
;Replacements;;;;;;;;;X
740001;Head of State;루이 나폴레옹 ;1933;1964;1999;PA;Autocratic Charmer;High;M582001;X
740002;Head of Government;아델라르 고드보 ;1933;1964;1999;PA;Naive Optimist;High;M582002;X
740003;Foreign Minister;다비드 로 ;1933;1964;1999;PA;The Cloak N Dagger Schemer;High;M582003;X
740004;Minister of Armament;로맹 바리에르 ;1933;1964;1999;PA;Battle Fleet Proponent;Medium;M582004;X
740005;Minister of Security;자크 모로 ;1933;1964;1999;PA;Man of the People;Medium;M582005;X
740006;Head of Military Intelligence;피에르 라 리베르테 ;1933;1964;1999;PA;Industrial Specialist;Medium;M582006;X
740007;Chief of Staff;피에르 부테 ;1933;1964;1999;PA;School of Psychology;Medium;L52008;X
740008;Chief of Army;피에르 르클레르 ;1933;1964;1999;PA;Guns and Butter Doctrine;Medium;L52035;X
740009;Chief of Navy;앙투안 파웰 ;1933;1964;1999;PA;Open Seas Doctrine;Medium;M582009;X
740010;Chief of Air Force;장 가브리엘 퓔츠 ;1933;1964;1999;PA;Naval Aviation Doctrine;Medium;L52103;X
