ROM;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
;Replacements;;;;;;;;;X
110001;Head of State;카롤 2세 ;1933;1964;1999;SC;Benevolent Gentleman;High;M22001;X
110002;Head of Government;게오르게 타타레스쿠 ;1919;1964;1999;SC;Silent Workhorse;High;M22002;X
110003;Foreign Minister;니콜라에 티툴레스쿠 ;1912;1964;1999;SC;Great Compromiser;Medium;M22003;X
110004;Minister of Armament;콘스탄틴 I.C. 브라티아누 ;1933;1964;1999;SC;Resource Industrialist;High;M22004;X
110005;Minister of Security;이스트라테 미체스쿠 ;1918;1964;1999;SC;Silent Lawyer;Medium;M22005;X
110006;Head of Military Intelligence;미하일 모루조브 ;1917;1964;1999;SC;Logistics Specialist;Very High;M22006;X
110007;Chief of Staff;이온 안토네스쿠 ;1933;1964;1999;SC;School of Psychology;High;M22007;X
110008;Chief of Army;마린 체아우수 ;1933;1964;1999;SC;Static Defence Doctrine;Low;M22008;X
110009;Chief of Navy;니콜라에 카란피르 ;1933;1964;1999;SC;Decisive Naval Battle Doctrine;Low;M22009;X
110010;Chief of Air Force;단테 비잔테 ;1933;1964;1999;SC;Air Superiority Doctrine;Medium;M22010;X
110011;Head of State;카롤 2세 ;1933;1964;1999;SL;Benevolent Gentleman;High;M22001;X
110012;Head of State;카롤 2세 ;1933;1964;1999;PA;Benevolent Gentleman;High;M22001;X
110013;Head of State;미하이 1세 ;1927;1964;1999;SC;Insignificant Layman;High;M22011;X
110014;Head of State;미하이 1세 ;1927;1964;1999;PA;Insignificant Layman;High;M22011;X
110016;Head of State;코르넬리우 코드레아누 ;1933;1964;1999;NS;Powerhungry Demagogue;High;2985;X
110018;Head of State;호리아 시마 ;1939;1964;1999;NS;Insignificant Layman;High;M22054;X
110017;Head of State;루크레티우 파트라스카누 ;1931;1964;1999;LE;Die-hard Reformer;High;2986;X
