RUS;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
515001;Head of State;안드레이 블라소프 ;1933;1964;1999;NS;Resigned Generalissimo;High;M4090;X
515002;Head of State;알렉산드르 케렌스키 ;1933;1964;1999;SC;Die-hard Reformer;High;3030;X
515003;Head of Government;표트르 브랑겔 ;1925;1930;1999;PA;Old General;High;3956;X
515004;Head of Government;가롤드 그라프 ;1925;1964;1999;PA;silent workhorse;High;9314;X
515005;Head of Government;알렉산더 폰 람페 ;1925;1967;1999;PA;old general;High;5628;X
515006;Head of Government;콘스탄틴 로드자옙스키 ;1925;1964;1999;FA;Local tyrant;High;9311;X
515007;Head of Government;안톤 데니킨 ;1925;1947;1999;PA;Old General;High;L500009;X
515008;Head of Government;라브르 코르닐로프 ;1925;1933;1999;PA;Old General;High;L500046;X
515009;Head of Government;니콜라이 압크셴체프 ;1925;1943;1999;SD;happy amateur;High;8902;X
515010;Head of Government;파벨 밀류코프 ;1925;1943;1999;ML;silent workhorse;Very High;3054;X
515011;Head of Government;게오르기 질렌코프 ;1933;1946;1999;FA;Silent Workhorse;High;M4081;X
515012;Head of Government;안드레이 블라소프 ;1933;1964;1999;NS;old general;High;M4090;X
515013;Foreign Minister;보리스 놀데 ;1925;1948;1999;SL;apologetic clerk;High;9204;X
515014;Foreign Minister;세르게이 코틀랴렙스키 ;1925;1939;1999;SL;great compromiser;High;9199;X
515015;Foreign Minister;모세 아졔모프 ;1925;1950;1999;SL;the cloak n dagger schemer;High;9207;X
515016;Foreign Minister;예브게니 발라빈 ;1925;1964;1999;PA;general staffer;High;9310;X
515017;Foreign Minister;가롤드 그라프 ;1925;1964;1999;PA;great compromiser;High;9314;X
515018;Foreign Minister;안드레이 대공 ;1925;1956;1999;SC;biased intellectual;High;4451;X
515019;Foreign Minister;콘스탄틴 로드자옙스키 ;1925;1964;1999;FA;iron fisted brute;High;9311;X
515020;Foreign Minister;알렉산드르 가드 ;1925;1964;1999;SL;Great Compromiser;High;9322;X
515021;Foreign Minister;콘스탄틴 보스코보이니크 ;1925;1964;1999;NS;ideological crusader;High;9312;X
515022;Foreign Minister;니콜라이 압크셴체프 ;1925;1943;1999;SD;apologetic clerk;High;8902;X
515023;Foreign Minister;표도르 보가치르축 ;1933;1964;1999;FA;Iron Fisted Brute;High;9193;X
515024;Foreign Minister;안드레이 알렉산드로비치 공 ;1940;1980;1999;SC;the cloak n dagger schemer;High;9317;X
515025;Minister of Armament;페트르 유레녜프 ;1925;1943;1999;SL;resource industrialist;High;9203;X
515026;Minister of Armament;미하일 사바쉬니코프 ;1925;1943;1999;SL;laissez-faire capitalist;High;9197;X
515027;Minister of Armament;블라디미르 베르나드스키 ;1925;1945;1999;SL;theoretical scientist;High;9200;X
515028;Minister of Armament;니카노르 사비치 ;1925;1942;1999;SC;infantry proponent;High;9205;X
515029;Minister of Armament;알렉세이 자예프 ;1925;1964;1999;SL;battle fleet proponent;High;5701;X
515030;Minister of Armament;콘스탄틴 보스코보이니크 ;1925;1964;1999;NS;resource industrialist;High;9312;X
515031;Minister of Armament;뱌체슬라프 바라노프 ;1925;1964;1999;SL;air superiority proponent;High;9319;X
515032;Minister of Armament;미하일 멘드로프 ;1933;1964;1999;FA;tank proponent;Very High;3027;X
515033;Minister of Armament;빅토르 말체프 ;1933;1964;1999;NS;air to ground proponent;High;9195;X
515034;Minister of Armament;보리스 멘샤긴 ;1933;1964;1999;NS;resource industrialist;High;9196;X
515035;Minister of Armament;세르게이 볼디레프 ;1933;1964;1999;NS;tank proponent;High;9208;X
515036;Minister of Armament;세묜 비치코프 ;1940;1964;1999;FA;air superiority proponent;High;9316;X
515037;Minister of Security;요시프 게젠 ;1925;1943;1999;SL;crime fighter;High;9202;X
515038;Minister of Security;알렉산더 폰 람페 ;1925;1967;1999;PA;back stabber;High;5628;X
515039;Minister of Security;콘스탄틴 보스코보이니크 ;1925;1964;1999;NS;crime fighter;High;9312;X
515040;Minister of Security;니카노르 사비치 ;1925;1942;1999;SC;compassionate gentleman;High;9205;X
515041;Minister of Security;빅토르 바이다라코프 ;1925;1964;1999;PA;Silent Lawyer;High;9320;X
515042;Minister of Security;보리스 게르슌;1925;1959;1999;SL;crime fighter;High;9318;X
515043;Minister of Security;펠릭스 유수포프 ;1925;1967;1999;PA;Back Stabber;Very High;M4112;X
515044;Minister of Security;이라킬 체레텔리 ;1925;1959;1999;SL;Silent Lawyer;High;3088;X
515045;Minister of Security;드미트리 자쿠트니 ;1930;1964;1999;NS;man of the people;High;9315;X
