SAF;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
;Replacements;;;;;;;;;X
425001;Head of State;G.H.H. 빌러스 ;1931;1964;1999;ML;Stern Imperialist;High;M70001;X
425002;Head of Government;J.B.M. 헤르초흐 ;1933;1964;1999;ML;Old General;High;M70002;X
425003;Foreign Minister;J.B.M. 헤르초흐 ;1933;1964;1999;ML;General Staffer;Very High;M70002;X
425004;Minister of Armament;니콜라스 하벵아 ;1933;1964;1999;ML;Laissez-Faire Capitalist;Very High;M70004;X
425005;Minister of Security;얀 C. 스뮈츠 ;1933;1964;1999;ML;Man of the People;High;M70005;X
425006;Head of Military Intelligence;얀 C. 스뮈츠 ;1933;1964;1999;ML;Logistics Specialist;Medium;M70005;X
425007;Chief of Staff;피에르 판 리네벨트 ;1933;1964;1999;ML;School of Manoeuvre;Very High;M70007;X
425008;Chief of Army;얀 C. 스뮈츠 ;1933;1964;1999;ML;Armoured Spearhead Doctrine;Very High;M70005;X
425009;Chief of Navy;피에르 올리버 놀 ;1933;1964;1999;ML;Open Seas Doctrine;Very High;M70009;X
425010;Chief of Air Force;피에르 판 리네벨트 ;1933;1964;1999;ML;Air Superiority Doctrine;Very High;M70007;X
425011;Head of State;G.H.H. 빌러스 ;1931;1964;1999;SC;Stern Imperialist;High;M70001;X
425012;Head of State;패트릭 던컨 ;1937;1964;1999;ML;Autocratic Charmer;High;M70023;X
425013;Head of State;패트릭 던컨 ;1937;1964;1999;SC;Autocratic Charmer;High;M70023;X
425014;Head of State;니콜라스 J. 더 벳 ;1943;1964;1999;SC;Insignificant Layman;High;M70025;X
425015;Head of State;니콜라스 J. 더 벳 ;1943;1964;1999;ML;Insignificant Layman;High;M70025;X
425016;Head of State;히데온 B. 판 질 ;1947;1964;1999;ML;Pig-headed Isolationist;High;M70027;X
425017;Head of State;히데온 B. 판 질 ;1947;1964;1999;SC;Pig-headed Isolationist;High;M70027;X
425018;Head of Government;D.F. 말란 ;1933;1964;1999;SC;Flamboyant Tough Guy;High;M70029;X
425019;Head of Government;얀 C. 스뮈츠 ;1938;1964;1999;ML;Backroom Backstabber;High;M70005;X
425020;Foreign Minister;헤르트 크로니 e;1933;1964;1999;PA;Iron Fisted Brute;High;M70031;X
425021;Foreign Minister;에릭 H. 라우 ;1933;1964;1999;SC;Biased Intellectual;Very High;M70032;X
425022;Foreign Minister;레지널드 블란켄버그 ;1937;1964;1999;SC;Biased Intellectual;High;M70033;X
425023;Foreign Minister;그레험 보타 ;1938;1964;1999;ML;Apologetic Clerk;High;M70034;X
425024;Foreign Minister;얀 C. 스뮈츠 ;1919;1964;1999;ML;Ideological Crusader;Very High;M70005;X
425025;Foreign Minister;E.G. 얀선 ;1941;1964;1999;ML;Great Compromiser;High;M70036;X
425026;Foreign Minister;피에르 판 리네벨트 ;1941;1964;1999;SC;General Staffer;Very High;M70007;X
425027;Foreign Minister;L.J. 뒤 플레시스 ;1943;1964;1999;PA;Ideological Crusader;High;M70013;X
425028;Foreign Minister;D.F. 말란 ;1943;1964;1999;SC;The Cloak N Dagger Schemer;medium;M70029;X
425029;Minister of Armament;C. 더 베인뷔르흐 ;1933;1964;1999;PA;Tank Proponent;Medium;M70015;X
425030;Minister of Armament;J.G. 스트레이돔 ;1937;1964;1999;PA;Resource Industrialist;Very High;M70041;X
425031;Minister of Armament;J.B.M. 헤르초흐 ;1938;1964;1999;ML;Infantry Proponent;Very High;M70002;X
425032;Minister of Armament;S.P. 르 루 ;1938;1964;1999;ML;Administrative Genius;Low;M70043;X
425033;Minister of Armament;H.J. 판 데르 빌 ;1939;1964;1999;ML;Theoretical Scientist;Very High;M70045;X
425034;Minister of Armament;W.E. 마들레이 ;1939;1964;1999;ML;Administrative Genius;High;M70046;X
425035;Minister of Armament;아돌프 말란 ;1940;1964;1999;ML;Air to Ground Proponent;Low;M70047;X
425036;Minister of Armament;찰스 T. 워터 ;1941;1964;1999;ML;Resource Industrialist;High;M70048;X
425037;Minister of Armament;오스왈드 피로우 ;1941;1964;1999;PA;Military Entrepreneur;Medium;M70014;X
425038;Minister of Armament;코르넬리스 판 자위헨브로허 ;1942;1964;1999;SC;Submarine Proponent;Very High;M70050;X
425039;Minister of Armament;피에르 올리버 놀 ;1943;1964;1999;SC;Battle Fleet Proponent;Very High;M70009;X
425040;Minister of Armament;P.O. 사우어르 ;1943;1964;1999;SC;laissez-faire capitalist;Very High;M70052;X
425041;Minister of Armament;마리뉘스 판 오스테르캄프 ;1945;1964;1999;SC;Air to Sea Proponent;Low;M70053;X
425042;Minister of Security;헨드릭 F. 페르부르트 ;1933;1964;1999;SC;Prince of Terror;High;M70055;X
425043;Minister of Security;N.J. 판 데르 메르버 ;1933;1964;1999;SC;Compassionate Gentleman;High;M70056;X
425044;Minister of Security;C.R. 스바르트 ;1937;1964;1999;SC;Silent Lawyer;Very High;M70057;X
425045;Minister of Security;C.F. 스탈라르트 ;1938;1964;1999;ML;Silent Lawyer;High;M70058;X
425046;Minister of Security;T.E. 됭어스 ;1938;1964;1999;SC;Man of the People;High;M70059;X
425047;Minister of Security;D.F. 말란 ;1938;1964;1999;SC;Crime Fighter;Low;M70029;X
425048;Minister of Security;E.G. 얀선 ;1939;1964;1999;ML;Silent Lawyer;High;M70036;X
425049;Minister of Security;J.G. 스트레이돔 ;1940;1964;1999;SC;Back Stabber;Very High;M70041;X
425050;Minister of Security;F.C. 에라스뮈스 ;1941;1964;1999;SC;Efficient Sociopath;Very High;M70063;X
425051;Minister of Security;C. 더 베인뷔르흐 ;1943;1964;1999;PA;Crime Fighter;Medium;M70015;X
425052;Head of Military Intelligence;B.J. 슈먼 ;1933;1964;1999;SC;Logistics Specialist;Medium;M70065;X
425053;Head of Military Intelligence;예아노 더 라 타우리르 ;1939;1964;1999;SC;Naval Intelligence Specialist;Very High;M70066;X
425054;Head of Military Intelligence;시모어 재클린 ;1940;1964;1999;PA;Political Specialist;Medium;M70016;X
425055;Head of Military Intelligence;에릭 H. 라우 ;1943;1964;1999;SC;Technical Specialist;Very High;M70032;X
425056;Head of Military Intelligence;C.R. 스바르트 ;1943;1964;1999;SC;Dismal Enigma;Very High;M70057;X
425057;Head of Military Intelligence;니콜라스 하벵아 ;1945;1964;1999;SC;Industrial Specialist;Very High;M70004;X
425058;Chief of Staff;제임스 미첼 베이커 ;1937;1964;1999;SC;School of Manoeuvre;Medium;M70071;X
425059;Chief of Staff;레오너드 바이어스 ;1940;1964;1999;SC;School of Defence;Medium;M70072;X
425060;Chief of Staff;C. 더 베인뷔르흐 ;1943;1964;1999;PA;School of Fire Support;Medium;M70015;X
425061;Chief of Staff;얀 C. 스뮈츠 ;1944;1964;1999;ML;School of Mass Combat;High;M70005;X
425062;Chief of Staff;로버트 팔머 ;1944;1964;1999;SC;School of Psychology;High;M70075;X
425063;Chief of Army;요수아 F. 나우더 ;1933;1964;1999;SC;Guns and Butter Doctrine;Very High;M70076;X
425064;Chief of Army;제임스 미첼 베이커 ;1939;1964;1999;ML;Decisive Battle Doctrine;Medium;M70071;X
425065;Chief of Army;C. 더 베인뷔르흐 ;1942;1964;1999;PA;Armoured Spearhead Doctrine;Medium;M70015;X
425066;Chief of Army;레오너드 바이어스 ;1943;1964;1999;SC;Static Defence Doctrine;Medium;M70072;X
425067;Chief of Army;피에르 판 리네벨트 ;1943;1964;1999;ML;Elastic Defence Doctrine;Very High;M70007;X
425068;Chief of Army;프랑수아 테론 ;1946;1964;1999;SC;Armoured Spearhead Doctrine;Medium;M70081;X
425069;Chief of Navy;예아노 더 라 타우리르 ;1933;1964;1999;SC;Decisive Naval Battle Doctrine;Very High;M70066;X
425070;Chief of Navy;코르넬리스 판 자위헨브로허 ;1938;1964;1999;SC;Indirect Approach Doctrine;Very High;M70050;X
425071;Chief of Air Force;크리스토펄 펜터르 ;1940;1964;1999;ML;Vertical Envelopment Doctrine;Very High;M70084;X
425072;Chief of Air Force;아돌프 말란 ;1941;1964;1999;SC;Army Aviation Doctrine;Low;M70047;X
425073;Chief of Air Force;마리뉘스 판 오스테르캄프 ;1941;1964;1999;SC;Naval Aviation Doctrine;Low;M70053;X
425074;Chief of Air Force;S.P. 르 루 ;1943;1964;1999;ML;Vertical Envelopment Doctrine;Low;M70043;X
425075;Head of State;J. F. 판 렌스뷔르흐 ;1933;1964;1999;FA;Resigned Generalissimo;High;M70011;X
425076;Head of Government;J. F. 판 렌스뷔르흐 ;1933;1964;1999;FA;Old General;High;M70011;X
425077;Head of State;E.G. 얀선 ;1951;1964;1999;SL;Autocratic Charmer;High;M70036;X
425078;Head of State;E.G. 얀선 ;1951;1964;1999;SC;Autocratic Charmer;High;M70036;X
425079;Minister of Armament;얀 C. 스뮈츠 ;1939;1964;1999;ML;Military Entrepreneur;Very High;M70005;X
425080;Minister of Armament;F.C. 에라스뮈스 ;1948;1964;1999;SC;Submarine Proponent;Very High;M70063;X
425081;Minister of Security;H.G. 로렌스 ;1943;1964;1999;ML;Prince of Terror;High;M70092;X
425082;Head of State;C.R. 스바르트 ;1959;1964;1999;SC;Pig-headed Isolationist;High;M70057;X
425083;Head of State;C.R. 스바르트 ;1959;1964;1999;SL;Pig-headed Isolationist;High;M70057;X
425084;Head of Government;J.G. 스트레이돔 ;1954;1964;1999;SC;Backroom Backstabber;High;M70041;X
425085;Head of Government;헨드릭 F. 페르부르트 ;1958;1964;1999;SC;Ambitious Union Boss;High;M70055;X
425086;Head of Government;데이비드 그라프 ;1950;1964;1999;SL;Happy Amateur;High;M70097;X
425087;Foreign Minister;야코뷔스 더 베이르 ;1950;1964;1999;SL;Great Compromiser;Very High;M70098;X
425088;Minister of Armament;F.C. 에라스뮈스 ;1952;1964;1999;SC;laissez-faire capitalist;Low;M70063;X
425089;Minister of Armament;요하네스 J. 파우허 ;1959;1964;1999;SC;Resource Industrialist;Low;M70100;X
425090;Minister of Security;요수아 F. 나우더 ;1958;1964;1999;SC;Compassionate Gentleman;Low;M70076;X
425091;Minister of Security;요하네스 더 클레르크 ;1961;1964;1999;SC;Silent Lawyer;Low;M70102;X
425092;Minister of Security;요수아 F. 나우더 ;1961;1964;1999;SL;Man of the People;High;M70076;X
425093;Chief of Army;안드리스 브링크 ;1920;1933;1999;ML;static defence doctrine;Low;3089;X
425094;Chief of Army;존 콜리어 ;1917;1933;1999;ML;elastic defence doctrine;Low;3090;X
425095;Chief of Army;헨리 러킨 ;1914;1933;1999;SC;static defence doctrine;Low;3091;X
425096;Chief of Army;얀 스뮈츠 ;1914;1933;1999;ML;Decisive Battle Doctrine;Low;3092;X
425097;Chief of Staff;크리스티안 베이어르스 ;1914;1933;1999;FA;School of Mass Combat;Undying;3093;X
425098;Chief of Staff;안드리스 브링크 ;1920;1933;1999;ML;school of defence;Undying;3089;X
425099;Chief of Staff;존 콜리어 ;1917;1933;1999;ML;School of Psychology;Undying;3090;X
425100;Chief of Staff;헨리 러킨 ;1914;1933;1999;SC;school of defence;Undying;3091;X
425101;Chief of Staff;얀 스뮈츠 ;1914;1933;1999;ML;School of Fire Support;Undying;3092;X
425102;Foreign Minister;루이스 보타 ;1910;1933;1999;ML;Iron Fisted Brute;Very High;3094;X
425103;Foreign Minister;J.B.M. 헤르초흐 ;1914;1933;1999;SC;Biased Intellectual;Very High;3095;X
425104;Foreign Minister;린더 제임슨 ;1914;1933;1999;SL;Apologetic Clerk;Very High;3096;X
425105;Head of Government;루이스 보타 ;1910;1933;1999;ML;Flamboyant Tough Guy;Very High;3094;X
425106;Head of Government;크리스티안 더 베트 ;1914;1933;1999;FA;Flamboyant Tough Guy;Very High;3097;X
425107;Head of Government;J.B.M. 헤르초흐 ;1914;1933;1999;SC;Political Protege;Very High;3095;X
425108;Head of Government;린더 제임슨 ;1914;1933;1999;SL;Political Protege;Very High;3096;X
425109;Head of Military Intelligence;테오도뤼스 트뤼터르 ;1914;1933;1999;ML;Political Specialist;Very High;3098;X
425110;Head of State;크리스티안 더 베트 ;1914;1933;1999;FA;Autocratic Charmer;Very High;3097;X
425111;Head of State;허버트 글래드스톤 ;1910;1933;1999;ML;Stern Imperialist;Very High;3099;X
425112;Head of State;시드니 벅스턴 ;1914;1933;1999;ML;Benevolent Gentleman;Very High;3100;X
425113;Minister of Armament;크리스티안 더 베트 ;1914;1933;1999;FA;Infantry Proponent;High;3097;X
425114;Minister of Armament;다니엘 말란 ;1914;1933;1999;SC;Administrative Genius;High;3101;X
425115;Minister of Armament;얀 스뮈츠 ;1914;1933;1999;ML;Resource Industrialist;High;3092;X
425116;Minister of Security;다니엘 말란 ;1914;1933;1999;SC;Man of the People;Very High;3101;X
