SAR;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
;Replacements;;;;;;;;;X
410001;Head of State;찰스 드 윈트 브루크 ;1933;1964;1999;ML;Resigned Generalissimo;High;M566001;X
410002;Head of Government;올리버 윌킨슨 ;1933;1964;1999;ML;Ambitious Union Boss;High;M566002;X
410003;Foreign Minister;어니스트 코니스턴 ;1933;1964;1999;ML;Great Compromiser;High;M566003;X
410004;Minister of Armament;찰스 존 파이퍼 ;1933;1964;1999;ML;Administrative Genius;Medium;M566004;X
410005;Minister of Security;허버트 러들스턴 ;1933;1964;1999;ML;Man of the People;Medium;M566005;X
410006;Head of Military Intelligence;앤드루 브라운 ;1933;1964;1999;ML;Political Specialist;Medium;M566006;X
410007;Chief of Staff;올리버 모팻 ;1933;1964;1999;ML;School of Manoeuvre;Medium;M566007;X
410008;Chief of Army;올빌 웰즐리 ;1933;1964;1999;ML;Decisive Battle Doctrine;Medium;M566008;X
410009;Chief of Navy;리처드 에번스 ;1933;1964;1999;ML;Open Seas Doctrine;Medium;M566009;X
410010;Chief of Air Force;존 배링턴 ;1933;1964;1999;ML;Carpet Bombing Doctrine;Medium;M566010;X
410011;Head of State;마울라 바하시 ;1933;1964;1999;PA;Ruthless Powermonger;High;M566011;X
410012;Head of Government;하심 마다니 ;1933;1964;1999;PA;Political Protege;High;M566012;X
410013;Foreign Minister;찰스 존 파이퍼 ;1933;1964;1999;PA;Iron Fisted Brute;High;M566004;X
410014;Minister of Armament;존 배링턴 ;1933;1964;1999;PA;Strategic Air Proponent;High;M566010;X
410015;Minister of Security;다니엘 그레인저 ;1933;1964;1999;PA;Compassionate Gentleman;Medium;M566015;X
410016;Head of Military Intelligence;모리스 헨키 ;1933;1964;1999;PA;Dismal Enigma;Medium;M566016;X
410017;Chief of Staff;탄 스리 후세인 ;1933;1964;1999;PA;School of Psychology;Medium;M566017;X
410018;Chief of Army;아키르 울 자만 ;1933;1964;1999;PA;Guns and Butter Doctrine;Medium;M566018;X
410019;Chief of Navy;안와르 빈 무하메드 ;1933;1964;1999;PA;Decisive Naval Battle Doctrine;Medium;M566019;X
410020;Chief of Air Force;압둘라 아흐메드 ;1933;1964;1999;PA;Naval Aviation Doctrine;Medium;M566020;X
