SER;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
;Replacements;;;;;;;;;X
415001;Head of State;밀란 네디치 ;1933;1964;1999;FA;Resigned Generalissimo;High;8435;X
415002;Head of Government;드라기사 베토비치 ;1933;1964;1999;FA;Corporate Suit;High;M20032;X
415003;Foreign Minister;두산 시모비치 ;1933;1964;1999;FA;Ideological Crusader;High;8435;X
415004;Minister of Armament;슬로보단 요바노비치 ;1933;1964;1999;FA;Military Entrepreneur;Medium;M20034;X
415005;Minister of Security;밀로스 트리푸노비치 ;1933;1964;1999;FA;Efficient Sociopath;Medium;M20035;X
415006;Head of Military Intelligence;보지다르 푸리치 ;1933;1964;1999;FA;Technical Specialist;Medium;M20043;X
415007;Chief of Staff;마르코 보조비치 ;1933;1964;1999;FA;School of Manoeuvre;Medium;L46002;X
415008;Chief of Army;밀란 네디치 ;1933;1964;1999;FA;Armoured Spearhead Doctrine;Medium;8435;X
415009;Chief of Navy;마리얀 폴리치 ;1933;1964;1999;FA;Decisive Naval Battle Doctrine;Medium;L46046;X
415010;Chief of Air Force;페타르 부크셰비치 ;1933;1964;1999;FA;Army Aviation Doctrine;Medium;L46062;X
415011;Head of State;요시프 브로즈 티토 ;1933;1964;1999;LWR;Benevolent Gentleman;High;M20021;X
415012;Head of State;코스타 타나조비치 ;1933;1964;1999;ML;Popular Figurehead;High;M547012;X
415013;Head of Government;요시프 브로즈 티토 ;1933;1964;1999;LWR;Happy Amateur;High;M20021;X
415014;Head of Government;이반 수바시치 ;1933;1964;1999;ML;Silent Workhorse;High;M20014;X
415015;Foreign Minister;이시도르 만드레비치 ;1942;1964;1999;FA;The Cloak N Dagger Schemer;Medium;M547015;X
415016;Foreign Minister;스타노예 시미치 ;1933;1964;1999;LWR;Apologetic Clerk;Medium;M20023;X
415017;Foreign Minister;에드바르트 카델 ;1933;1964;1999;ML;Biased Intellectual;Very High;M20047;X
415018;Foreign Minister;드라고미르 비지치 ;1941;1964;1999;ML;Iron Fisted Brute;Very High;M547018;X
415019;Minister of Armament;미호빌 토만들 ;1942;1964;1999;FA;Air Superiority Proponent;Medium;M547019;X
415020;Minister of Armament;밀렌티예 포포비치 ;1933;1964;1999;LWR;Corrupt Kleptocrat;High;M20024;X
415021;Minister of Armament;다보린 옌코 ;1942;1964;1999;LWR;Administrative Genius;High;M547021;X
415022;Minister of Armament;라디슬라프 폴리치 ;1933;1964;1999;ML;laissez-faire capitalist;Medium;M20050;X
415023;Minister of Armament;바사 사이로비치 ;1943;1964;1999;ML;Resource Industrialist;Medium;M547023;X
415024;Minister of Security;해럴드 터너 ;1941;1964;1999;FA;Prince of Terror;Medium;M547024;X
415025;Minister of Security;밀류틴 바카르 ;1942;1964;1999;FA;Compassionate Gentleman;Medium;M547025;X
415026;Minister of Security;요다 우도비키 ;1933;1964;1999;LWR;Silent Lawyer;Medium;M547026;X
415027;Minister of Security;드라골류브 스테파니크 ;1933;1964;1999;ML;Crime Fighter;Medium;M20061;X
415028;Minister of Security;밀리틴 미란코비치 ;1939;1964;1999;ML;Man of the People;Medium;M547028;X
415029;Head of Military Intelligence;레오나르드 콘티 ;1941;1964;1999;FA;Political Specialist;Medium;M547029;X
415030;Head of Military Intelligence;라자 코스티치 ;1933;1964;1999;LWR;Industrial Specialist;Medium;M547030;X
415031;Head of Military Intelligence;미하일 미로사예비치 ;1933;1964;1999;ML;Logistics Specialist;Medium;M20068;X
415032;Head of Military Intelligence;바사 지코보크 ;1941;1964;1999;ML;Dismal Enigma;Medium;M547032;X
415033;Chief of Staff;아르사 요바노비치 ;1933;1964;1999;LWR;School of Fire Support;Medium;M20075;X
415034;Chief of Staff;라디보예 얀코비치 ;1933;1964;1999;ML;School of Fire Support;Low;L46012;X
415035;Chief of Army;보리보예 요크시모비치 ;1933;1964;1999;LWR;Guns and Butter Doctrine;High;L46013;X
415036;Chief of Army;미하일로 루키치 ;1933;1964;1999;ML;Elastic Defence Doctrine;High;L46020;X
415037;Chief of Navy;요시프 브로즈 티토 ;1933;1964;1999;LWR;Base Control Doctrine;High;M20029;X
415038;Chief of Navy;보골류브 일리치 ;1933;1964;1999;ML;Open Seas Doctrine;High;L46043;X
415039;Chief of Air Force;요시프 브로즈 티토 ;1933;1964;1999;LWR;Vertical Envelopment Doctrine;Medium;M20028;X
415040;Chief of Air Force;드라고미르 루카셰비치 ;1933;1964;1999;ML;Air Superiority Doctrine;Medium;L46055;X
415041;Chief of Air Force;코스타 밀레티치 ;1914;1933;1999;SC;Army Aviation Doctrine;Very High;3129;X
415042;Chief of Army;지보인 미시치 ;1916;1933;1999;PA;Decisive Battle Doctrine;Very High;3130;X
415043;Chief of Army;미하일로 라시치 ;1918;1933;1999;SC;Decisive Battle Doctrine;Very High;3131;X
415044;Chief of Army;밀로스 바시치 ;1922;1933;1999;SC;Decisive Battle Doctrine;Very High;3132;X
415045;Chief of Army;페타르 페시치 ;1922;1933;1999;PA;Decisive Battle Doctrine;Very High;3133;X
415046;Chief of Army;라도미르 푸트니크 ;1914;1933;1999;SC;elastic defence doctrine;Very High;3134;X
415047;Chief of Army;밀리보예 제세비치 ;1921;1933;1999;PA;elastic defence doctrine;Very High;unknownminister;X
415048;Chief of Army;두산 트리푸노비치 ;1924;1933;1999;PA;elastic defence doctrine;Very High;3135;X
415049;Chief of Army;알렉산더 카라도르데비치 ;1915;1933;1999;PA;Guns and Butter Doctrine;Very High;3136;X
415050;Chief of Army;알렉산더 카라도르데비치 ;1915;1933;1999;PA;Guns and Butter Doctrine;Very High;3136;X
415051;Chief of Army;스테반 하지치 ;1919;1933;1999;SC;Guns and Butter Doctrine;Very High;3137;X
415052;Chief of Army;브란코 요바노비치 ;1920;1933;1999;SC;static defence doctrine;Very High;unknownminister;X
415053;Chief of Army;요시프 브로즈 티토 ;1918;1933;1999;ST;DECISIVE BATTLE DOCTRINE;Medium;3138;X
415054;Chief of Staff;라도미르 푸트니크 ;1914;1933;1999;SC;school of defence;Very High;3134;X
415055;Chief of Staff;밀리보예 제세비치 ;1921;1933;1999;PA;school of defence;Very High;unknownminister;X
415056;Chief of Staff;스테판 스테파노비치 ;1914;1933;1999;SC;School of Fire Support;Very High;3139;X
415057;Chief of Staff;스테반 하지치 ;1919;1933;1999;SC;School of Fire Support;Very High;3137;X
415058;Chief of Staff;페타르 페시치 ;1922;1933;1999;PA;School of Fire Support;Very High;3133;X
415059;Chief of Staff;페타르 보조비치 ;1916;1933;1999;SC;School of Manoeuvre;Very High;3140;X
415060;Chief of Staff;밀로스 바시치 ;1922;1933;1999;SC;School of Manoeuvre;Very High;3132;X
415061;Chief of Staff;지브코 파브로비치 ;1915;1933;1999;SC;School of Mass Combat;Very High;3141;X
415062;Chief of Staff;미하일로 라시치 ;1918;1933;1999;SC;School of Mass Combat;Very High;3131;X
415063;Chief of Staff;두산 트리푸노비치 ;1924;1933;1999;PA;School of Mass Combat;Very High;3135;X
415064;Chief of Staff;지보인 미시치 ;1918;1933;1999;PA;School of Psychology;Very High;3130;X
415065;Chief of Staff;브란코 요바노비치 ;1920;1933;1999;SC;School of Psychology;Very High;unknownminister;X
415066;Foreign Minister;요반 요바노비치 피존 ;1914;1933;1999;SC;Biased Intellectual;Medium;3142;X
415067;Foreign Minister;미하일로 가브리로비치 ;1918;1933;1999;SC;Biased Intellectual;Medium;3143;X
415068;Foreign Minister;스토얀 프로티치 ;1918;1933;1999;SC;Great Compromiser;Medium;3144;X
415069;Foreign Minister;몸클리우 닌시치 ;1921;1933;1999;PA;Great Compromiser;Medium;3145;X
415070;Foreign Minister;보지슬라프 마린코비치 ;1924;1933;1999;SC;Great Compromiser;Medium;3146;X
415071;Foreign Minister;니콜라 파시치 ;1914;1933;1999;SC;Ideological Crusader;Very High;3147;X
415072;Foreign Minister;안테 트럼비치 ;1918;1933;1999;ML;Ideological Crusader;Medium;3148;X
415073;Foreign Minister;두로 다코비치 ;1914;1933;1999;ST;APOLOGETIC CLERK;Medium;3959;X
415074;Foreign Minister;안드라 니코리치 ;1914;1933;1999;SC;BIASED INTELLECTUAL;Medium;3149;X
