SIA;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
;Replacements;;;;;;;;;X
290001;Head of State;¶ó¸¶ 8¼¼ ;1933;1964;1999;PA;Popular Figurehead;High;M62001;X
290002;Head of Government;Æý ¹ÙÇÏÇÒ¿äµò ;1933;1964;1999;PA;Happy Amateur;High;M62002;X
290003;Foreign Minister;ÇÏ »ïµû½Ã¸® ;1933;1964;1999;PA;Apologetic Clerk;Medium;M62003;X
290004;Minister of Armament;Æý ¹ÙÇÏÇÒ¿äµò ;1933;1964;1999;PA;Corrupt Kleptocrat;Medium;M62002;X
290005;Minister of Security;»Ú¸®µð ÆÄ³ð¿ë ;1933;1964;1999;PA;Back Stabber;Low;M62005;X
290006;Head of Military Intelligence;»Ú¸®µð ÆÄ³ð¿ë ;1933;1964;1999;PA;Industrial Specialist;Medium;M62005;X
290007;Chief of Staff;·ç¾Ó ÇÇºÐ¼ÛÅ©¶÷ ;1933;1964;1999;PA;School of Mass Combat;Medium;M62007;X
290008;Chief of Army;·ç¾Ó ÇÇºÐ¼ÛÅ©¶÷ ;1933;1964;1999;PA;Guns and Butter Doctrine;High;M62007;X
290009;Chief of Navy;»Ú¸®µð ÆÄ³ð¿ë ;1933;1964;1999;PA;Base Control Doctrine;Medium;M62005;X
290010;Chief of Air Force;ÇÁ¶ó º£Â÷¾á¶û»ç¸´ ;1933;1964;1999;PA;Army Aviation Doctrine;High;M62010;X
290011;Head of State;¶û½Ë Â÷ÀÌ³­µå ;1942;1964;1999;PA;Autocratic Charmer;High;M62031;X
290012;Head of State;¶ó¸¶ 8¼¼ ;1945;1964;1999;SC;Popular Figurehead;High;M62001;X
290013;Head of State;¶ó¸¶ 9¼¼ ;1946;1964;1999;PA;Benevolent Gentleman;High;M62011;X
290014;Head of Government;·ç¾Ó ÇÇºÐ¼ÛÅ©¶÷ ;1938;1964;1999;FA;Old General;High;M62007;X
290015;Head of Government;²Ù¾Ó ¾ÐÇÏ¾ßºÀ»ç ;1944;1964;1999;PA;Silent Workhorse;High;M62036;X
290016;Head of Government;µûÀ§ »Ñ³Ä²²¶Ñ ;1945;1964;1999;SC;Smiling Oilman;High;M62015;X
290017;Head of Government;¼¼´Ï »Ú¶ó¸ðÂ¥ ;1946;1964;1999;SC;Corporate Suit;High;M62012;X
290018;Head of Government;²Ù¾Ó ¾ÐÇÏ¾ßºÀ»ç ;1946;1964;1999;ML;Silent Workhorse;High;M62036;X
290019;Head of Government;»Ú¸®µð ÆÄ³ð¿ë ;1946;1964;1999;PA;Old Admiral;High;M62005;X
290020;Head of Government;µû¿ø Å½·Õ³ª¿Í»ç¿Ó ;1946;1964;1999;PA;Political Protege;High;M62029;X
290021;Head of Government;Æý ¹ÙÇÏÇÒ¿äµò ;1939;1964;1999;SC;Happy Amateur;High;M62002;X
290022;Foreign Minister;ÇÁ¶ó¾ß Ä©³ª¼ÛÅ¬¶ó ;1938;1964;1999;FA;Apologetic Clerk;Medium;M62026;X
290023;Foreign Minister;À§Ä© À§Ä©¿ÍÅ¸±î¸¥ ;1942;1964;1999;FA;Ideological Crusader;Very High;M62044;X
290024;Foreign Minister;·ç¾Ó ÇÇºÐ¼ÛÅ©¶÷ ;1943;1964;1999;FA;General Staffer;High;M62007;X
290025;Foreign Minister;»Ú¸®µð ÆÄ³ð¿ë ;1943;1964;1999;FA;Iron Fisted Brute;Low;M62005;X
290026;Foreign Minister;¾ÆµûÅ°¶ì ¹Ù³ð¿ë ;1944;1964;1999;PA;Biased Intellectual;Medium;M62047;X
290027;Foreign Minister;µûÀ§ »Ñ³Ä²²¶Ñ ;1945;1964;1999;SC;General Staffer;Medium;M62015;X
290028;Foreign Minister;¼¼´Ï »Ú¶ó¸ðÂ¥ ;1945;1964;1999;SC;Ideological Crusader;Medium;M62012;X
290029;Foreign Minister;µð·º ÆÄÀð¾Æ³ª¸¶ ;1945;1964;1999;ML;Great Compromiser;Low;M62014;X
290030;Foreign Minister;¶ì¾È·® ÈÆ¶ß¶ô²Ü ;1946;1964;1999;PA;Apologetic Clerk;Medium;M62051;X
290031;Foreign Minister;µû¿ø Å½·Õ³ª¿Í»ç¿Ó ;1946;1964;1999;PA;The Cloak N Dagger Schemer;Medium;M62029;X
290032;Minister of Armament;ÇÁ¾ß ºñ´å²¿»þ ;1937;1964;1999;PA;Administrative Genius;Medium;M62054;X
290033;Minister of Armament;ÇÁ¶ó¾ß À­Ä©ÃÍ¶óÅ¸ÀÌ ;1937;1964;1999;PA;Battle Fleet Proponent;Medium;M62055;X
290034;Minister of Armament;»Ú¸®µð ÆÄ³ð¿ë ;1938;1964;1999;FA;Tank Proponent;Low;M62005;X
290035;Minister of Armament;¼¼¸§ Å©¸®½´³²¶ó ;1939;1964;1999;SC;Air Superiority Proponent;Medium;M62057;X
290036;Minister of Armament;ÇÁ¶ó º£Â÷¾á¶û»ç¸´ ;1941;1964;1999;FA;Air to Ground Proponent;High;M62010;X
290037;Minister of Armament;ÇÁ¾ß ºÎ¸®³ª¹Ù¶ó½Á ;1941;1964;1999;SC;Resource Industrialist;Medium;M62059;X
290038;Minister of Armament;Â÷·é ;1943;1964;1999;FA;Military Entrepreneur;Medium;M62060;X
290039;Minister of Armament;ÇÁ¶ó¾ß Âû·¹¸»³¢¾Æ¸© ;1943;1964;1999;FA;Strategic Air Proponent;Medium;M62061;X
290040;Minister of Armament;ÇÁ¶ó¾ß ÇÁ¸®Â÷ÃÍ¶óÀµ´Ù ;1944;1964;1999;ML;Submarine Proponent;Medium;M62019;X
290041;Minister of Armament;ÇÁ¶ó¾ß Å¸¾ß¸¥ÇÇÄ«¸© ;1944;1964;1999;PA;Air Superiority Proponent;Medium;M62063;X
290042;Minister of Armament;µð·º ÆÄÀð¾Æ³ª¸¶ ;1945;1964;1999;SC;Laissez-Faire Capitalist;Low;M62014;X
290043;Minister of Armament;»Ú¸®µð ÆÄ³ð¿ë ;1945;1964;1999;SC;Air to Ground Proponent;Low;M62005;X
290044;Minister of Armament;²Ù¾Ó ¾ÐÇÏ¾ßºÀ»ç ;1946;1964;1999;ML;Infantry Proponent;Medium;M62036;X
290045;Minister of Armament;A.G. ¿¤¸®½º ;1939;1964;1999;SC;Theoretical Scientist;Medium;M62016;X
290046;Minister of Armament;¶ì¾È·® ÈÆ¶ß¶ô²Ü ;1946;1964;1999;PA;Tank Proponent;Medium;M62051;X
290047;Minister of Armament;·ç¾Ó ½ÅÅõ¼ÛÅ©¶÷Â÷ÀÌ ;1946;1964;1999;PA;Air to Sea Proponent;Medium;M62069;X
290048;Minister of Armament;ÆÄ¿À ÇÇ¶ö·¿ ;1946;1964;1999;PA;laissez-faire capitalist;Medium;M62024;X
290049;Minister of Security;Ãò¿¡ÀÌ ¸·ÇÏºñÇ®¶ó¾ß ;1933;1964;1999;PA;Efficient Sociopath;Medium;M62072;X
290050;Minister of Security;·ç¾Ó ÇÇºÐ¼ÛÅ©¶÷ ;1938;1964;1999;FA;Efficient Sociopath;High;M62007;X
290051;Minister of Security;Æý ¹ÙÇÏÇÒ¿äµò ;1939;1964;1999;SC;Crime Fighter;Medium;M62002;X
290052;Minister of Security;½º¸®¼¼³ª »ïºü¶ì½Ã¸® ;1943;1964;1999;FA;Silent Lawyer;Medium;M62075;X
290053;Minister of Security;ÇÏ »ïµû½Ã¸® ;1944;1964;1999;PA;Back Stabber;Medium;M62003;X
290054;Minister of Security;¼¼´Ï »Ú¶ó¸ðÂ¥ ;1944;1964;1999;SC;Compassionate Gentleman;Medium;M62012;X
290055;Minister of Security;µûÀ§ »Ñ³Ä²²¶Ñ ;1945;1964;1999;SC;Man of the People;Medium;M62015;X
290056;Minister of Security;Ä© ¹®½ÇÆÄ ½Ã³´¿åÇÏ¶ô»ç ;1945;1964;1999;SC;Prince of Terror;Medium;M62079;X
290057;Minister of Security;Ãò¾Ó Â÷À¦»ó¼Û²ô¶÷ ;1946;1964;1999;PA;Silent Lawyer;Medium;M62081;X
290058;Minister of Security;µû¿ø Å½·Õ³ª¿Í»ç¿Ó ;1946;1964;1999;PA;Crime Fighter;Medium;M62029;X
290059;Minister of Security;ºØ ¼öÆÄÂû¶ó»çÀÌ ;1946;1964;1999;PA;Compassionate Gentleman;Medium;M62083;X
290060;Head of Military Intelligence;A.G. ¿¤¸®½º ;1937;1964;1999;SC;Technical Specialist;Medium;M62016;X
290061;Head of Military Intelligence;·ç¾Ó ÇÇºÐ¼ÛÅ©¶÷ ;1938;1964;1999;FA;Logistics Specialist;Medium;M62007;X
290062;Head of Military Intelligence;»ç¿Ó Çª¶ì¾Æ³¶µí ;1943;1964;1999;FA;Naval Intelligence Specialist;Medium;M62086;X
290063;Head of Military Intelligence;¼¼¸§ Å©¸®½´³²¶ó ;1944;1964;1999;PA;Industrial Specialist;Medium;M62057;X
290064;Head of Military Intelligence;ÇÁ¶ó¾ß Ä©³ª¼ÛÅ¬¶ó ;1945;1964;1999;SC;Political Specialist;Medium;M62026;X
290065;Head of Military Intelligence;Ãò¾Ó Â÷À¦»ó¼Û²ô¶÷ ;1945;1964;1999;ML;Dismal Enigma;Medium;M62081;X
290066;Chief of Staff;¸ÁÄÜ ÇÁ·Ò¿äÆ¼ ;1938;1964;1999;FA;School of Mass Combat;Medium;M62025;X
290067;Chief of Staff;½ÅµÎ ±î¸»¶ó³ªºó ;1944;1964;1999;PA;School of Psychology;Low;M62017;X
290068;Chief of Staff;Ä© ¹®½ÇÆÄ ½Ã³´¿åÇÏ¶ô»ç ;1945;1964;1999;SC;School of Defence;Low;M62079;X
290069;Chief of Staff;Áö¸® À§Ä©¼Û²ô¶÷ ;1945;1964;1999;ML;School of Manoeuvre;Low;M62094;X
290070;Chief of Staff;¼÷ ³«·Ó ;1946;1964;1999;PA;School of Fire Support;Medium;M62095;X
290071;Chief of Staff;µû¿ø Å½·Õ³ª¿Í»ç¿Ó ;1946;1964;1999;PA;School of Manoeuvre;Medium;M62029;X
290072;Chief of Army;¸¸ÇÁ¾ß Ä­ÇÇ¾Ë·Õ ;1938;1964;1999;FA;Static Defence Doctrine;Medium;M62097;X
290073;Chief of Army;µûÀ§ »Ñ³Ä²²¶Ñ ;1944;1964;1999;PA;Guns and Butter Doctrine;Very High;M62098;X
290074;Chief of Army;½ÅµÎ ±î¸»¶ó³ªºó ;1945;1964;1999;SC;Elastic Defence Doctrine;Low;M62017;X
290075;Chief of Army;ÇÁ¶ó¾ß Ä©³ª¼ÛÅ¬¶ó ;1945;1964;1999;ML;Decisive Battle Doctrine;Low;M62026;X
290076;Chief of Army;¶ì¾È·® ÈÆ¶ß¶ô²Ü ;1946;1964;1999;PA;Armoured Spearhead Doctrine;Medium;M62051;X
290077;Chief of Navy;»ç¿Ó Çª¶ì¾Æ³¶µí ;1938;1964;1999;FA;Power Projection Doctrine;Medium;M62086;X
290078;Chief of Navy;ÇÁ¶ó¾ß À­Ä©ÃÍ¶óÅ¸ÀÌ ;1944;1964;1999;PA;Decisive Naval Battle Doctrine;Medium;M62055;X
290079;Chief of Navy;ÇÁ¶ó¾ß ÇÁ¸®Â÷ÃÍ¶óÀµ´Ù ;1945;1964;1999;SC;Indirect Approach Doctrine;Medium;M62019;X
290080;Chief of Navy;·ç¾Ó Âü³ª³¯Å¸À¯Å¸ ;1945;1964;1999;ML;Base Control Doctrine;Medium;M62105;X
290081;Chief of Navy;µû¿ø Å½·Õ³ª¿Í»ç¿Ó ;1946;1964;1999;PA;Open Seas Doctrine;Medium;M62029;X
290082;Chief of Air Force;·ç¾Ó ½ÅÅõ¼ÛÅ©¶÷Â÷ÀÌ ;1938;1964;1999;FA;Naval Aviation Doctrine;Medium;M62069;X
290083;Chief of Air Force;ÇÁ¶ó¾ß Âû·¹¸»³¢¾Æ¸© ;1944;1964;1999;PA;Carpet Bombing Doctrine;Medium;M62061;X
290084;Chief of Air Force;ÇÁ¶ó¾ß Å¸¾ß¸¥ÇÇÄ«¸© ;1945;1964;1999;SC;Air Superiority Doctrine;Medium;M62063;X
290085;Chief of Air Force;ÇÁ¶ó ½Çºü»ç²ô¶ó²Á ;1945;1964;1999;ML;Vertical Envelopment Doctrine;Medium;M62110;X
290086;Chief of Air Force;·ç¾Ó ±ö¼Û²ô¶÷ ;1946;1964;1999;PA;Army Aviation Doctrine;Medium;M62111;X
290087;Head of State;¶ó¸¶ 8¼¼ ;1933;1964;1999;FA;Popular Figurehead;High;M62001;X
290088;Head of Government;·ç¾Ó ÇÇºÐ¼ÛÅ©¶÷ ;1948;1964;1999;SC;BAckroom Backstabber;High;M62007;X
290089;Foreign Minister;»Ç¶¼ »ç¶ó½Å ;1948;1964;1999;SC;Great Compromiser;Medium;M62114;X
290090;Chief of Air Force;³ªÄÜ Â÷ÀÌ½º¸® ¼ö¶óµ« ;1914;1933;1999;PA;Air Superiority Doctrine;Medium;3166;X
290091;Chief of Army;³ªÄÜ Â÷ÀÌ½º¸® ¼ö¶óµ« ;1914;1933;1999;PA;Decisive Battle Doctrine;Medium;3166;X
290092;Chief of Navy;¾Æ½º´ç µ¥ÀðºÎµå ;1917;1925;1925;PA;Base Control Doctrine;Medium;3167;X
290093;Chief of Navy;Â÷¿À ÇÁ¶ó¾ß ¶÷ ¶ó°ö ;1914;1933;1999;PA;Decisive Naval Battle Doctrine;Medium;9875;X
290094;Chief of Staff;Â÷Å©¶óºÀ¼¼ ºÎ¹Ù³´ ;1914;1921;1921;PA;School of Psychology;Medium;3168;X
290095;Foreign Minister;µ¥¹Ù¿ý¼¼ ¹Ù·Î»Ú¶ó±ò ;1914;1933;1999;PA;Great Compromiser;Medium;3169;X
290096;Head of Government;¶ó¸¶ 6¼¼ ;1914;1926;1926;PA;Silent Workhorse;Medium;3170;X
290097;Head of Government;¶ó¸¶ 6¼¼ ;1914;1926;1926;ML;Silent Workhorse;Medium;3170;X
290098;Head of State;¶ó¸¶ 6¼¼ ;1914;1926;1926;PA;Stern Imperialist;Medium;3170;X
290099;Head of State;¶ó¸¶ 6¼¼ ;1914;1926;1926;ML;Stern Imperialist;Medium;3170;X
290100;Minister of Armament;»Ñ¶óÂ÷Æ®¶ó Â¥¾ß±î¶ó ;1914;1933;1999;PA;Administrative Genius;Medium;3171;X
290101;Minister of Security;´ã·Õ ¶óÀð´©¹ä ;1914;1933;1999;PA;Silent Lawyer;Medium;3172;X
