SIB;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
;Replacements;;;;;;;;;X
520001;Head of State;니콜라이 압크센체프 ;1933;1964;1999;PA;Benevolent Gentleman;High;M522001;X
520002;Head of Government;바실리 볼디레프 ;1933;1964;1999;PA;Naive Optimist;High;M522002;X
520003;Foreign Minister;빅토르 N. 페펠랴예프 ;1933;1964;1999;PA;Apologetic Clerk;High;M522003;X
520004;Minister of Armament;미하일 니키틴 ;1933;1964;1999;PA;Strategic Air Proponent;Medium;M522004;X
520005;Minister of Security;티미레바 라주트킨 ;1933;1964;1999;PA;Man of the People;Medium;M522005;X
520006;Head of Military Intelligence;파벨 그레브호프 ;1933;1964;1999;PA;Political Specialist;Medium;M522006;X
520007;Chief of Staff;표트르 보가수카노프 ;1933;1964;1999;PA;School of Psychology;Medium;M522007;X
520008;Chief of Army;야샤 파르신체프 ;1933;1964;1999;PA;Static Defence Doctrine;Medium;M522008;X
520009;Chief of Navy;발레릭 레시크 ;1933;1964;1999;PA;Power Projection Doctrine;Medium;M517009;X
520010;Chief of Air Force;레프 슈르킨 ;1933;1964;1999;PA;Vertical Envelopment Doctrine;Medium;M522010;X
520011;Head of State;알렉산드르 콜차크 ;1933;1964;1999;FA;Resigned Generalissimo;High;M522011;X
520012;Head of Government;표트르 볼로고드스키 ;1933;1964;1999;FA;Political Protege;High;M522012;X
520013;Foreign Minister;콘스탄틴 이굼노프 ;1933;1964;1999;PA;Iron Fisted Brute;High;M522013;X
520014;Foreign Minister;알렉세이 가브릴로비치 ;1933;1964;1999;PA;Ideological Crusader;High;M522014;X
520015;Foreign Minister;야코프 파우첸코 ;1933;1964;1999;FA;Great Compromiser;High;M522015;X
520016;Foreign Minister;니콜라이 부르덴코 ;1933;1964;1999;FA;Apologetic Clerk;High;M522016;X
520017;Foreign Minister;티혼 샬라모프 ;1933;1964;1999;FA;The Cloak N Dagger Schemer;High;M522017;X
520018;Minister of Armament;콘스탄틴 티미랴자프 ;1933;1964;1999;PA;Resource Industrialist;Medium;M522018;X
520019;Minister of Armament;세르게이 페트로비치 ;1933;1964;1999;PA;Infantry Proponent;Medium;M522019;X
520020;Minister of Armament;바실리 크라메르 ;1933;1964;1999;FA;Battle Fleet Proponent;Medium;M522020;X
520021;Minister of Armament;에발트 일리옌코프 ;1933;1964;1999;FA;Resource Industrialist;Medium;M522021;X
520022;Minister of Armament;이반 클륜 ;1933;1964;1999;FA;Infantry Proponent;Medium;M522022;X
520023;Minister of Security;이반 오브레이모프 ;1933;1964;1999;PA;Back Stabber;Medium;M522023;X
520024;Minister of Security;니콜라이 이첸코 ;1933;1964;1999;PA;Prince of Terror;Medium;M522024;X
520025;Minister of Security;파벨 엠딘 ;1933;1964;1999;FA;Prince of Terror;Medium;M522025;X
520026;Minister of Security;세르게이 스파소쿠코츠키 ;1933;1964;1999;FA;Compassionate Gentleman;Medium;M522026;X
520027;Minister of Security;안드리 폴레노우 ;1933;1964;1999;FA;Back Stabber;Medium;M522027;X
520028;Head of Military Intelligence;니콜라이 구랴노프 ;1933;1964;1999;PA;Dismal Enigma;Medium;M522028;X
520029;Head of Military Intelligence;니콜라이 구밀레프 ;1933;1964;1999;PA;Technical Specialist;Medium;M522029;X
520030;Head of Military Intelligence;미하일 오스트로우모프 ;1933;1964;1999;FA;Industrial Specialist;Medium;M522030;X
520031;Head of Military Intelligence;표트르 폐필로프 ;1933;1964;1999;FA;Political Specialist;Medium;M522031;X
520032;Head of Military Intelligence;표트르 파블렌코 ;1933;1964;1999;FA;Dismal Enigma;Medium;M522032;X
520033;Chief of Staff;알렉산드르 콜차크 ;1933;1964;1999;FA;School of Fire Support;Medium;M522033;X
520034;Chief of Army;로만 브레덴 ;1933;1964;1999;FA;Armoured Spearhead Doctrine;Medium;M522034;X
520035;Chief of Navy;알렉산드르 콜차크 ;1933;1964;1999;FA;Decisive Naval Battle Doctrine;Medium;M522035;X
520036;Chief of Air Force;미하일 코우다예프 ;1933;1964;1999;FA;Air Superiority Doctrine;Medium;M522036;X
