SIK;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
;Replacements;;;;;;;;;X
420001;Head of State;성스차이 ;1933;1964;1999;PA;Resigned Generalissimo;High;3173;X
420002;Head of Government;호자 니야즈 하지 ;1912;1942;1955;LWR;Naive Optimist;Low;3174;X
420003;Foreign Minister;성스차이 ;1933;1964;1999;PA;Great Compromiser;Very High;3173;X
420004;Minister of Armament;하비불라흐 후세이노프 ;1933;1964;1999;PA;Infantry Proponent;Medium;M72004;X
420005;Minister of Security;장시량 ;1933;1964;1999;PA;Crooked Kleptocrat;Medium;M72005;X
420006;Head of Military Intelligence;빅토르 A.F. 폴리노프 ;1933;1964;1999;PA;Industrial Specialist;Medium;M72006;X
420007;Chief of Staff;성스차이 ;1933;1964;1999;PA;School of Psychology;Very High;3173;X
420008;Chief of Army;성스차이 ;1933;1964;1999;PA;Guns and Butter doctrine;Very High;3173;X
420009;Chief of Navy;싸전빙 ;1933;1964;1999;PA;Indirect Approach Doctrine;Medium;M72009;X
420010;Chief of Air Force;피오트르 오를로프 ;1933;1964;1999;PA;Army Aviation Doctrine;Medium;M72010;X
420011;Foreign Minister;이사 유수프 알프테킨 ;1933;1940;1977;SC;Apologetic Clerk;Low;6849;X
420012;Minister of Armament;A.V 페드윤스키 ;1938;1964;1999;PA;Infantry Proponent;Medium;M72024;X
420013;Minister of Armament;이사 유수프 알프테킨 ;1933;1940;1977;SC;Infantry Proponent;Medium;6849;X
420014;Minister of Security;쿤이무 칸 ;1937;1964;1999;SC;Compassionate Gentleman;Very High;M72014;X
420015;Minister of Security;이샤키안 몬하키예프 ;1933;1964;1999;SC;Man of the People;Medium;M72025;X
420016;Head of Military Intelligence;장시량 ;1938;1964;1999;PA;Dismal Enigma;Medium;M72005;X
420017;Head of Military Intelligence;달레림 칸 ;1938;1964;1999;PA;Political Specialist;Medium;M72016;X
420018;Head of Military Intelligence;류번 ;1939;1964;1999;PA;Technical Specialist;Medium;M72026;X
420019;Chief of Staff;욜 바르스 ;1941;1964;1999;PA;School of Mass Combat;Very Low;M72017;X
420020;Chief of Army;욜 바르스 ;1942;1964;1999;PA;Elastic Defence Doctrine;Very Low;M72017;X
420021;Head of State;마흐무드 사브리 ;1933;1964;1999;SL;Insignificant Layman;High;M72011;X
420022;Head of Government;이사 유수프 알프테킨 ;1933;1940;1977;SL;Corporate Suit;High;6849;X
420023;Minister of Armament;쿤이무 칸 ;1933;1964;1999;SL;Military Entrepreneur;Very High;M72014;X
420024;Head of State;성스차이 ;1933;1964;1999;LWR;Resigned Generalissimo;High;3173;X
420025;Head of Government;성스차이 ;1933;1964;1999;LWR;Old General;High;3173;X
420026;Foreign Minister;성스차이 ;1933;1964;1999;LWR;Great Compromiser;Very High;3173;X
420027;Chief of Staff;성스차이 ;1933;1964;1999;LWR;School of Psychology;Very High;3173;X
420028;Chief of Army;성스차이 ;1933;1964;1999;LWR;Guns and Butter doctrine;Undying;3173;X
420029;Chief of Navy;싸전빙 ;1933;1964;1999;LE;Indirect Approach Doctrine;Medium;M72009;X
420030;Chief of Air Force;피오트르 오를로프 ;1933;1964;1999;LE;Army Aviation Doctrine;Medium;M72010;X
420031;Head of State;진슈런 ;1928;1934;1999;PA;Stern Imperialist;High;9595;X
420032;Head of Government;성스차이 ;1933;1964;1999;PA;Old General;High;3173;X
