SLO;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
;Replacements;;;;;;;;;X
280001;Head of State;안드레이 흘링카 ;1933;1964;1999;PA;Barking Buffoon;High;M31001;X
280002;Head of Government;요제프 티소 ;1933;1964;1999;PA;Local tyrant;High;M31002;X
280003;Foreign Minister;보이테흐 투카 ;1933;1964;1999;PA;The Cloak N Dagger Schemer;Low;M31003;X
280004;Minister of Armament;파볼 테플란스키 ;1933;1964;1999;PA;Theoretical Scientist;Medium;M31004;X
280005;Minister of Security;페르디난트 두칸스키 ;1933;1964;1999;PA;Compassionate Gentleman;Low;M31005;X
280006;Head of Military Intelligence;야로슬라프 크라토흐빌 ;1933;1964;1999;PA;Industrial Specialist;High;M31006;X
280007;Chief of Staff;페르디난트 카트로스 ;1933;1964;1999;PA;School of Manoeuvre;Low;3175;X
280008;Chief of Army;구스타브 말라르 ;1933;1964;1999;PA;Armoured Spearhead Doctrine;High;L70010;X
280009;Chief of Navy;요제프 호라 ;1933;1964;1999;PA;Decisive Naval Battle Doctrine;Medium;M31009;X
280010;Chief of Air Force;프리츠 게쟈 ;1933;1964;1999;PA;Carpet Bombing Doctrine;Medium;M31010;X
280011;Head of State;요제프 티소 ;1938;1964;1999;FA;Pig-headed Isolationist;High;M31002;X
280012;Head of State;요제프 티소 ;1944;1964;1999;NS;Pig-headed Isolationist;High;M31002;X
280013;Head of State;카롤 시도르 ;1945;1964;1999;PA;Popular Figurehead;High;M31033;X
280014;Head of Government;보이테흐 투카 ;1938;1964;1999;FA;Naive Optimist;High;M31003;X
280015;Head of Government;슈테판 티소 ;1944;1964;1999;NS;Backroom Backstabber;High;M31035;X
280016;Head of Government;카롤 시도르 ;1945;1964;1999;PA;Silent Workhorse;High;M31033;X
280017;Foreign Minister;페르디난트 두칸스키 ;1938;1964;1999;FA;Great Compromiser;Very Low;M31005;X
280018;Foreign Minister;슈테판 티소 ;1944;1964;1999;NS;Biased Intellectual;Very High;M31035;X
280019;Foreign Minister;페타르 지렘니키 ;1945;1964;1999;PA;Apologetic Clerk;Very High;M31040;X
280020;Foreign Minister;요제프 쿠빈 ;1946;1964;1999;SC;Apologetic Clerk;Low;M31019;X
280021;Minister of Armament;미쿨라스 프루진스키 ;1938;1964;1999;FA;Resource Industrialist;Medium;M31042;X
280022;Minister of Armament;야로슬라프 크라토흐빌 ;1944;1964;1999;NS;Military Entrepreneur;High;M31006;X
280023;Minister of Armament;에밀 렌드베이 ;1945;1964;1999;PA;Tank Proponent;High;M31045;X
280024;Minister of Armament;에두아르드 바스 슈미트 ;1946;1964;1999;ML;laissez-faire capitalist;Medium;M31046;X
280025;Minister of Armament;인드리치 혼즐 ;1946;1964;1999;ST;Military Entrepreneur;Medium;M31029;X
280026;Minister of Security;얀코 예센스키 ;1938;1964;1999;FA;Compassionate Gentleman;Low;M31048;X
280027;Minister of Security;프리츠 게쟈 ;1939;1964;1999;FA;Compassionate Gentleman;Low;M31010;X
280028;Minister of Security;알렉산더 마흐 ;1940;1964;1999;NS;Efficient Sociopath;Low;M31050;X
280029;Minister of Security;티도 가스파 ;1941;1964;1999;FA;Prince of Terror;Medium;M31051;X
280030;Minister of Security;카롤 시도르 ;1943;1964;1999;FA;Back Stabber;High;M31033;X
280031;Minister of Security;브티슬라프 흐루벡 ;1945;1964;1999;PA;Silent Lawyer;High;M31053;X
