SOM;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
;Replacements;;;;;;;;;X
770001;Head of State;로돌포 그라치아니 ;1933;1964;1999;FA;Insignificant Layman;High;L6084;X
770002;Head of Government;루제로 산티니 ;1933;1964;1999;FA;old airmarshal;High;L6232;X
770003;Foreign Minister;엔리코 마르티니 ;1933;1964;1999;FA;Ideological Crusader;High;M575003;X
770004;Minister of Armament;조반니 포르나리 ;1933;1964;1999;FA;Military Entrepreneur;Medium;M575004;X
770005;Minister of Security;카를로 데 시모네 ;1933;1964;1999;FA;Back Stabber;Medium;L6058;X
770006;Head of Military Intelligence;구스타보 페센티 ;1933;1964;1999;FA;Dismal Enigma;Medium;M575006;X
770007;Chief of Staff;라파엘레 오를란도 ;1933;1964;1999;PA;School of Fire Support;Medium;L6111;X
770008;Chief of Army;페데리코 로메로 ;1933;1964;1999;PA;Elastic Defence Doctrine;Medium;L6127;X
770009;Chief of Navy;로렌초 가스파리 ;1933;1964;1999;PA;Decisive Naval Battle Doctrine;Medium;L6171;X
770010;Chief of Air Force;에르네스토 디 페로 ;1933;1964;1999;PA;Naval Aviation Doctrine;Medium;L6206;X
770011;Head of State;압둘라히 이싸 모하무드 ;1944;1964;1999;SC;Popular Figurehead;High;M575011;X
770012;Head of State;아서 로렌스 ;1939;1964;1999;SL;Barking Buffoon;High;M575012;X
770013;Head of Government;허버트 파이크 피즈 ;1939;1964;1999;SL;Political Protege;High;M575013;X
770014;Foreign Minister;엔리코 안체로티 ;1944;1964;1999;SC;The Cloak N Dagger Schemer;High;M575014;X
770015;Foreign Minister;더글라스 홀 ;1939;1964;1999;SL;Great Compromiser;High;M575015;X
770016;Foreign Minister;모함메드 하지 에갈 ;1945;1964;1999;SL;Iron Fisted Brute;High;M575016;X
770017;Minister of Armament;그램 싱클레어 로크하트 ;1939;1964;1999;SL;Resource Industrialist;Medium;M575017;X
770018;Minister of Armament;가바르 바카 ;1945;1964;1999;SL;Tank Proponent;Medium;M575018;X
770019;Minister of Security;레슬리 샌드포드 ;1939;1964;1999;SL;Crime Fighter;Medium;M575019;X
770020;Minister of Security;라시드 알리 셰르마케 ;1945;1964;1999;SL;Compassionate Gentleman;Medium;M575020;X
770021;Head of Military Intelligence;프란세스코 카로셀리 ;1944;1964;1999;SC;Political Specialist;Medium;M575021;X
770022;Head of Military Intelligence;헨리 E. 피찰란 하워드 ;1939;1964;1999;SL;Logistics Specialist;Medium;M575022;X
770023;Head of Military Intelligence;제럴드 피셔 ;1944;1964;1999;SL;Industrial Specialist;Medium;M575023;X
770024;Chief of Staff;A.L.W. 솜즈 ;1939;1964;1999;SL;School of Manoeuvre;Medium;L1283;X
770025;Chief of Army;리처드 맥크레리 ;1939;1964;1999;SL;Armoured Spearhead Doctrine;Medium;L1216;X
770026;Chief of Army;무함메드 시아드 바레 ;1945;1964;1999;SL;Guns And Butter Doctrine;Medium;M575026;X
770027;Chief of Navy;해롤드 버러 ;1939;1964;1999;SL;Indirect Approach Doctrine;Medium;L1330;X
770028;Chief of Air Force;로버트 옥슬랜드 ;1939;1964;1999;SL;Vertical Envelopment Doctrine;Medium;L1466;X
