SOV;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
;Replacements;;;;;;;;;X
30001;Head of State;미하일 I. 칼리닌 ;1922;1964;1999;ST;Weary Stiffneck;High;3176;X
30002;Head of State;이오시프 V. 스탈린 ;1930;1964;1999;ST;Paranoid megalomaniac2;High;3177;X
30003;Foreign Minister;막심 M. 리트비노프 ;1930;1964;1999;ST;Persuader of Democracies;Medium;3178;X
30004;Minister of Armament;라자르 M. 카가노비치 ;1930;1962;1999;ST;Iron Lazar;High;3179;X
30005;Minister of Security;겐리흐 G. 야고다 ;1933;1939;1999;ST;Purged Purger;Low;3180;X
30006;Head of Military Intelligence;얀 K. 베르진 ;1930;1964;1999;ST;Technical Specialist;Medium;3181;X
30007;Chief of Staff;미하일 N. 투하체프스키 ;1933;1964;1999;LE;Deep Battle Proponent;Low;3182;X
30008;Chief of Army;클리멘트 Y. 보로실로프 ;1933;1970;1999;ST;Guns and Butter Doctrine;Very High;3183;X
30009;Chief of Navy;블라디미르 M. 오를로프 ;1930;1964;1999;LE;Indirect Approach Doctrine;Very Low;M4009;X
30010;Chief of Air Force;야코프 I. 알크스니스 ;1922;1939;1999;LE;Air Superiority Doctrine;High;3184;X
30011;Head of State;이오시프 V. 스탈린 ;1933;1964;1999;ST;Ruthless Powermonger;Very High;3177;X
30012;Head of State;뱌체슬라프 M. 몰로토프 ;1933;1964;1999;ST;Autocratic Charmer;High;3185;X
30013;Head of State;니콜라이 M. 시베르닉 ;1946;1964;1999;ST;Insignificant Layman;High;3186;X
30014;Head of State;알렉산드르 F. 케렌스키 ;1933;1964;1999;SL;Die-hard Reformer;High;3187;X
30015;Head of State;니콜라이 I. 예조프 ;1933;1940;1999;PA;Barking Buffoon;High;3188;X
30016;Head of Government;뱌체슬라프 M. 몰로토프 ;1930;1964;1999;ST;collectivizer;High;3185;X
30017;Head of Government;라브렌티 P. 베리아 ;1938;1964;1999;ST;Backroom Backstabber;High;3189;X
30018;Head of Government;알렉산드르 F. 케렌스키 ;1933;1964;1999;SL;Happy Amateur;High;3187;X
30019;Head of Government;니콜라이 I. 예조프 ;1933;1940;1999;PA;Corporate Suit;High;3188;X
30020;Foreign Minister;안드레이 J. 비신스키 ;1933;1964;1999;ST;The Cloak N Dagger Schemer;Very High;3190;X
30021;Foreign Minister;뱌체슬라프 M. 몰로토프 ;1938;1964;1999;ST;Iron Fisted Brute;High;3185;X
30022;Foreign Minister;이반 M. 마이스키 ;1943;1964;1999;ST;Apologetic Clerk;High;3191;X
30023;Minister of Armament;게오르기 D. 바질리예비치 ;1938;1964;1999;ST;Infantry Proponent;High;M4036;X
30024;Minister of Armament;드미트리 F. 우스티노프 ;1941;1964;1999;ST;Theoretical Scientist;High;3192;X
30025;Minister of Armament;보리스 L. 반니코프 ;1942;1964;1999;ST;Military Entrepreneur;Very High;M4038;X
30026;Minister of Security;니콜라이 I. 예조프 ;1933;1940;1999;ST;Secret police chief;Medium;3188;X
30027;Minister of Security;세르게이 우리츠키 ;1937;1964;1999;ST;Crime Fighter;Medium;M4040;X
