SPA;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
;Replacements;;;;;;;;;X
35001;Head of State;미구엘 카바네야스 ;1933;1964;1999;FA;Resigned Generalissimo;High;M10001;X
35002;Head of Government;피델 다빌라 아론도 ;1933;1964;1999;FA;Political Protege;High;M10002;X
35003;Foreign Minister;프란시스코 데 아시스 ;1933;1964;1999;FA;Ideological Crusader;High;M10003;X
35004;Minister of Armament;헤르만 길 이 우스테 ;1933;1964;1999;FA;Infantry Proponent;High;M10004;X
35005;Minister of Security;미구엘 폰테 데 주니가 ;1933;1964;1999;PA;Crime Fighter;High;M10005;X
35006;Head of Military Intelligence;앙헬 살라스 랄라사발 ;1933;1964;1999;FA;Political Specialist;High;M10006;X
35007;Chief of Staff;피델 다빌라 아론도 ;1933;1964;1999;FA;School of Psychology;High;M10002;X
35008;Chief of Army;에밀리오 몰라 비달 ;1933;1964;1999;FA;Decisive Battle Doctrine;Very High;M10008;X
35009;Chief of Navy;프란시스코 모레노 ;1933;1964;1999;FA;Open Seas Doctrine;High;M10009;X
35010;Chief of Air Force;알프레도 킨더란 두아니 ;1933;1964;1999;PA;Carpet Bombing Doctrine;High;M10010;X
35011;Head of State;프란시스코 프랑코 ;1933;1964;1999;PA;Stern Imperialist;High;L3426;X
35012;Head of State;하비에르 데 부르본 파르마 ;1933;1964;1999;FA;Autocratic Charmer;High;M10034;X
35013;Head of State;후안 3세 ;1941;1964;1999;SC;Benevolent Gentleman;High;M10011;X
35014;Head of State;알폰소 13세 ;1933;1964;1999;SC;Insignificant Layman;High;M10039;X
35015;Head of Government;에밀리오 몰라 비달 ;1933;1964;1999;PA;Old General;High;M10008;X
35016;Head of Government;프란시스코 프랑코 ;1933;1964;1999;PA;Silent Workhorse;High;L3426;X
35017;Head of Government;토마스 도밍게즈 아레발로 ;1937;1964;1999;FA;Happy Amateur;High;M10048;X
35018;Head of Government;마누엘 팔 콘데 ;1941;1964;1999;FA;Political Protege;High;M10049;X
35019;Head of Government;마누엘 헤디야 라레이 ;1944;1964;1999;FA;Smiling Oilman;High;M10050;X
35020;Head of Government;J.M. 길 로블레스 ;1933;1964;1999;PA;Silent Workhorse;High;M10012;X
35021;Head of Government;곤살로 케이포 데 야노 ;1933;1964;1999;ML;Old General;High;M10055;X
35022;Foreign Minister;프란시스코 고메스 ;1933;1964;1999;PA;Biased Intellectual;High;M10057;X
35023;Foreign Minister;후안 베이그베데르 ;1939;1964;1999;PA;General Staffer;Medium;M10013;X
35024;Foreign Minister;라몬 세라노 수녜르 ;1940;1964;1999;PA;Ideological Crusader;Medium;M10059;X
35025;Foreign Minister;호세 레케리카 ;1944;1964;1999;PA;The Cloak N Dagger Schemer;High;M10060;X
