SUD;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
;Replacements;;;;;;;;;X
775001;Head of State;조지 스튜어트 사임즈 ;1933;1964;1999;ML;Resigned Generalissimo;High;M555001;X
775002;Head of Government;허버트 J. 허들스턴 ;1933;1964;1999;ML;Political Protege;High;M555002;X
775003;Foreign Minister;로렌트 A. 보너웨이 ;1933;1964;1999;ML;Biased Intellectual;High;M555003;X
775004;Minister of Armament;휴버트 래덤 ;1933;1964;1999;ML;Submarine Proponent;Medium;M555004;X
775005;Minister of Security;윌리엄 매크레도크 ;1933;1964;1999;ML;Man of the People;Medium;M555005;X
775006;Head of Military Intelligence;조지 J. 호크스워스 ;1933;1964;1999;ML;Dismal Enigma;Medium;M555006;X
775007;Chief of Staff;찰스 L. 노먼 ;1933;1964;1999;ML;School of Fire Support;Medium;M555007;X
775008;Chief of Army;조지 스튜어트 사임즈;1933;1964;1999;ML;Static Defence Doctrine;Medium;M555001;X
775009;Chief of Navy;H. T. S. 콜린스 ;1933;1964;1999;ML;Open Seas Doctrine;Medium;L410013;X
775010;Chief of Air Force;클레멘트 로버트슨 ;1933;1964;1999;ML;Army Aviation Doctrine;Medium;M555010;X
775011;Head of State;로렌스 맥스터리 ;1933;1964;1999;PA;Benevolent Gentleman;High;M555011;X
775012;Head of State;이스마엘 알라자리 ;1933;1964;1999;SD;Pig-headed Isolationist;High;M555012;X
775013;Head of Government;앨리스터 피츠휴 ;1933;1964;1999;PA;Backroom Backstabber;High;M555013;X
775014;Head of Government;압델라 베이 칼릴 ;1933;1964;1999;SD;Flamboyant Tough Guy;High;M555014;X
775015;Foreign Minister;휴 들리슬 빈센트 ;1933;1964;1999;PA;Great Compromiser;High;M555015;X
775016;Foreign Minister;모함메드 아메드 마주브 ;1933;1964;1999;SD;Iron Fisted Brute;High;M555016;X
775017;Minister of Armament;아치볼드 패링턴 존스 ;1941;1964;1999;ML;laissez-faire capitalist;Medium;M555017;X
775018;Minister of Armament;노먼 왜링턴 ;1933;1964;1999;PA;Military Entrepreneur;Medium;M555018;X
775019;Minister of Armament;알자줄리 다파알라 ;1933;1964;1999;SD;Theoretical Scientist;Medium;M555019;X
775020;Minister of Armament;슬라 엘주비르 ;1942;1964;1999;SD;Strategic Air Proponent;Medium;M555020;X
775021;Minister of Security;월터 하워스 ;1940;1964;1999;ML;Compassionate Gentleman;Medium;M555021;X
775022;Minister of Security;리오너드 엘즈모어 ;1933;1964;1999;PA;Crime Fighter;Medium;M555022;X
775023;Minister of Security;라시드 알타히르 바크르 ;1933;1964;1999;SD;Crooked Kleptocrat;Medium;M555023;X
775024;Minister of Security;파리크 이브라힘 아부드 ;1942;1964;1999;SD;Silent Lawyer;Medium;M555024;X
775025;Head of Military Intelligence;에드워드 브룩 해즐럼 ;1942;1964;1999;ML;Industrial Specialist;Medium;M555025;X
775026;Head of Military Intelligence;터렌스 그레이엄 ;1933;1964;1999;PA;Naval Intelligence Specialist;Medium;M555026;X
775027;Head of Military Intelligence;휴 라버턴 ;1941;1964;1999;PA;Political Specialist;Medium;M555027;X
775028;Head of Military Intelligence;모함메드 아마드 야신 ;1933;1964;1999;SD;Logistics Specialist;Medium;M555028;X
775029;Chief of Staff;아서 드러몬드 버튼 ;1933;1964;1999;PA;School of Mass Combat;Medium;M555029;X
775030;Chief of Staff;이브라힘 아메드 아부드 ;1933;1964;1999;SD;School of Manoeuvre;Medium;M555030;X
775031;Chief of Army;리처드 크래도크 ;1943;1964;1999;ML;Decisive Battle Doctrine;Medium;M555031;X
775032;Chief of Army;아서 J. 베넷 ;1933;1964;1999;PA;Armoured Spearhead Doctrine;Medium;M555032;X
775033;Chief of Army;이브라힘 아메드 아부드 ;1933;1964;1999;SD;Elastic Defence Doctrine;Medium;M555030;X
775034;Chief of Navy;이언 트레론니 ;1933;1964;1999;PA;Decisive Naval Battle Doctrine;Medium;L320016;X
775035;Chief of Navy;바비케르 아와달라 ;1933;1964;1999;SD;Base Control Doctrine;Medium;M555035;X
775036;Chief of Air Force;호레이스 R. 캠벨 ;1933;1964;1999;PA;Naval Aviation Doctrine;Medium;M555036;X
775037;Chief of Air Force;세랄카팀 알칼리파 ;1933;1964;1999;SD;Vertical Envelopment Doctrine;Medium;M555037;X
775038;Chief of Staff;가파르 니메이리 ;1953;1964;1999;SD;School of Defence;medium;6088;x
