SWE;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
;Replacements;;;;;;;;;X
40001;Head of State;구스타프 5세 ;1933;1964;1999;SC;Pig-headed Isolationist;High;M7001;X
40002;Head of Government;악셀 페르손 브람스토르프 ;1933;1964;1999;SL;Happy Amateur;High;M7002;X
40003;Foreign Minister;칼 G. 베스트만 ;1933;1964;1999;SL;Apologetic Clerk;Very High;M7003;X
40004;Minister of Armament;빌마르 융달 ;1933;1964;1999;SL;Tank Proponent;Very High;M7004;X
40005;Minister of Security;토르발드 베리퀴스트 ;1933;1964;1999;SL;Compassionate Gentleman;Very High;M7005;X
40006;Head of Military Intelligence;카를로스 아들러르크루츠 ;1933;1964;1999;SC;Political Specialist;High;M7068;X
40007;Chief of Staff;오스카르 니그렌 ;1933;1964;1999;SC;School of Defence;Medium;M7007;X
40008;Chief of Army;오스카르 니그렌 ;1933;1964;1999;SC;Guns and Butter Doctrine;Medium;M7007;X
40009;Chief of Navy;샤를스 데 샴스 ;1933;1964;1999;PA;Decisive Naval Battle Doctrine;Very Low;M7009;X
40010;Chief of Air Force;토르스텐 프리스 ;1933;1964;1999;ML;Army Aviation Doctrine;Very High;M7010;X
40011;Head of State;구스타프 5세 ;1933;1964;1999;SD;Pig-headed Isolationist;High;M7001;X
40012;Head of Government;페르 알빈 한손 ;1932;1964;1999;SD;Ambitious Union Boss;High;M7033;X
40013;Head of Government;타게 에를란데르 ;1946;1964;1999;SD;Political Protege;High;M7034;X
40014;Head of Government;예스타 바게 ;1942;1964;1999;ML;Smiling Oilman;High;M7035;X
40015;Head of Government;악셀 페르손 브람스토르프 ;1938;1964;1999;SL;Happy Amateur;High;M7002;X
40016;Head of Government;베르틸 올린 ;1945;1964;1999;SL;Corporate Suit;High;M7037;X
40017;Foreign Minister;리샤르드 산들레르 ;1933;1964;1999;SD;Biased Intellectual;Low;M7038;X
40018;Foreign Minister;크리스티안 귄테르 ;1940;1964;1999;SC;Apologetic Clerk;High;M7039;X
40019;Foreign Minister;위스텐 운덴 ;1945;1964;1999;SD;Great Compromiser;High;M7040;X
40020;Foreign Minister;페르 에드빈 스쾰드 ;1933;1964;1999;SD;Ideological Crusader;Medium;M7041;X
40021;Foreign Minister;빌헬름 예란 룬드비크 ;1937;1964;1999;SL;Biased Intellectual;High;M7042;X
40022;Foreign Minister;R. 레손 솔르만 ;1938;1964;1999;SL;Iron Fisted Brute;High;M7043;X
40023;Foreign Minister;페르 E.G. 인술란데르 ;1939;1964;1999;SL;General Staffer;High;M7044;X
40024;Foreign Minister;예오리 안드레안 ;1945;1964;1999;SC;Ideological Crusader;High;M7045;X
40025;Foreign Minister;악셀 페르손 브람스토르프 ;1940;1964;1999;SL;The Cloak N Dagger Schemer;Very High;M7002;X
40026;Minister of Armament;에른스트 비그포르스 ;1933;1964;1999;SD;Resource Industrialist;Low;M7047;X
40027;Minister of Armament;구스타브 묄러 ;1933;1964;1999;SD;laissez-faire capitalist;Medium;M7048;X
40028;Minister of Armament;구스타브 카셀 ;1937;1964;1999;ML;Administrative Genius;Medium;M7049;X
40029;Minister of Armament;에리크 팔므스티에르나 ;1937;1964;1999;SD;Battle Fleet Proponent;Medium;M7050;X
40030;Minister of Armament;에른스트 트리게르 ;1938;1964;1999;ML;Theoretical Scientist;Medium;M7051;X
40031;Minister of Armament;에리크 아이나르 에크스트란드 ;1939;1964;1999;ML;Submarine Proponent;Medium;M7052;X
40032;Minister of Armament;예스타 바게 ;1940;1964;1999;ML;Resource Industrialist;Medium;M7035;X
40033;Minister of Armament;위스텐 운덴 ;1941;1964;1999;LWR;Infantry Proponent;Medium;M7054;X
40034;Minister of Armament;베르틸 올린 ;1944;1964;1999;SL;Military Entrepreneur;Medium;M7037;X
40035;Minister of Armament;마르틴 스코그룬드 ;1940;1964;1999;ML;laissez-faire capitalist;High;M7056;X
40036;Minister of Armament;프리쇼프 도뫼 ;1945;1964;1999;ML;Administrative Genius;High;M7057;X
40037;Minister of Security;칼 실리테르 ;1933;1964;1999;SD;Silent Lawyer;High;M7058;X
40038;Minister of Security;구스타브 안데르손 라시외 ;1940;1964;1999;SL;Compassionate Gentleman;Medium;M7059;X
40039;Minister of Security;악셀 T. 에델스베르드 ;1933;1964;1999;SL;Silent Lawyer;Very High;M7060;X
40040;Minister of Security;안데르스 린스테트 ;1937;1964;1999;SD;Compassionate Gentleman;Very High;M7061;X
40041;Minister of Security;페테르 G.A. 비이크만 ;1938;1964;1999;ML;Back Stabber;Very High;M7063;X
40042;Minister of Security;리하르드 J. 산들레르 ;1939;1964;1999;SD;Prince of Terror;Very High;M7038;X
40043;Minister of Security;K.G. 베스트만 ;1940;1964;1999;SL;Crime Fighter;Very High;M7003;X
40044;Minister of Security;아르비드 G. 리헤르트 ;1940;1964;1999;SD;Man of the People;Very High;M7066;X
40045;Head of Military Intelligence;헬게 융 ;1942;1964;1999;SC;Political Specialist;Low;M7006;X
40046;Head of Military Intelligence;에리크 팔므스티에르나 ;1939;1964;1999;SC;Naval Intelligence Specialist;Medium;M7050;X
40047;Head of Military Intelligence;에케 함메르스키욀드 ;1941;1964;1999;SL;Dismal Enigma;High;unknownminister;X
40048;Chief of Staff;올로프 퇴르넬 ;1937;1964;1999;SC;School of Fire Support;Very High;M7072;X
40049;Chief of Staff;악셀 라페 ;1940;1964;1999;SC;school of manoeuvre;Low;M7073;X
40050;Chief of Staff;사무에르 오케르헤름 ;1941;1964;1999;ML;School of Mass Combat;Medium;M7074;X
40051;Chief of Staff;악셀 브레드베리 ;1942;1964;1999;ML;School of Psychology;High;M7075;X
40052;Chief of Staff;카를 구스타프 에렌스보르드 ;1944;1964;1999;SC;School of Manoeuvre;Medium;M7076;X
40053;Chief of Staff;닐스 스베드룬드 ;1946;1964;1999;ML;School of Psychology;Very High;M7077;X
40054;Chief of Army;페르 시르반 ;1937;1964;1999;SC;Static Defence Doctrine;Medium;M7079;X
40055;Chief of Army;올로프 퇴르넬 ;1940;1964;1999;SC;Guns and Butter Doctrine;Very High;M7072;X
40056;Chief of Army;헬게 융 ;1943;1964;1999;SD;Armoured Spearhead Doctrine;Medium;M7006;X
40057;Chief of Army;아르히발드 더우글라스 ;1943;1964;1999;PA;Decisive Battle Doctrine;Medium;M7017;X
40058;Chief of Army;악셀 라페 ;1943;1964;1999;SC;Elastic Defence Doctrine;Very Low;M7073;X
40059;Chief of Army;벤트 노르덴스쾰드 ;1943;1964;1999;SD;Decisive Battle Doctrine;Low;M7070;X
40060;Chief of Army;악셀 브레드베리 ;1943;1964;1999;SL;Static Defence Doctrine;High;M7075;X
40061;Chief of Navy;에리크 팔므스티에르나 ;1933;1964;1999;SD;Base Control Doctrine;Medium;M7050;X
40062;Chief of Navy;예스타 에렌스보드 ;1942;1964;1999;ML;Decisive Naval Battle Doctrine;Medium;M7087;X
40063;Chief of Navy;파비안 탐 ;1944;1964;1999;SC;Open Seas Doctrine;High;M7088;X
40064;Chief of Navy;헬게 스트룀베크 ;1945;1964;1999;SL;Indirect Approach Doctrine;High;M7089;X
40065;Chief of Air Force;벤트 노르덴스쾰드 ;1942;1964;1999;ML;Air Superiority Doctrine;High;M7070;X
40066;Chief of Air Force;악셀 융다르 ;1944;1964;1999;SL;Vertical Envelopment Doctrine;Very High;M7092;X
40067;Head of State;마르틴 에크스트룀 ;1933;1964;1999;NS;Powerhungry Demagogue;High;M7011;X
40068;Head of Government;마르틴 에크스트룀 ;1933;1964;1999;NS;Naive Optimist;High;M7011;X
40069;Foreign Minister;에릭 본 로센 ;1933;1964;1999;NS;Ideological Crusader;Very High;M7013;X
40070;Minister of Armament;아르투르 린덴 ;1933;1964;1999;NS;Laissez-Faire Capitalist;Medium;M7014;X
40071;Minister of Security;스벤 헤딘 ;1933;1964;1999;FA;Back Stabber;Very High;M7015;X
40072;Head of Military Intelligence;헤르만 닐손 엘레 ;1933;1964;1999;NS;Technical Specialist;Very High;M7016;X
40073;Chief of Staff;아르히발드 더우글라스 ;1933;1964;1999;NS;School of Manoeuvre;High;M7017;X
40074;Chief of Army;마르틴 에크스트룀 ;1933;1964;1999;NS;Decisive Battle Doctrine;Very High;M7011;X
40075;Chief of Navy;샤를스 데 샴스 ;1933;1964;1999;FA;Decisive Naval Battle Doctrine;Very High;M7009;X
40076;Chief of Air Force;악셀 일렌크로크 ;1933;1964;1999;PA;Army Aviation Doctrine;Low;M7020;X
40077;Head of State;스벤 린더로트 ;1933;1964;1999;ST;Insignificant Layman;High;M7021;X
40078;Head of Government;스벤 린더로트 ;1933;1964;1999;ST;Happy Amateur;High;M7021;X
40079;Foreign Minister;휴고 셀렌 ;1933;1964;1999;ST;Ideological Crusader;Very High;M7023;X
40080;Minister of Armament;힐딩 하그베리 ;1933;1964;1999;ST;Resource Industrialist;Very High;M7024;X
40081;Minister of Security;카를 킬봄 ;1933;1964;1999;LE;Crime Fighter;High;M7025;X
40082;Head of Military Intelligence;C.H. 헤르만손 ;1933;1964;1999;ST;Naval Intelligence Specialist;High;M7026;X
40083;Chief of Staff;군나르 요한손 ;1933;1964;1999;ST;School of Mass Combat;Very High;unknownminister;X
40084;Chief of Army;악셀 페테르손 ;1933;1964;1999;ST;Decisive Battle Doctrine;Very High;unknownminister;X
40085;Chief of Navy;페르 M. 에릭손 ;1933;1964;1999;ST;Decisive Naval Battle Doctrine;Very High;unknownminister;X
40086;Chief of Air Force;크리스터 로이터스베르드 ;1933;1964;1999;LWR;Army Aviation Doctrine;Low;unknownminister;X
