TAJ;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
;Replacements;;;;;;;;;X
530001;Head of State;드미트리 프토로포포프 ;1933;1964;1999;LE;Die-hard Reformer;High;M524001;X
530002;Head of Government;보보잔 가푸로프 ;1933;1964;1999;LE;Flamboyant Tough Guy;High;M524002;X
530003;Foreign Minister;우룬보이 우쇼로프 ;1933;1964;1999;LE;General Staffer;High;M524003;X
530004;Minister of Armament;미르자 오글리 후세이노프 ;1933;1964;1999;LE;Tank Proponent;Medium;M524004;X
530005;Minister of Security;그리고리 보로이도 ;1933;1964;1999;LE;Back Stabber;Medium;M524005;X
530006;Head of Military Intelligence;수렌 샤둔츠 ;1933;1964;1999;LE;Dismal Enigma;Medium;M524006;X
530007;Chief of Staff;아라 가푸로프 ;1933;1964;1999;LE;School of Fire Support;Medium;M524007;X
530008;Chief of Army;베냐민 프로토포포프 ;1933;1964;1999;LE;Decisive Battle Doctrine;Medium;M524008;X
530009;Chief of Navy;펜다르 린덴코 ;1933;1964;1999;LE;Indirect Approach Doctrine;Medium;M524009;X
530010;Chief of Air Force;미하일 바르수코프 ;1933;1964;1999;LE;Vertical Envelopment Doctrine;Medium;M524010;X
530011;Head of State;가산 압둘라예프 ;1933;1964;1999;SL;Stern Imperialist;High;M524011;X
530012;Head of State;베랑 셀레즈네프 ;1933;1964;1999;PA;Insignificant Layman;High;M524012;X
530013;Head of Government;샤단 라브레네츠 ;1933;1964;1999;SL;Corporate Suit;High;M524013;X
530014;Head of Government;예브게니 마메도프 ;1933;1964;1999;PA;Backroom Backstabber;High;M524014;X
530015;Foreign Minister;쉬린쇼 쇼테모르 ;1933;1964;1999;LE;Iron Fisted Brute;High;M524015;X
530016;Foreign Minister;페다 론진 ;1933;1964;1999;SL;Ideological Crusader;High;M524016;X
530017;Foreign Minister;가리 아벨레프 ;1933;1964;1999;SL;Biased Intellectual;High;M524017;X
530018;Foreign Minister;파가한 아사노프 ;1933;1964;1999;PA;Ideological Crusader;High;M524018;X
530019;Foreign Minister;프레바 파쉬코프 ;1933;1964;1999;PA;Iron Fisted Brute;High;M524019;X
530020;Minister of Armament;캄샤트 겐킨 ;1933;1964;1999;LE;Resource Industrialist;Medium;M524020;X
530021;Minister of Armament;압둘로 라힘바예프 ;1933;1964;1999;LE;Military Entrepreneur;Medium;M524021;X
530022;Minister of Armament;알렉산드르 바이코프 ;1933;1964;1999;LE;Theoretical Scientist;Medium;M524022;X
530023;Minister of Armament;잔트 코르쥐 ;1933;1964;1999;SL;Military Entrepreneur;Medium;M524023;X
530024;Minister of Armament;나스 긴디스 ;1933;1964;1999;SL;Tank Proponent;Medium;M524024;X
530025;Minister of Armament;이반 프로시트 ;1933;1964;1999;PA;Air to Ground Proponent;Medium;M524025;X
530026;Minister of Armament;일리야 체르나예프 ;1933;1964;1999;PA;Theoretical Scientist;Medium;M524026;X
530027;Minister of Security;맘달리 쿠르바노프 ;1933;1964;1999;LE;Compassionate Gentleman;Medium;M524027;X
530028;Minister of Security;맘툰 쿠르바노프 ;1933;1964;1999;SL;Silent Lawyer;Medium;M524028;X
530029;Minister of Security;그리고리 발란치네 ;1933;1964;1999;SL;Compassionate Gentleman;Medium;M524029;X
530030;Minister of Security;알렉산더 베르크만 ;1933;1964;1999;PA;Prince of Terror;Medium;M524030;X
530031;Minister of Security;마하스티 가푸로프 ;1933;1964;1999;PA;Silent Lawyer;Medium;M524031;X
530032;Minister of Security;겐나디 신부 ;1933;1964;1999;PA;Crime Fighter;Medium;M524032;X
530033;Head of Military Intelligence;뭄토즈 라셀토프 ;1933;1964;1999;LE;Logistics Specialist;Medium;M524033;X
530034;Head of Military Intelligence;샤얀 바리쉬니코프 ;1933;1964;1999;SL;Dismal Enigma;Medium;M524034;X
530035;Head of Military Intelligence;이고르 발리옌코프 ;1933;1964;1999;SL;Technical Specialist;Medium;M524035;X
530036;Head of Military Intelligence;발레리 바르수코프 ;1933;1964;1999;PA;Technical Specialist;Medium;M524036;X
530037;Head of Military Intelligence;펠릭스 일랸 ;1933;1964;1999;PA;Political Specialist;Medium;M524037;X
530038;Chief of Staff;니콜라이 프로봇보로프;1933;1964;1999;LE;School of Mass Combat;Medium;M524038;X
530039;Chief of Staff;유리 페르미노프 ;1933;1964;1999;SL;School of Manoeuvre;Medium;M524039;X
530040;Chief of Staff;우룬보이 우쇼로프 ;1933;1964;1999;PA;School of Psychology;Medium;M524003;X
530041;Chief of Army;네옐루파르 카자체스테보 ;1933;1964;1999;LE;Guns and Butter Doctrine;Medium;M524041;X
530042;Chief of Army;니키타 프로스쿠랴노프;1933;1964;1999;SL;Armoured Spearhead Doctrine;Medium;M524042;X
530043;Chief of Army;아라 가푸로프 ;1933;1964;1999;PA;Static Defence Doctrine;Medium;M524007;X
530044;Chief of Navy;샤막 시나이스키 ;1933;1964;1999;SL;Open Seas Doctrine;Medium;M524044;X
530045;Chief of Navy;우룬보이 우쇼로프 ;1933;1964;1999;PA;Decisive Naval Battle Doctrine;Medium;M524003;X
530046;Chief of Air Force;펜다르 린덴코 ;1933;1964;1999;SL;Army Aviation Doctrine;Medium;M524009;X
530047;Chief of Air Force;발터 주렌 ;1933;1964;1999;PA;Carpet Bombing Doctrine;Medium;M524047;X
