TIB;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
;Replacements;;;;;;;;;X
440001;Head of State;텐진 갸초 ;1933;1964;1999;PA;Benevolent Gentleman;High;M73001;X
440002;Head of Government;레칭 린포체 ;1933;1964;1999;PA;Old General;High;M73002;X
440003;Foreign Minister;레칭 린포체 ;1933;1964;1999;PA;Apologetic Clerk;High;M73002;X
440004;Minister of Armament;체폰 샤캅파 ;1933;1964;1999;PA;Corrupt Kleptocrat;High;M73004;X
440005;Minister of Security;레칭 린포체 ;1933;1964;1999;PA;Compassionate Gentleman;High;M73002;X
440006;Head of Military Intelligence;W.G. 컨델링 ;1933;1964;1999;PA;Logistics Specialist;High;M73006;X
440007;Chief of Staff;기야토 왕두 ;1933;1964;1999;PA;School of Manoeuvre;High;M73007;X
440008;Chief of Army;텐파 잠양 ;1933;1964;1999;PA;Elastic Defence Doctrine;High;M73008;X
440009;Chief of Navy;차마 삼페 ;1933;1964;1999;PA;Decisive Naval Battle Doctrine;High;M73009;X
440010;Chief of Air Force;삼포 체왕 리그친 ;1933;1964;1999;PA;Army Aviation Doctrine;High;M73010;X
440011;Head of Government;탁트라 린포체 ;1941;1964;1999;SC;Backroom Backstabber;Medium;M73041;X
440012;Foreign Minister;게둔 체펠 ;1933;1964;1999;SC;Biased Intellectual;Medium;M73012;X
440013;Foreign Minister;쿤치크 샤마르 린포체 ;1933;1964;1999;PA;Ideological Crusader;Medium;M73043;X
440014;Foreign Minister;탁트라 린포체 ;1941;1964;1999;PA;Great Compromiser;Medium;M73041;X
440015;Foreign Minister;지그메 타링 ;1943;1964;1999;SC;Apologetic Clerk;Medium;M73045;X
440016;Foreign Minister;기야토 왕두 ;1943;1964;1999;PA;General Staffer;Medium;M73007;X
440017;Foreign Minister;강좀 타르친 ;1944;1964;1999;PA;The Cloak N Dagger Schemer;Medium;M73047;X
440018;Foreign Minister;두좀 린포체 ;1945;1964;1999;SC;Iron Fisted Brute;Medium;M73048;X
