TRA;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
;Replacements;;;;;;;;;X
785001;Head of State;아르세니 즈베레프 ;1933;1964;1999;LWR;Barking Buffoon;High;M523001;X
785002;Head of Government;울라스 추바르 ;1933;1964;1999;LWR;Smiling Oilman;High;M523002;X
785003;Foreign Minister;고리고리 그린코 ;1933;1964;1999;LWR;Great Compromiser;High;M523003;X
785004;Minister of Armament;니콜라이 브류하노프 ;1933;1964;1999;LWR;Infantry Proponent;Medium;M523004;X
785005;Minister of Security;브셀레보트 메르쿨로프 ;1933;1964;1999;LWR;Back Stabber;Medium;M523005;X
785006;Head of Military Intelligence;고리고리 소콜니코프 ;1933;1964;1999;LWR;Dismal Enigma;Medium;M523006;X
785007;Chief of Staff;켈디쉬 니키틴 ;1933;1964;1999;LWR;School of Defence;Medium;M523007;X
785008;Chief of Army;오시프 포키네 ;1933;1964;1999;LWR;Decisive Battle Doctrine;Medium;M523008;X
785009;Chief of Navy;루리크 에르텔킨 ;1933;1964;1999;LWR;Decisive Naval Battle Doctrine;Medium;L502013;X
785010;Chief of Air Force;겐나디 아바쿠모프 ;1933;1964;1999;LWR;Army Aviation Doctrine;Medium;M523010;X
785011;Head of State;미하일 라주르킨 ;1933;1964;1999;ML;Popular Figurehead;High;M523011;X
785012;Head of State;이고르 3세 ;1933;1964;1999;PA;Pig-headed Isolationist;High;M523012;X
785013;Head of Government;미하일 세브랴코프 ;1933;1964;1999;ML;Silent Workhorse;High;M523013;X
785014;Head of Government;세르게이 불리취 ;1933;1964;1999;PA;Ambitious Union Boss;High;M523014;X
785015;Foreign Minister;니콜라이 보즈네센스키;1933;1964;1999;LWR;Biased Intellectual;High;M523015;X
785016;Foreign Minister;브세볼로트 토마셰프스키 ;1933;1964;1999;ML;Apologetic Clerk;High;M523016;X
785017;Foreign Minister;세르게이 베른스테인 ;1933;1964;1999;ML;Iron Fisted Brute;High;M523017;X
785018;Foreign Minister;빅토르 파우세크 ;1933;1964;1999;PA;Great Compromiser;High;M523018;X
785019;Foreign Minister;블라디미르 오를로프 ;1933;1964;1999;PA;Iron Fisted Brute;High;M523019;X
785020;Minister of Armament;막심 사부로프 ;1933;1964;1999;LWR;Theoretical Scientist;Medium;M523020;X
785021;Minister of Armament;니콜라이 데르자빈 ;1933;1964;1999;ML;Air Superiority Proponent;Medium;M523021;X
785022;Minister of Armament;니키타 크릴로프 ;1933;1964;1999;ML;Military Entrepreneur;Medium;M523022;X
785023;Minister of Armament;드미트리 골렌코프 ;1933;1964;1999;PA;Tank Proponent;Medium;M523023;X
785024;Minister of Armament;파벨 보로니 ;1933;1964;1999;PA;Battle Fleet Proponent;Medium;M523024;X
785025;Minister of Armament;드미트리 그랍베 니키틴 ;1933;1964;1999;PA;Infantry Proponent;Medium;M523025;X
785026;Minister of Security;겐나디 스미로프 ;1933;1964;1999;LWR;Compassionate Gentleman;Medium;unknownminister;X
785027;Minister of Security;빅토르 아바쿠모프 ;1933;1964;1999;LWR;Secret police chief;Medium;M523027;X
785028;Minister of Security;블라디미르 쉼케비치 ;1933;1964;1999;ML;Efficient Sociopath;Medium;M523028;X
785029;Minister of Security;니키타 귄터 ;1933;1964;1999;ML;Crime Fighter;Medium;M523029;X
785030;Minister of Security;알렉세이 프리드만 ;1933;1964;1999;PA;Prince of Terror;Medium;M523030;X
785031;Minister of Security;샤브로프 니키틴 ;1933;1964;1999;PA;Crime Fighter;Medium;M523031;X
785032;Head of Military Intelligence;알렉산드르 이바노프 ;1933;1964;1999;LWR;Industrial Specialist;Medium;M523032;X
785033;Head of Military Intelligence;Yurtsev Smirnov;1933;1964;1999;ML;Technical Specialist;Medium;M523033;X
785034;Head of Military Intelligence;보리스 갈레르킨 ;1933;1964;1999;ML;Dismal Enigma;Medium;M523034;X
785035;Head of Military Intelligence;파트리아르흐 티혼 ;1933;1964;1999;PA;Political Specialist;Medium;M523035;X
785036;Head of Military Intelligence;글렙 크르지자노프스키 ;1933;1964;1999;PA;Dismal Enigma;Medium;M523036;X
785037;Chief of Staff;바실리 체비키모프 ;1933;1964;1999;ML;School of Fire Support;Medium;M523037;X
785038;Chief of Staff;라자크 하지예프 ;1933;1964;1999;PA;School of Mass Combat;Medium;M523038;X
785039;Chief of Army;알렉산드르 사부로프 ;1933;1964;1999;LWR;Elastic Defence Doctrine;Medium;M523039;X
785040;Chief of Army;볼랴 보르셰프스키 ;1933;1964;1999;ML;Armoured Spearhead Doctrine;Medium;M523040;X
785041;Chief of Army;이고르 코블론 ;1933;1964;1999;PA;Static Defence Doctrine;Medium;M523041;X
785042;Chief of Army;세르게이 코르발체프 ;1933;1964;1999;PA;Guns and Butter Doctrine;Medium;M523042;X
785043;Chief of Navy;이그나츠 드미르킨 ;1933;1964;1999;ML;Open Seas Doctrine;Medium;L504000;X
785044;Chief of Navy;드미트리 사카르스키 ;1933;1964;1999;PA;Indirect Approach Doctrine;Medium;M520034;X
785045;Chief of Air Force;니키포르 가폰 ;1933;1964;1999;ML;Carpet Bombing Doctrine;Medium;M523045;X
785046;Chief of Air Force;카를 다인하르트 ;1933;1964;1999;PA;Air Superiority Doctrine;Medium;M523046;X
