TUN;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
;Replacements;;;;;;;;;X
535001;Head of State;아흐마드 2세 ;1933;1964;1999;SL;Ruthless Powermonger;High;M532001;X
535002;Head of Government;에디 라코우 ;1933;1964;1999;SL;Happy Amateur;High;M532002;X
535003;Foreign Minister;아르망 기용 ;1933;1964;1999;SL;Great Compromiser;High;M532003;X
535004;Minister of Armament;슬라헤딘느 베쿠슈 ;1933;1964;1999;SL;Tank Proponent;Medium;M532004;X
535005;Minister of Security;음하메드 체니크 ;1933;1964;1999;SL;Man of the People;Medium;M532005;X
535006;Head of Military Intelligence;무스타파 카크 ;1933;1964;1999;SL;Industrial Specialist;Medium;M532006;X
535007;Chief of Staff;앙리 데스티에 ;1933;1964;1999;SL;School of Manoeuvre;Medium;M532007;X
535008;Chief of Army;보우밀 바자크 ;1933;1964;1999;SL;Guns and Butter Doctrine;Medium;M532008;X
535009;Chief of Navy;쥘 에브누 ;1933;1964;1999;SL;Open Seas Doctrine;Medium;M532009;X
535010;Chief of Air Force;에밀 지나 ;1933;1964;1999;SL;Army Aviation Doctrine;Medium;M532010;X
535011;Head of State;타하르 빈 암마르 ;1933;1964;1999;SD;Autocratic Charmer;High;M532011;X
535012;Head of State;무함마드 7세 ;1942;1964;1999;SL;Die-hard Reformer;High;M532012;X
535013;Head of State;무함마드 8세 ;1943;1964;1999;SL;Powerhungry Demagogue;High;M532013;X
535014;Head of State;음하메드 체니크 ;1933;1964;1999;SC;Popular Figurehead;High;M532005;X
535015;Head of Government;하비브 부르기바 ;1933;1964;1999;SD;Ambitious Union Boss;High;M532015;X
535016;Head of Government;음하메드 체니크 ;1943;1964;1999;SL;Corporate Suit;High;M532005;X
535017;Head of Government;슬라헤딘느 베쿠슈 ;1943;1964;1999;SL;Smiling Oilman;High;M532004;X
535018;Head of Government;무스타파 카크 ;1947;1964;1999;SL;Smiling Oilman;High;M532006;X
535019;Head of Government;하무다 샤드라니 ;1933;1964;1999;SC;Political Protege;High;M532019;X
535020;Foreign Minister;바이 라드감 ;1933;1964;1999;SD;Great Compromiser;High;M532020;X
535021;Foreign Minister;에릭 라본 ;1938;1964;1999;SL;Apologetic Clerk;High;M531014;X
535022;Foreign Minister;장 피에르 에스테바 ;1940;1964;1999;SL;General Staffer;High;L24159;X
535023;Foreign Minister;샤를 엠마뉘엘 마스트 ;1943;1964;1999;SL;The Cloak N Dagger Schemer;High;M532023;X
535024;Foreign Minister;장 몽 ;1947;1964;1999;SL;Biased Intellectual;High;M532024;X
535025;Foreign Minister;무함마드 잘룰리 ;1933;1964;1999;SC;Biased Intellectual;High;M532025;X
535026;Minister of Armament;타예브 메히리 ;1933;1964;1999;SD;Battle Fleet Proponent;Medium;M532026;X
535027;Minister of Armament;로제르 알루에 ;1942;1964;1999;SL;Theoretical Scientist;Medium;M532027;X
535028;Minister of Armament;무함마드 마스무디 ;1944;1964;1999;SL;Military Entrepreneur;Medium;M532028;X
535029;Minister of Armament;알리 벨하우안 ;1933;1964;1999;SC;Air Superiority Proponent;Medium;M532029;X
535030;Minister of Security;몽기 슬림 ;1933;1964;1999;SD;Crime Fighter;Medium;M532030;X
535031;Minister of Security;페르하트 켈툼 ;1943;1964;1999;SL;Compassionate Gentleman;Medium;M532031;X
535032;Minister of Security;헤디 누이라 ;1933;1964;1999;SC;Back Stabber;Medium;M532032;X
535033;Head of Military Intelligence;하비브 부르기바 ;1933;1964;1999;SD;Technical Specialist;Medium;M532015;X
535034;Head of Military Intelligence;앙드레 리트비츠 ;1941;1964;1999;SL;Political Specialist;Medium;M532034;X
535035;Head of Military Intelligence;하무다 샤드라니 ;1933;1964;1999;SC;Dismal Enigma;Medium;M532019;X
535036;Chief of Staff;장 로랑 샴프로세 ;1933;1964;1999;SD;School of Fire Support;Medium;M532036;X
535037;Chief of Staff;자크 마소 ;1943;1964;1999;SL;School of Psychology;Medium;M532037;X
535038;Chief of Staff;자크 세베스트르 ;1933;1964;1999;SC;School of Mass Combat;Medium;M532038;X
535039;Chief of Army;에밀 쿨라돈 ;1943;1964;1999;SL;Decisive Battle Doctrine;Medium;M532039;X
535040;Chief of Army;앙리 데스티에 ;1933;1964;1999;SC;Static Defence Doctrine;Medium;M532007;X
535041;Chief of Army;에밀 지나 ;1933;1964;1999;SC;Elastic Defence Doctrine;Medium;M532010;X
535042;Chief of Navy;젤룰리 파레스 ;1933;1964;1999;SD;Base Control Doctrine;Medium;M532042;X
535043;Chief of Navy;자크 세베스트르 ;1943;1964;1999;SL;Indirect Approach Doctrine;Medium;M532038;X
535044;Chief of Navy;사도크 모카뎀 ;1933;1964;1999;SC;Decisive Naval Battle Doctrine;Medium;M532044;X
535045;Chief of Air Force;압달라 파르하트 ;1933;1964;1999;SD;Vertical Envelopment Doctrine;Medium;M532045;X
535046;Chief of Air Force;에밀 알레그레 ;1943;1964;1999;SL;Carpet Bombing Doctrine;Medium;M532046;X
535047;Chief of Air Force;아흐메드 트릴리 ;1933;1964;1999;SC;Naval Aviation Doctrine;Medium;M532047;X
