TUR;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
;Replacements;;;;;;;;;X
45001;Head of State;무스타파 케말 아타튀르크 ;1921;1964;1999;PA;Resigned Generalissimo;High;3379;X
45002;Head of Government;무스타파 이스메트 이뇌뉘 ;1921;1964;1999;PA;Political Protege;High;3380;X
45003;Foreign Minister;테브피크 뤼슈티 아라스 ;1921;1964;1999;PA;Biased Intellectual;Medium;M12003;X
45004;Minister of Armament;제카이 아파이든 ;1933;1964;1999;SC;Resource Industrialist;Medium;M12004;X
45005;Minister of Security;쉬크뤼 카야 ;1933;1964;1999;SC;Man of the People;Medium;M12005;X
45006;Head of Military Intelligence;쉬크뤼 알리 외겔 ;1921;1964;1999;PA;Industrial Specialist;Medium;M12006;X
45007;Chief of Staff;페브지 차크마크 ;1921;1964;1999;PA;School of Defence;Medium;3381;X
45008;Chief of Army;메흐메트 누리 야무트 ;1933;1964;1999;PA;Static Defence Doctrine;Medium;M12008;X
45009;Chief of Navy;메흐메트 알리 윌겐 ;1921;1964;1999;PA;Base Control Doctrine;Medium;M12009;X
45010;Chief of Air Force;알리 외르룽가트 ;1921;1964;1999;PA;Army Aviation Doctrine;Medium;M12010;X
45011;Head of State;무스타파 이스메트 이뇌뉘 ;1938;1964;1999;SC;Pig-headed Isolationist;High;3380;X
45012;Head of Government;마흐무트 젤랄 바야르 ;1937;1964;1999;SC;Silent Workhorse;High;3382;X
45013;Head of Government;레피크 사이담 ;1939;1943;1943;ML;Smiling Oilman;High;3383;X
45014;Head of Government;쉬크뤼 사라졸루 ;1942;1951;1951;ML;Flamboyant Tough Guy;High;M12034;X
45015;Foreign Minister;쉬크뤼 사라졸루 ;1938;1964;1999;SC;Biased Intellectual;High;M12034;X
45016;Foreign Minister;사이드 메네멘지올루 ;1942;1964;1999;ML;Great Compromiser;Medium;M12036;X
45017;Foreign Minister;하산 사카 ;1944;1964;1999;SC;Ideological Crusader;Medium;M12038;X
45018;Foreign Minister;네크메틴 사디크 사다크 ;1947;1964;1999;SC;General Staffer;Medium;M12039;X
45019;Foreign Minister;레페트 벨레 ;1933;1964;1999;PA;General Staffer;Medium;M12040;X
45020;Foreign Minister;무스타파 이스메트 이뇌뉘 ;1937;1964;1999;SC;Great Compromiser;Medium;3380;X
45021;Foreign Minister;알리 페흐티 오키야르 ;1937;1964;1999;ML;Biased Intellectual;Medium;M12013;X
45022;Foreign Minister;압뒬할리크 렌다 ;1943;1964;1999;ML;Apologetic Clerk;Medium;M12043;X
45023;Minister of Armament;누룰라흐 에사트 쉬메르 ;1943;1964;1999;ML;Corrupt Kleptocrat;Medium;M12045;X
45024;Minister of Armament;아드난 멘데레스 ;1946;1964;1999;ML;Theoretical Scientist;Medium;M12046;X
45025;Minister of Armament;무스타파 이스메트 이뇌뉘 ;1933;1964;1999;SC;Administrative Genius;Medium;3380;X
45026;Minister of Armament;푸아드 칼리스타르 ;1933;1964;1999;SC;Infantry Proponent;Medium;M12048;X
45027;Minister of Armament;카즘 외잘프 ;1921;1964;1999;SC;Military Entrepreneur;Medium;M12049;X
45028;Minister of Armament;테브피크 뤼슈티 아라스 ;1939;1964;1999;ML;Theoretical Scientist;Medium;M12050;X
45029;Minister of Armament;솀세틴 귀날타이 ;1940;1964;1999;SC;Tank Proponent;Medium;M12051;X
45030;Minister of Armament;뮈니르 뷔르센 ;1946;1964;1999;ML;laissez-faire capitalist;Medium;M12052;X
45031;Minister of Armament;무스타파 렌다 ;1938;1964;1999;ML;Military Entrepreneur;Medium;M12054;X
45032;Minister of Security;휘스뉘 차크르 ;1943;1964;1999;ML;Crooked Kleptocrat;Medium;M12056;X
45033;Minister of Security;힐미 우란 ;1944;1964;1999;ML;Crime Fighter;Medium;M12057;X
45034;Minister of Security;멤두흐 타마치 ;1946;1964;1999;ML;Prince of Terror;Medium;M12059;X
45035;Minister of Security;아드난 멘데레스 ;1947;1964;1999;ML;Back Stabber;Medium;M12046;X
45036;Minister of Security;압둘 나지 티나즈 ;1938;1964;1999;ML;Silent Lawyer;Medium;M12061;X
45037;Minister of Security;마흐무트 젤랄 바야르 ;1933;1964;1999;SC;Back Stabber;Medium;3382;X
45038;Minister of Security;압바스 제바트 ;1939;1964;1999;SD;Crooked Kleptocrat;Medium;M12025;X
45039;Minister of Security;사페트 아리칸 ;1940;1964;1999;SC;Crime Fighter;Medium;M12058;X
45040;Minister of Security;알리 르자 튀렐 ;1940;1964;1999;ML;Efficient Sociopath;Medium;M12065;X
45041;Minister of Security;오르한 괴카이 ;1941;1964;1999;ML;Silent Lawyer;Medium;M12015;X
45042;Minister of Security;메흐메트 레제프 페케르 ;1941;1964;1999;SC;Compassionate Gentleman;Medium;M12067;X
45043;Head of Military Intelligence;무스타파 렌다 ;1938;1964;1999;SC;Dismal Enigma;High;M12054;X
45044;Head of Military Intelligence;알리 뤼자 아르툰칼 ;1943;1964;1999;ML;Logistics Specialist;Medium;M12069;X
45045;Head of Military Intelligence;뭄타즈 외크멘 ;1946;1964;1999;ML;Industrial Specialist;Medium;M12070;X
45046;Head of Military Intelligence;메흐메트 레제프 페케르 ;1947;1964;1999;ML;Industrial Specialist;High;M12067;X
45047;Head of Military Intelligence;푸아드 쾨프륄뤼 ;1938;1964;1999;ML;Naval Intelligence Specialist;Medium;M12026;X
45048;Chief of Staff;압둘 나지 티나즈 ;1938;1964;1999;SC;School of Fire Support;Medium;M12061;X
45049;Chief of Staff;알리 외르룽가트 ;1943;1964;1999;ML;School of Mass Combat;Medium;M12010;X
45050;Chief of Staff;압둘라흐만 귀르만 ;1946;1964;1999;ML;School of Manoeuvre;Medium;M12075;X
45051;Chief of Army;무스타파 엘델훈 ;1943;1964;1999;ML;Armoured Spearhead Doctrine;Medium;M12077;X
45052;Chief of Army;제밀 토위데뮈르 ;1946;1964;1999;ML;Decisive Battle Doctrine;Medium;M12078;X
45053;Chief of Navy;알리 푸아트 제베소이 ;1938;1964;1999;SC;Indirect Approach Doctrine;Medium;M12079;X
