U58;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
1105001;Head of State;프란시스코 '판초' 비야 ;1913;1930;1999;LWR;Powerhungry Demagogue;Medium;8320;X
1105002;Head of Government;프란시스코 '판초' 비야 ;1913;1930;1999;LWR;Flamboyant Tough Guy;Medium;8320;X
1105003;Foreign Minister;호세 오르티스 ;1913;1930;1999;LWR;Ideological Crusader;Medium;7248;X
1105004;Minister of Armament;라파엘 부엘나 ;1913;1930;1999;SD;Military Entrepreneur;Medium;8332;X
1105005;Minister of Armament;호세 루이스 ;1913;1930;1999;SD;Infantry Proponent;Medium;unknownminister;X
1105006;Minister of Armament;막시미아노 마르케스 ;1913;1930;1999;LWR;Administrative Genius;Medium;unknownminister;X
1105007;Minister of Security;라울 마데로 ;1913;1930;1999;SD;Man of the People;Medium;8334;X
1105008;Minister of Security;카를로스 C. 에체베리아 ;1913;1930;1999;SD;Prince of Terror;Medium;unknownminister;X
1105009;Head of Military Intelligence;로돌포 피에로 ;1913;1930;1999;LWR;Political Specialist;Medium;8336;X
1105010;Head of Military Intelligence;페르난도 마르틴 델 캄포 ;1913;1930;1999;LWR;Technical Specialist;Medium;unknownminister;X
1105011;Chief of Staff;후안 메디나 ;1913;1930;1999;LWR;School of Fire Support;Medium;7258;X
1105012;Chief of Staff;호세 이사벨 로블레스 ;1913;1930;1999;SD;School of Manoeuvre;Medium;7242;X
1105013;Chief of Staff;니콜라스 페르난데스 ;1913;1930;1999;LWR;School of Defence;Medium;8312;X
1105014;Chief of Staff;프란시스코 '판초' 비야 ;1913;1930;1999;LWR;School of Psychology;Medium;8321;X
1105015;Chief of Army;후안 메디나 ;1913;1930;1999;LWR;Decisive Battle Doctrine;Medium;7258;X
1105016;Chief of Army;호세 이사벨 로블레스 ;1913;1930;1999;SD;Static Defence Doctrine;Medium;7242;X
1105017;Chief of Army;니콜라스 페르난데스 ;1913;1930;1999;LWR;Elastic Defence Doctrine;Medium;8312;X
1105018;Chief of Army;프란시스코 '판초' 비야 ;1913;1930;1999;LWR;Guns and Butter Doctrine;Medium;8321;X
1105019;Chief of Navy;에우게니오 아게이르 ;1913;1930;1999;LWR;Base Control Doctrine;Medium;2836;X
1105020;Chief of Navy;페드로 칼로카 라리오스 ;1913;1930;1999;LWR;Open Seas Doctrine;Medium;8325;X
1105021;Chief of Navy;미구엘 S. 곤살레스 ;1913;1930;1999;LWR;Decisive Naval Battle Doctrine;Medium;8308;X
1105022;Chief of Navy;호세 이사벨 로블레스 ;1913;1930;1999;SD;Indirect Approach Doctrine;Medium;7242;X
1105023;Chief of Air Force;페드로 칼로카 라리오스 ;1913;1930;1999;LWR;Army Aviation Doctrine;Medium;8325;X
1105024;Chief of Air Force;에드윈 찰스 파슨스 ;1913;1930;1999;SD;Air Superiority Doctrine;Medium;unknownminister;X
1105025;Chief of Air Force;레스터 펜스 발로우 ;1914;1930;1999;SD;Carpet Bombing Doctrine;Medium;unknownminister;X
