UCH;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
1325100;Head of State;À§¾È½ºÄ«ÀÌ ;1885;1916;1932;PA;Yuan Shikai_1;High;9466;X
1325101;Head of Government;½¹½Ã¸µ ;1897;1915;1937;PA;Corporate Suit;High;9467;X
1325102;Foreign Minister;¼ø¹Ù¿ÀÄ¡ ;1900;1928;1928;PA;Great Compromiser;High;9468;X
1325103;Minister of Armament;½¹½Ã¸µ ;1897;1915;1937;PA;Resource Industrialist;Medium;9467;X
1325104;Head of Military Intelligence;Àú¿ìÂêÄ¡ ;1896;1923;1923;PA;Technical Specialist;Medium;9469;X
1325105;Minister of Security;ÁÖÄ¡Ã¾ ;1909;1933;1957;PA;Prince of Terror;Medium;9470;X
1325106;Chief of Staff;µÃÄ¡·çÀÌ ;1898;1926;1936;PA;School of Mass Combat;Medium;9471;X
1325107;Chief of Army;µÃÄ¡·çÀÌ ;1898;1926;1936;PA;Decisive Battle Doctrine;Medium;9471;X
1325108;Chief of Navy;·ù±¤½¹ ;1894;1927;1927;PA;Open Seas Doctrine;Medium;9472;X
1325109;Chief of Air Force;µÃÄ¡·çÀÌ ;1898;1926;1936;PA;Army Aviation Doctrine;Medium;9471;X
1325110;Minister of Armament;ÀåÁö¾È ;1909;1926;1926;SC;Reformer;Medium;9473;X
1325111;Minister of Security;·®Ä¡Â÷¿À ;1895;1918;1918;ML;Man of the People;Medium;9462;X
1325112;Head of Government;¼ø¹Ù¿ÀÄ¡ ;1900;1928;1928;PA;Silent Workhorse;High;9468;X
1325113;Minister of Security;ÀåÁß¼§ ;1914;1933;1962;PA;Silent Lawyer;Medium;9474;X
1325114;Head of Government;¼ö½ºÃ¢ ;1905;1922;1939;PA;Political Protege;Very High;9475;X
1325115;Minister of Armament;Àú¿ìÂêÄ¡ ;1896;1923;1923;PA;Infantry Proponent;Very High;9469;X
1325116;Minister of Armament;Àú¿ì¼­¿ì½Ã ;1916;1933;1947;PA;Corrupt Kleptocrat;Very High;9476;X
1325117;Foreign Minister;·çÁ¤¼§ ;1893;1922;1922;PA;Biased Intellectual;High;9477;X
1325118;Chief of Staff;¿Õ½ºÀü ;1894;1930;1930;PA;School of Defence;Medium;9478;X
1325119;Chief of Army;¿Õ½ºÀü ;1894;1930;1930;PA;Static Defence Doctrine;High;9478;X
1325120;Head of Government;µÃÄ¡·çÀÌ ;1898;1926;1936;PA;Flamboyant Tough Guy;Very High;9471;X
