UGS;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
1340001;Head of State;보리스 두로프 ;1914;1977;1999;ML;benevolent gentleman;Medium;9094;X
1340002;Head of State;예브게니 밀레르 ;1914;1939;1999;ML;ruthless powermonger;Medium;9096;X
1340003;Head of Government;니콜라이 차이콥스키 ;1914;1926;1999;SD;silent workhorse;Medium;9555;X
1340004;Foreign Minister;예브게니 밀레르 ;1914;1939;1999;ML;great compromiser;Medium;9096;X
1340005;Foreign Minister;니콜라이 차이콥스키 ;1914;1926;1999;SD;apologetic clerk;Medium;9555;X
1340006;Minister of Armament;니콜라이 메포디예프 ;1914;1927;1999;ML;Construction magnate;Medium;unknownminister;X
1340007;Minister of Armament;야코프 데뒤셴코 ;1914;1936;1999;ML;Oil baron;Medium;9104;X
1340008;Minister of Armament;표트르 주보프 ;1914;1942;1999;ML;laissez-faire capitalist;Medium;9099;X
1340009;Minister of Armament;세르게이 마슬로프 ;1914;1965;1999;SD;infantry proponent;Medium;unknownminister;X
1340010;Minister of Armament;보리스 두로프 ;1914;1977;1999;ML;tank proponent;Medium;9094;X
1340011;Minister of Armament;예브게니 밀레르 ;1914;1939;1999;ML;military entrepreneur;Medium;9096;X
1340012;Minister of Security;보리스 두로프 ;1914;1977;1999;ML;prince of terror;Medium;9094;X
1340013;Minister of Security;표트르 주보프 ;1914;1942;1999;ML;crime fighter;Medium;9099;X
1340014;Minister of Security;블라디미르 이그나쳬프 ;1914;1945;1999;ML;silent lawyer;Medium;9101;X
1340015;Minister of Security;이반 바그리놉스키 ;1914;1945;1999;ML;back stabber;Medium;unknownminister;X
1340016;Minister of Security;엠마뉠 티젠가우젠 ;1914;1945;1999;ML;efficient sociopath;Medium;9556;X
1340017;Head of Military Intelligence;보리스 두로프 ;1914;1977;1999;ML;industrial specialist;Medium;9094;X
1340018;Head of Military Intelligence;예브게니 밀레르 ;1914;1939;1999;ML;political specialist;Medium;9096;X
1340019;Chief of Staff;게오르기 차플린 ;1914;1950;1999;ML;school of fire support;Medium;9097;X
1340020;Chief of Staff;레오니트 이바노프 ;1914;1940;1999;ML;school of manoeuvre;Medium;9098;X
1340021;Chief of Staff;보리스 두로프 ;1914;1977;1999;ML;school of defence;Medium;9094;X
1340022;Chief of Staff;블라디미르 마루쉡스키 ;1914;1952;1999;ML;school of psychology;Medium;9102;X
1340023;Chief of Staff;예브게니 밀레르 ;1914;1939;1999;ML;school of mass combat;Medium;9096;X
1340024;Chief of Army;게오르기 차플린 ;1914;1950;1999;ML;guns and butter doctrine;Medium;9097;X
1340025;Chief of Army;레오니트 이바노프 ;1914;1940;1999;ML;armoured spearhead doctrine;Medium;9098;X
1340026;Chief of Army;보리스 두로프 ;1914;1977;1999;ML;decisive battle doctrine;Medium;9094;X
1340027;Chief of Army;블라디미르 마루쉡스키 ;1914;1952;1999;ML;static defence doctrine;Medium;9102;X
1340028;Chief of Army;예브게니 밀레르 ;1914;1939;1999;ML;elastic defence doctrine;Medium;9096;X
1340029;Chief of Navy;니콜라이 비콜스트 ;1914;1944;1999;ML;base control doctrine;Medium;unknownminister;X
1340030;Chief of Navy;레오니트 이바노프 ;1914;1940;1999;ML;open seas doctrine;Medium;9098;X
