UKR;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
545001;Head of State;니키타 흐루쇼프 ;1933;1964;1999;ST;Stern Imperialist;High;M518001;X
545002;Head of Government;라자르 카가노비치 ;1933;1964;1999;ST;Flamboyant Tough Guy;High;M518002;X
545003;Foreign Minister;울라스 추바르 ;1933;1964;1999;ST;Apologetic Clerk;High;M518003;X
545004;Minister of Armament;미하일 본다렌코 ;1933;1964;1999;ST;Air Superiority Proponent;Medium;M518004;X
545005;Minister of Security;크리스티안 G. 라코프스키 ;1933;1964;1999;ST;Back Stabber;Medium;M518005;X
545006;Head of Military Intelligence;데먄 코로첸코 ;1933;1964;1999;ST;Logistics Specialist;Medium;M518006;X
545007;Chief of Staff;올렉 골로프네프 ;1933;1964;1999;ST;School of Manoeuvre;Medium;M518007;X
545008;Chief of Army;블라디미르 스트렐니코프 ;1933;1964;1999;ST;Elastic Defence Doctrine;Medium;M518008;X
545009;Chief of Navy;이반 이사코프 ;1933;1964;1999;ST;Base Control Doctrine;Medium;M518009;X
545010;Chief of Air Force;미하이 알라딘 ;1933;1964;1999;ST;Army Aviation Doctrine;Medium;M518010;X
545011;Head of State;스테판 반데라 ;1933;1964;1999;SD;Die-hard Reformer;High;M518011;X
545012;Head of State;아우후스틴 볼로쉰 ;1933;1964;1999;SL;Benevolent Gentleman;High;M518012;X
545013;Head of State;안드리이 멜리닉 ;1933;1964;1999;SC;Autocratic Charmer;High;M518013;X
545015;Head of Government;야로슬라우 스테츠코 ;1933;1964;1999;SD;Political Protege;High;M518015;X
545016;Head of Government;오멜랸 세니크 ;1933;1964;1999;SL;Corporate Suit;High;M518016;X
545017;Head of Government;스톄판 렌카프스키 ;1933;1964;1999;SC;Naive Optimist;High;M518017;X
545018;Head of Government;에리히 코흐 ;1933;1964;1999;NS;Ambitious Union Boss;High;M518018;X
545019;Foreign Minister;스타니슬라우 코시오르 ;1933;1964;1999;ST;The Cloak N Dagger Schemer;High;M518019;X
545020;Foreign Minister;미콜라 O. 스크립니크 ;1933;1964;1999;SD;Ideological Crusader;High;M518020;X
545021;Foreign Minister;예브게니 코노발레츠 ;1933;1964;1999;SD;Iron Fisted Brute;High;M518021;X
545022;Foreign Minister;율리안 레바이 ;1933;1964;1999;SL;Apologetic Clerk;High;M518022;X
545023;Foreign Minister;미콜라 레베트 ;1933;1964;1999;SC;The Cloak N Dagger Schemer;High;M518023;X
545024;Foreign Minister;유리 린덴 리파 ;1933;1964;1999;SC;General Staffer;High;M518024;X
545025;Foreign Minister;프리츠 폰 데르 슐렌베르크 ;1933;1964;1999;NS;Great Compromiser;High;M518025;X
545026;Foreign Minister;롤란트 포페후쉬 ;1933;1964;1999;NS;Iron Fisted Brute;High;M518026;X
545027;Foreign Minister;게오르기 쉴렌코프 ;1933;1964;1999;NS;General Staffer;High;M518027;X
545028;Minister of Armament;파나스 P. 륩첸코 ;1933;1964;1999;ST;Resource Industrialist;Medium;M518028;X
545029;Minister of Armament;미콜라 스치보르스키 ;1933;1964;1999;ST;Military Entrepreneur;Medium;M518029;X
545030;Minister of Armament;올레스카 하신 타라르 ;1933;1964;1999;SD;Administrative Genius;Medium;M518030;X
545031;Minister of Armament;그리고리 레오니도비치 ;1933;1964;1999;SL;Infantry Proponent;Medium;M518031;X
545032;Minister of Armament;예우헤니야 보쉬 ;1933;1964;1999;SL;laissez-faire capitalist;Medium;M518032;X
545033;Minister of Armament;타라스 불바 ;1933;1964;1999;SC;Resource Industrialist;Medium;M518033;X
545034;Minister of Armament;그리고리 페트로프스키 ;1933;1964;1999;SC;Tank Proponent;Medium;M518034;X
545035;Minister of Armament;디미트루 클라취키프스키 ;1933;1964;1999;NS;Infantry Proponent;Medium;M518035;X
545036;Minister of Armament;한스 하인리히 라메르스 ;1933;1964;1999;NS;Resource Industrialist;Medium;M518036;X
545037;Minister of Security;엠마누일 크비링 ;1933;1964;1999;ST;Efficient Sociopath;Medium;M518037;X
545038;Minister of Security;레오니트 멜니코프 ;1933;1964;1999;ST;Silent Lawyer;Medium;M518038;X
545039;Minister of Security;미하일로 콜로진스키 ;1933;1964;1999;SD;Crooked Kleptocrat;Medium;M518039;X
545040;Minister of Security;닐 하세비치 ;1933;1964;1999;SL;Crime Fighter;Medium;M518040;X
545041;Minister of Security;제논 코사크 타르노우스키 ;1933;1964;1999;SL;Compassionate Gentleman;Medium;M518041;X
545042;Minister of Security;세르게이 쿠비요비치 ;1933;1964;1999;SC;Prince of Terror;Medium;M518042;X
545043;Minister of Security;안드리이 솁티츠키 ;1933;1964;1999;SC;Compassionate Gentleman;Medium;M518043;X
545044;Minister of Security;쿠르트 폰 고텐베르크 ;1933;1964;1999;NS;Prince of Terror;Medium;M517034;X
545045;Minister of Security;카를 헤르만 프랑크 ;1933;1964;1999;NS;Secret police chief;Medium;M518045;X
545046;Head of Military Intelligence;레오니트 코르니예츠 ;1933;1964;1999;ST;Industrial Specialist;Medium;M518046;X
545047;Head of Military Intelligence;예브게니 파톤 ;1933;1964;1999;ST;Technical Specialist;Medium;M518047;X
545048;Head of Military Intelligence;올레나 텔리하 ;1933;1964;1999;SD;Dismal Enigma;Medium;M518048;X
545049;Head of Military Intelligence;바실 시도르 루스테크 ;1933;1964;1999;SD;Naval Intelligence Specialist;Medium;M518049;X
545050;Head of Military Intelligence;사무일 슈바르츠부르트 ;1933;1964;1999;SL;Technical Specialist;Medium;M518050;X
545051;Head of Military Intelligence;미하일로 소로카 ;1933;1964;1999;SL;Industrial Specialist;Medium;M518051;X
545052;Head of Military Intelligence;올레흐 올쥐취 ;1933;1964;1999;SC;Technical Specialist;Medium;M518052;X
545053;Head of Military Intelligence;울반 흐리니오흐 ;1933;1964;1999;NS;Political Specialist;Medium;M518053;X
545054;Head of Military Intelligence;에르하르트 크뢰거 ;1933;1964;1999;NS;Industrial Specialist;Medium;M518054;X
545055;Head of Military Intelligence;바실리 말리쉬킨 ;1933;1964;1999;NS;Logistics Specialist;Medium;M518055;X
545056;Chief of Staff;올렉 예피모프 ;1933;1964;1999;ST;School of Defence;Medium;M518056;X
545057;Chief of Staff;미하일로 두다 ;1933;1964;1999;SD;School of Fire Support;Medium;M518057;X
545058;Chief of Staff;키릴 오스막 ;1933;1964;1999;SL;School of Psychology;Medium;M518058;X
545059;Chief of Staff;레오니트 스크로팟스키 ;1933;1964;1999;SC;School of Psychology;Medium;M518059;X
545060;Chief of Staff;콘스탄틴 크로미아디 ;1933;1964;1999;NS;School of Manoeuvre;Medium;M518060;X
545061;Chief of Staff;에베르하르트 킨첼 ;1933;1964;1999;NS;School of Defence;Medium;M518061;X
545062;Chief of Army;니키타 흐루쇼프 ;1933;1964;1999;ST;Static Defence Doctrine;Medium;M518062;X
545063;Chief of Army;로만 슈헤비치 ;1933;1964;1999;SD;Guns and Butter Doctrine;Medium;M518063;X
545064;Chief of Army;베냐민 루빈스키 ;1933;1964;1999;SL;Decisive Battle Doctrine;Medium;M518064;X
545065;Chief of Army;파울로 샨두르크 ;1933;1964;1999;SC;Elastic Defence Doctrine;Medium;M518065;X
545066;Chief of Army;페타르 N. 크라스노프 ;1933;1964;1999;SC;Static Defence Doctrine;Medium;M518066;X
545067;Chief of Army;게오르기 쉴렌코프 ;1933;1964;1999;NS;Armoured Spearhead Doctrine;Medium;M518067;X
545068;Chief of Navy;세르히이 고르쉬코프 ;1933;1964;1999;ST;Decisive Naval Battle Doctrine;Medium;M518068;X
545069;Chief of Navy;흘로랴 스테츠코 ;1933;1964;1999;SD;Open Seas Doctrine;Medium;M518069;X
545070;Chief of Navy;아우람 Z. 두쉰 ;1933;1964;1999;SL;Indirect Approach Doctrine;Medium;M518070;X
545071;Chief of Navy;블라디미르 필리펜코 ;1933;1964;1999;SC;Base Control Doctrine;Medium;M518071;X
545072;Chief of Navy;볼프 폰 트로타 ;1933;1964;1999;NS;Power Projection Doctrine;Medium;M518072;X
545073;Chief of Air Force;아우람 Z. 두쉰 ;1933;1964;1999;ST;Naval Aviation Doctrine;Medium;M518070;X
545074;Chief of Air Force;페타르 페둔 폴타바 ;1933;1964;1999;SD;Carpet Bombing Doctrine;Medium;M518074;X
545075;Chief of Air Force;아우후스틴 쉬테판 ;1933;1964;1999;SL;Army Aviation Doctrine;Medium;M518075;X
545076;Chief of Air Force;디미트리 미론 ;1933;1964;1999;SC;Vertical Envelopment Doctrine;Medium;M518076;X
545077;Chief of Air Force;빅토르 말체프 ;1933;1964;1999;NS;Air Superiority Doctrine;Medium;M518077;X
545078;Chief of Staff;페트로 댜첸코 ;1941;1964;1999;PA;School of Defence;Medium;6092;X
545079;Chief of Staff;미하일로 오멜랴노비치 파울렌코 ;1933;1964;1999;PA;School of Manoeuvre;Medium;6093;X
545080;Head of State;미하일로 흐루셰우스키 ;1914;1932;1999;SD;weary stiffneck;Medium;9026;X
545081;Head of State;파울로 스코로팟스키 ;1914;1932;1999;PA;stern imperialist;Medium;9054;X
545082;Head of State;볼로디미르 빈니첸코 ;1914;1932;1999;SD;insignificant layman;Medium;9079;X
545083;Head of State;시몬 페트률라 ;1914;1932;1999;SD;powerhungry demagogue;Medium;9061;X
