URU;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
;Replacements;;;;;;;;;X
195001;Head of State;가브리엘 테라 ;1931;1964;1999;PA;Powerhungry Demagogue;High;M41001;X
195002;Head of Government;가브리엘 테라 ;1931;1964;1999;PA;Smiling Oilman;High;M41001;X
195003;Foreign Minister;호세 에스팔테르 ;1933;1964;1999;PA;Iron Fisted Brute;Medium;M41003;X
195004;Minister of Armament;알프레도 발도미르 ;1933;1964;1999;PA;Military Entrepreneur;Medium;M41004;X
195005;Minister of Security;하인츠 글로켄베르거 ;1933;1964;1999;PA;Prince of Terror;Medium;M41005;X
195006;Head of Military Intelligence;크리스티아누 피라구이 ;1933;1964;1999;PA;Logistics Specialist;Medium;M41006;X
195007;Chief of Staff;마누엘 헤인스 아스푸루아 ;1933;1964;1999;PA;School of Fire Support;Medium;M41007;X
195008;Chief of Army;호르헤 엘리오 멘도사 ;1933;1964;1999;PA;Static Defence Doctrine;Medium;M41008;X
195009;Chief of Navy;카를로스 약손 우리베 ;1933;1964;1999;PA;Decisive Naval Battle Doctrine;Medium;M41009;X
195010;Chief of Air Force;코스메 알바레스 베리소 ;1933;1964;1999;PA;Air Superiority Doctrine;Medium;M41010;X
195011;Head of State;알프레도 발도미르 ;1938;1964;1999;SC;Resigned Generalissimo;High;M41004;X
195012;Head of State;A. 드레스 구스타보 ;1938;1964;1999;SD;Insignificant Layman;High;M41032;X
195013;Head of State;후안 데 아메사가 ;1943;1964;1999;ML;Benevolent Gentleman;High;M41033;X
195014;Head of State;발타사르 브룬 ;1943;1964;1999;SD;Weary Stiffneck;High;M41034;X
195015;Head of State;토마스 베레타 간돌포 ;1947;1964;1999;SL;Die-hard Reformer;High;M41035;X
195016;Head of State;루이스 콘라도 바톄 베레스 ;1947;1964;1999;LWR;Popular Figurehead;High;M41036;X
195017;Head of Government;알프레도 발도미르 ;1938;1964;1999;SC;Old General;High;M41004;X
195018;Head of Government;A. 드레스 구스타보 ;1938;1964;1999;SD;Happy Amateur;High;M41032;X
195019;Head of Government;후안 데 아메사가 ;1943;1964;1999;ML;Corporate Suit;High;M41033;X
195020;Head of Government;발타사르 브룬 ;1943;1964;1999;SD;Old Admiral;High;M41034;X
195021;Head of Government;토마스 베레타 간돌포 ;1947;1964;1999;SL;Flamboyant Tough Guy;High;M41035;X
195022;Head of Government;루이스 콘라도 바톄 베레스 ;1947;1964;1999;LWR;Naive Optimist;High;M41036;X
195023;Foreign Minister;알베르토 구아니 ;1938;1964;1999;SC;The Cloak N Dagger Schemer;Medium;M41043;X
195024;Foreign Minister;발타사르 브룬 ;1938;1964;1999;SD;Biased Intellectual;Medium;M41034;X
195025;Foreign Minister;헥토르 알베르토 게로나 ;1943;1964;1999;ML;Iron Fisted Brute;Medium;M41045;X
195026;Foreign Minister;와싱톤 벨트란 ;1943;1964;1999;SD;Ideological Crusader;Medium;M41046;X
195027;Foreign Minister;호세 세라토 ;1947;1964;1999;SL;Apologetic Clerk;Medium;M41047;X
195028;Foreign Minister;에두아르도 로드리게스 ;1947;1964;1999;SD;Great Compromiser;Medium;M41048;X
195029;Foreign Minister;에밀리오 프루고니 ;1947;1964;1999;LWR;The Cloak N Dagger Schemer;Medium;M41021;X
195030;Minister of Armament;이그나시오 후스테 모랄레스 ;1937;1964;1999;PA;laissez-faire capitalist;Medium;M41050;X
195031;Minister of Armament;발렌틴 고메스 ;1938;1964;1999;SC;Strategic Air Proponent;Medium;M41051;X
195032;Minister of Armament;레오폴도 카를로스 아고리오 ;1938;1964;1999;SD;Theoretical Scientist;Medium;M41052;X
195033;Minister of Armament;비토리오 아마토 마소 ;1939;1964;1999;ML;Tank Proponent;Medium;M41053;X
195034;Minister of Armament;호르헤 엘리오 멘도사 ;1942;1964;1999;SC;Infantry Proponent;Medium;M41008;X
195035;Minister of Armament;호아킨 가르시아 산체스 ;1943;1964;1999;ML;Air to Ground Proponent;Medium;M41055;X
195036;Minister of Armament;카를로스 약손 우리베 ;1943;1964;1999;SD;Battle Fleet Proponent;Medium;M41009;X
195037;Minister of Armament;에르네스토 산체스 엘리손도 ;1944;1964;1999;SL;Air Superiority Proponent;Medium;M41057;X
195038;Minister of Armament;훌리오 세사르 그라우에르 ;1947;1964;1999;SL;Resource Industrialist;Medium;M41058;X
195039;Minister of Armament;카를로스 네베스 오초아 ;1937;1964;1999;LWR;Submarine Proponent;Medium;M41059;X
195040;Minister of Security;파울로 오르테가 프루스키 ;1937;1964;1999;PA;Back Stabber;Medium;M41060;X
195041;Minister of Security;오라시오 아레돈도 ;1938;1964;1999;SC;Man of the People;Medium;M41061;X
195042;Minister of Security;A. 드레스 구스타보 ;1938;1964;1999;SD;Prince of Terror;Medium;M41032;X
195043;Minister of Security;마리오 카시노니 ;1943;1964;1999;ML;Silent Lawyer;Medium;M41063;X
195044;Minister of Security;후안 카를로스 블랑코 ;1943;1964;1999;SD;Compassionate Gentleman;Medium;M41064;X
195045;Minister of Security;알베르토 도밍게스 캄포라 ;1944;1964;1999;SL;Prince of Terror;Medium;M41065;X
195046;Minister of Security;안드레스 파체코 ;1947;1964;1999;SL;Efficient Sociopath;Medium;M41066;X
195047;Minister of Security;호세 페드로 바렐라 ;1947;1964;1999;SD;Crime Fighter;Medium;M41067;X
195048;Head of Military Intelligence;안토니오 데 라라 리바스 ;1933;1964;1999;PA;Industrial Specialist;Medium;M41068;X
195049;Head of Military Intelligence;훌리오 T. 페르난데스 ;1937;1964;1999;SC;Technical Specialist;Medium;M41069;X
195050;Head of Military Intelligence;엔리케 모우티스 ;1938;1964;1999;SC;Industrial Specialist;Medium;M41070;X
195051;Head of Military Intelligence;엔리케 이소바 알바레스 ;1938;1964;1999;SD;Technical Specialist;Medium;M41026;X
195052;Head of Military Intelligence;훌리오 바스케스 ;1943;1964;1999;ML;Dismal Enigma;Medium;M41072;X
195053;Head of Military Intelligence;이폴리토 갈리날 ;1943;1964;1999;SD;Logistics Specialist;Medium;M41073;X
195054;Head of Military Intelligence;안드레스 마르티네스 ;1947;1964;1999;SL;Technical Specialist;Medium;M41074;X
195055;Head of Military Intelligence;예임스 맥파를라네 루비오 ;1947;1964;1999;LWR;Industrial Specialist;Medium;M41075;X
195056;Chief of Staff;칸티도 퀸티오 레예스 ;1938;1964;1999;SD;School of Defence;Medium;M41077;X
195057;Chief of Staff;후안 프랑키 프랑케 ;1943;1964;1999;ML;School of Manoeuvre;Medium;M41078;X
195058;Chief of Staff;훌리오 세사르 바도라 ;1947;1964;1999;SL;School of Psychology;Medium;M41027;X
195059;Chief of Army;엔리코 아만시아스 로드리게스 ;1938;1964;1999;SC;Elastic Defence Doctrine;Medium;M41081;X
195060;Chief of Army;칸티도 퀸티오 레예스 ;1938;1964;1999;SD;Static Defence Doctrine;Medium;M41077;X
195061;Chief of Army;엑토르 로페스 카마라 ;1943;1964;1999;ML;Guns and Butter Doctrine;Medium;M41083;X
195062;Chief of Army;엘레아사르 디아스 카미나테 ;1947;1964;1999;SL;Decisive Battle Doctrine;Medium;M41085;X
195063;Chief of Navy;라파엘 마르케스 아얄라 ;1938;1964;1999;SD;Base Control Doctrine;Medium;M41029;X
195064;Chief of Navy;프란시스코 비야블랑코 ;1943;1964;1999;ML;Open Seas Doctrine;Medium;M41089;X
195065;Chief of Navy;카를로스 네베스 오초아 ;1943;1964;1999;SD;Indirect Approach Doctrine;Medium;M41059;X
195066;Chief of Navy;A. 마르틴 데 라 플로레스 ;1947;1964;1999;SL;Power Projection Doctrine;Medium;M41091;X
195067;Chief of Navy;클라우디오 비오 발데스 ;1947;1964;1999;SD;Open Seas Doctrine;Medium;M41092;X
195068;Chief of Air Force;발렌틴 고메스 ;1938;1964;1999;SC;Carpet Bombing Doctrine;Medium;M41051;X
195069;Chief of Air Force;알바로 레돈 구티에레스 ;1938;1964;1999;SD;Air Superiority Doctrine;Medium;M41030;X
195070;Chief of Air Force;올린도 오헤토 바렐라 ;1943;1964;1999;ML;Army Aviation Doctrine;Medium;M41095;X
195071;Chief of Air Force;에르네스토 산체스 엘리손도 ;1943;1964;1999;SD;Army Aviation Doctrine;Medium;M41057;X
195072;Chief of Air Force;A. 마르틴 데 라 플로레스 ;1947;1964;1999;SL;Naval Aviation Doctrine;Medium;M41091;X
195073;Chief of Air Force;마누엘 레돈도 갈반 ;1947;1964;1999;LWR;Vertical Envelopment Doctrine;Medium;M41098;X
195074;Head of State;아벨라르도 마르티네스 ;1933;1964;1999;FA;Stern Imperialist;High;M41011;X
195075;Head of Government;아벨라르도 마르티네스 ;1933;1964;1999;FA;Old Admiral;High;M41011;X
195076;Foreign Minister;루이스 산티아고 레게라 ;1933;1964;1999;FA;The Cloak N Dagger Schemer;Medium;M41013;X
195077;Minister of Armament;아벨라르도 디아스 알바레스 ;1933;1964;1999;FA;Infantry Proponent;Medium;M41014;X
