USA;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
240001;Head of State;프랭클린 D. 루스벨트 ;1932;1946;1946;SL;Democrat idealistic;High;3596;X
240002;Head of Government;존 낸스 가너 ;1932;1942;1942;SL;Corporate Suit;High;M6002;X
240003;Foreign Minister;코델 헐 ;1933;1946;1946;SL;Father of United Nations;High;7374;X
240004;Minister of Armament;헨리 모겐소 ;1933;1946;1946;SD;orthodox economist;High;M6077;X
240005;Minister of Security;J. 에드거 후버 ;1933;1973;1973;SL;Director of FBI;Very High;M6005;X
240006;Head of Military Intelligence;윌리엄 F. 프리드먼 ;1917;1957;1957;SL;Cryptographer;Very High;M6006;X
240007;Chief of Staff;말린 크레이그 ;1935;1964;1964;SL;School of Defence;High;7375;X
240008;Chief of Army;말린 크레이그 ;1935;1946;1946;SL;Armoured Spearhead Doctrine;High;7375;X
240009;Chief of Navy;클로드 A. 스완슨 ;1933;1940;1940;SL;Decisive Naval Battle Doctrine;High;M6009;X
240010;Chief of Air Force;오스카 웨스토버 ;1935;1939;1939;SD;Air Superiority Doctrine;High;M6010;X
240011;Head of State;헨리 A. 월리스 ;1940;1956;1956;SL;Benevolent Gentleman;High;7377;X
240012;Head of State;워렌 G. 후퍼 ;1944;1946;1946;SL;Ruthless Powermonger;High;M6033;X
240013;Head of State;해리 S. 트루먼 ;1944;1953;1953;SL;Die-hard Reformer;High;M6034;X
240014;Head of State;앨프 M. 랜던 ;1936;1988;1988;ML;Pig-headed Isolationist;High;M6035;X
240015;Head of State;웬델 윌키 ;1940;1945;1945;ML;Autocratic Charmer;High;M6036;X
240016;Head of State;찰스 L. 맥너리 ;1940;1945;1945;ML;Insignificant Layman;High;M6037;X
240017;Head of State;토마스 E. 듀이 ;1944;1957;1957;ML;Popular Figurehead;High;M6038;X
240018;Head of State;프리츠 쿤 ;1933;1952;1952;FA;Barking Buffoon;High;M6011;X
240019;Head of State;제럴드 L. K. 스미스 ;1933;1977;1977;PA;Powerhungry Demagogue;High;M6040;X
240020;Head of State;얼 브라우더 ;1933;1964;1964;ST;Ruthless Powermonger;High;M6041;X
240021;Head of State;노만 토마스 ;1928;1964;1964;LWR;Insignificant Layman;High;M6021;X
240022;Head of Government;헨리 A. 월리스 ;1940;1956;1956;SL;Silent Workhorse;High;7377;X
240023;Head of Government;조엘 B. 클라크 ;1940;1964;1964;SL;Backroom Backstabber;High;M6045;X
240024;Head of Government;해리 S. 트루먼 ;1944;1953;1953;SL;Flamboyant Tough Guy;High;M6034;X
240025;Head of Government;앨번 W. 바클리 ;1945;1964;1964;SL;Silent Workhorse;High;M6047;X
240026;Head of Government;프랭크 녹스 ;1933;1945;1945;ML;Naive Optimist;High;M6048;X
240027;Head of Government;찰스 L. 맥너리 ;1940;1945;1945;ML;Political Protege;High;M6037;X
240028;Head of Government;존 브릭커 ;1944;1964;1964;ML;Corporate Suit;High;M6050;X
240029;Head of Government;스트롬 서몬드 ;1944;1964;1964;SC;Old General;High;M6051;X
240030;Head of Government;H.R. 멘거트 ;1933;1964;1964;PA;old airmarshal;High;M6052;X
240031;Head of Government;제럴드 L. K. 스미스 ;1933;1977;1977;PA;Happy Amateur;High;M6040;X
240032;Head of Government;사무엘 그린 ;1944;1950;1950;PA;Old Admiral;High;M6054;X
240033;Head of Government;윌리엄 Z. 포스터 ;1923;1962;1962;ST;Political Protege;High;M6055;X
240034;Head of Government;제임스 캐논 ;1928;1975;1975;LWR;Smiling Oilman;High;M6056;X
240035;Head of Government;조셉 P. 래시 ;1940;1988;1988;LE;Naive Optimist;High;M6024;X
240036;Foreign Minister;에드워드 스테티니어스 ;1944;1950;1950;SL;Ambassador to UN;Very High;M6060;X
240037;Foreign Minister;헨리 L. 스팀슨 ;1928;1946;1946;SL;Apologetic Clerk;High;M6061;X
240038;Foreign Minister;워커 라이얼리 ;1944;1964;1964;SL;The Cloak N Dagger Schemer;High;M6062;X
240039;Foreign Minister;제임스 번스 ;1945;1955;1955;SD;Great Compromiser;Very High;M6063;X
240040;Foreign Minister;조지 G. 마셜 ;1947;1960;1960;SL;Ideological Crusader;High;M6064;X
240041;Foreign Minister;아서 H. 밴던버그 ;1929;1952;1952;ML;Iron Fisted Brute;High;M6066;X
240042;Foreign Minister;알프레드 E. 스미스 ;1928;1945;1945;ML;Apologetic Clerk;High;M6067;X
240043;Foreign Minister;제럴드 P. 나이 ;1940;1972;1972;ML;Biased Intellectual;High;M6068;X
240044;Foreign Minister;에즈라 파운드 ;1933;1973;1973;FA;Biased Intellectual;High;M6069;X
240045;Foreign Minister;찰스 카글린 ;1928;1980;1980;PA;Ideological Crusader;High;M6013;X
240046;Foreign Minister;로렌스 데니스 ;1930;1978;1978;FA;Ideological Crusader;High;M6071;X
240047;Foreign Minister;플로이드 B. 올슨 ;1933;1937;1937;LWR;Ideological Crusader;Low;M6072;X
