UZB;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
;Replacements;;;;;;;;;X
550001;Head of State;우스만 유수포프 ;1933;1964;1999;LE;Barking Buffoon;High;M526001;X
550002;Head of Government;아크말 이크라모프 ;1933;1964;1999;LE;Naive Optimist;High;M526002;X
550003;Foreign Minister;파이줄라 호자예프 ;1933;1964;1999;LE;Iron Fisted Brute;High;M526003;X
550004;Minister of Armament;압두발리 무미노프 ;1933;1964;1999;LE;Tank Proponent;Medium;M526004;X
550005;Minister of Security;압두자바르 압두라흐마노프 ;1933;1964;1999;LE;Back Stabber;Medium;M526005;X
550006;Head of Military Intelligence;길라 I. 준코프스카야 ;1933;1964;1999;LE;Logistics Specialist;Medium;M526006;X
550007;Chief of Staff;테긴벡 쇼키로프 ;1933;1964;1999;LE;School of Fire Support;Medium;M526007;X
550008;Chief of Army;압두만노프 스트레쉬네프 ;1933;1964;1999;LE;Armoured Spearhead Doctrine;Medium;M526008;X
550009;Chief of Navy;블라테슬라프 도로딘 ;1933;1964;1999;LE;Base Control Doctrine;Medium;M526009;X
550010;Chief of Air Force;이스트반 M. 주바;1933;1964;1999;LE;Carpet Bombing Doctrine;Medium;M526010;X
550011;Head of State;욜다쉬바이 오글루 바바예프 ;1933;1964;1999;SD;Insignificant Layman;High;M526011;X
550012;Head of State;폴비니즈 유소포프 ;1933;1964;1999;PA;Weary Stiffneck;High;M526012;X
550013;Head of Government;파르캇 누루트디노프 ;1933;1964;1999;SD;Corporate Suit;High;M526013;X
550014;Head of Government;압두라힘 마르테먀노프 ;1933;1964;1999;PA;Silent Workhorse;High;M526014;X
550015;Foreign Minister;알리셰르 오고로도프 ;1933;1964;1999;LE;The Cloak N Dagger Schemer;High;M526015;X
550016;Foreign Minister;아쉬카르 무히트디노프 ;1933;1964;1999;SD;Ideological Crusader;High;M526016;X
550017;Foreign Minister;알리샤에르 제밀 ;1933;1964;1999;SD;The Cloak N Dagger Schemer;High;M526017;X
550018;Foreign Minister;니콜라이 치차코프 ;1933;1964;1999;PA;Apologetic Clerk;High;M526018;X
550019;Foreign Minister;알리셰르 이바노프 ;1933;1964;1999;PA;Great Compromiser;High;M526019;X
550020;Minister of Armament;빌 필리포프 ;1933;1964;1999;LE;laissez-faire capitalist;Medium;M526020;X
550021;Minister of Armament;겐나디 다비도프 ;1933;1964;1999;LE;Air to Ground Proponent;Medium;M526021;X
550022;Minister of Armament;파크리딘 제베츠키 ;1933;1964;1999;SD;Military Entrepreneur;Medium;M526022;X
550023;Minister of Armament;하미드 도로드니친 ;1933;1964;1999;SD;Strategic Air Proponent;Medium;M526023;X
550024;Minister of Armament;바부르 이파티예프 ;1933;1964;1999;PA;Air Superiority Proponent;Medium;M526024;X
550025;Minister of Armament;바하우딘 고르차코프 ;1933;1964;1999;PA;Military Entrepreneur;Medium;M526025;X
550026;Minister of Security;인노켄티 게라시모프 ;1933;1964;1999;LE;Crime Fighter;Medium;M526026;X
550027;Minister of Security;니잠 돈두코프 ;1933;1964;1999;LE;Compassionate Gentleman;Medium;M526027;X
550028;Minister of Security;야민 드미트리예프 ;1933;1964;1999;SD;Efficient Sociopath;Medium;M526028;X
550029;Minister of Security;보리스 드미트리예프스키 ;1933;1964;1999;SD;Compassionate Gentleman;Medium;M526029;X
550030;Minister of Security;맘마둘리 딘네이 ;1933;1964;1999;PA;Silent Lawyer;Medium;M526030;X
550031;Minister of Security;살림 예브게토리 ;1933;1964;1999;PA;Man of the People;Medium;M526031;X
550032;Head of Military Intelligence;미하일 둡코프 ;1933;1964;1999;LE;Technical Specialist;Medium;M526032;X
550033;Head of Military Intelligence;이비 도밧킨 ;1933;1964;1999;SD;Dismal Enigma;Medium;M526033;X
550034;Head of Military Intelligence;아브람 골리친 ;1933;1964;1999;SD;Logistics Specialist;Medium;M526034;X
550035;Head of Military Intelligence;함자 돕리닌 ;1933;1964;1999;PA;Logistics Specialist;Medium;M526035;X
550036;Head of Military Intelligence;펠릭스 도로쥔스키 ;1933;1964;1999;PA;Dismal Enigma;Medium;M526036;X
550037;Chief of Staff;푸르캇 드라첸크 ;1933;1964;1999;SD;School of Mass Combat;Medium;M526037;X
550038;Chief of Staff;바부르 이파티예프 ;1933;1964;1999;PA;School of Manoeuvre;Medium;M526038;X
550039;Chief of Army;니콜라이 구코프 ;1933;1964;1999;SD;Static Defence Doctrine;Medium;M526039;X
550040;Chief of Army;나줴 두딘 ;1933;1964;1999;PA;Elastic Defence Doctrine;Medium;M526040;X
550041;Chief of Navy;오스만 데마 ;1933;1964;1999;SD;Indirect Approach Doctrine;Medium;M526041;X
550042;Chief of Navy;살림 이바디노프 ;1933;1964;1999;PA;Open Seas Doctrine;Medium;M526042;X
550043;Chief of Air Force;겐나디 그보르니코프 ;1933;1964;1999;SD;Vertical Envelopment Doctrine;Medium;M526043;X
550044;Chief of Air Force;바부르 이파티예프 ;1933;1964;1999;PA;Air Superiority Doctrine;Medium;M526038;X
550045;Chief of Army;이스마일 엔베르 ;1900;1933;1999;PA;Decisive Battle Doctrine;High;2900;X
550046;Chief of Army;주나이트 한 ;1914;1933;1999;PA;Static Defence Doctrine;High;unknownminister;X
550047;Chief of Army;이브라힘 베크 ;1920;1933;1999;PA;Guns and Butter Doctrine;High;7986;X
550048;Chief of Staff;이스마일 엔베르 ;1900;1933;1999;PA;School of Mass Combat;High;2900;X
550049;Chief of Staff;주나이트 한 ;1914;1933;1999;PA;School of Defence;High;unknownminister;X
550050;Chief of Staff;이브라힘 베크 ;1920;1933;1999;PA;School of Manoeuvre;High;7986;X
550051;Head of Government;이스마일 엔베르 ;1900;1933;1999;PA;Old General;Medium;2900;X
550052;Head of Government;이브라힘 베크 ;1914;1933;1999;PA;Political Protege;High;7986;X
550053;Head of Government;아메잔 압두사이도프 ;1914;1933;1999;ST;Corporate Suit;High;unknownminister;X
550054;Head of State;무함마드 알림 한 ;1914;1933;1999;PA;Stern Imperialist;Very High;3679;X
550055;Head of State;파이줄라 호자예프 ;1914;1933;1999;ST;Insignificant Layman;Very High;3680;X
550056;Minister of Armament;마다민 베크 ;1920;1933;1999;PA;laissez-faire capitalist;High;7987;X
550057;Minister of Security;이스마일 엔베르 ;1900;1933;1999;PA;Prince of Terror;High;2900;X
550058;Minister of Security;무함마드 알림 한 ;1914;1933;1999;PA;Man of the People;High;3679;X
