VEN;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
;Replacements;;;;;;;;;X
180001;Head of State;엘레아사르 콘트레라스 ;1933;1964;1999;PA;Barking Buffoon;High;M38001;X
180002;Head of Government;엘레아사르 콘트레라스 ;1933;1964;1999;PA;Happy Amateur;High;M38001;X
180003;Foreign Minister;에스테반 힐 보르헤스 ;1933;1964;1999;PA;Great Compromiser;Medium;M38003;X
180004;Minister of Armament;페드로 베아오페르투이 ;1933;1964;1999;SC;Military Entrepreneur;Low;M38004;X
180005;Minister of Security;산티아고 키 아얄라 ;1933;1964;1999;PA;Silent Lawyer;Medium;M38005;X
180006;Head of Military Intelligence;플로리아발도 데 바스케스 ;1933;1964;1999;PA;Political Specialist;Medium;M38006;X
180007;Chief of Staff;이사이아스 메디나 ;1933;1964;1999;SC;School of Defence;Low;M38007;X
180008;Chief of Army;이사이아스 메디나 ;1933;1964;1999;SC;Static Defence Doctrine;Low;M38007;X
180009;Chief of Navy;움베르토 산타브리아 비야 ;1933;1964;1999;PA;Base Control Doctrine;Medium;M38009;X
180010;Chief of Air Force;다비드 로페스 엔리케스 ;1933;1964;1999;PA;Army Aviation Doctrine;Medium;M38010;X
180011;Head of State;이사이아스 메디나 ;1941;1964;1999;SC;Resigned Generalissimo;High;M38007;X
180012;Head of State;로물로 베탕쿠르 ;1945;1964;1999;SD;Autocratic Charmer;High;L270001;X
180013;Head of Government;이사이아스 메디나 ;1941;1964;1999;SC;Old General;High;M38007;X
180014;Head of Government;로물로 베탕쿠르 ;1945;1964;1999;SD;Flamboyant Tough Guy;High;L270001;X
180015;Foreign Minister;카라치올라 파라 페레스 ;1941;1964;1999;SC;Apologetic Clerk;Medium;M38035;X
180016;Foreign Minister;구스타보 에레라 그라우 ;1945;1964;1999;ML;Iron Fisted Brute;Medium;M38036;X
