VIC;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
;Replacements;;;;;;;;;X
230001;Head of State;필리프 페탱 ;1933;1964;1999;PA;Resigned Generalissimo;High;2564;X
230002;Head of Government;장 프랑수아 다를랑 ;1933;1964;1999;PA;Old Admiral;High;M57002;X
230003;Foreign Minister;폴 보두앵 ;1933;1964;1999;PA;Iron Fisted Brute;Medium;M57003;X
230004;Minister of Armament;마리우스 베를리에 ;1933;1964;1999;PA;laissez-faire capitalist;Medium;M57004;X
230005;Minister of Security;조제프 바텔레미 ;1933;1964;1999;PA;Silent Lawyer;Medium;M57005;X
230006;Head of Military Intelligence;르네 부스케 ;1933;1964;1999;PA;Technical Specialist;Medium;M57006;X
230007;Chief of Staff;샤를 훈치거 ;1933;1964;1999;PA;School of Defence;Medium;M57007;X
230008;Chief of Army;막심 베강 ;1933;1964;1999;PA;Elastic Defence Doctrine;Medium;M57008;X
230009;Chief of Navy;장 프랑수아 다를랑 ;1933;1964;1999;PA;Decisive Naval Battle Doctrine;Low;M57002;X
230010;Chief of Air Force;장 마리 베르제레 ;1933;1964;1999;PA;Army Aviation Doctrine;Medium;M57010;X
230011;Head of Government;피에르 라발 ;1942;1964;1999;PA;Flamboyant Tough Guy;High;M57011;X
230012;Foreign Minister;장 프랑수아 다를랑 ;1941;1964;1999;PA;General Staffer;Low;M57002;X
230013;Foreign Minister;샤를 앙드레 와이스 ;1941;1964;1999;PA;Iron Fisted Brute;Low;M57013;X
230014;Foreign Minister;알베르 토마 ;1941;1964;1999;PA;The Cloak N Dagger Schemer;Low;M57014;X
230015;Foreign Minister;피에르 라발 ;1942;1964;1999;PA;Apologetic Clerk;Medium;M57011;X
230016;Foreign Minister;가브리엘 아노토 ;1942;1964;1999;PA;Ideological Crusader;Medium;M57016;X
230017;Foreign Minister;앙리 드 주브넬 ;1943;1964;1999;PA;Biased Intellectual;Medium;M57017;X
230018;Foreign Minister;아르네 르르와 ;1943;1964;1999;PA;Great Compromiser;Medium;M57018;X
230019;Minister of Armament;툴리오 프랑코 프랑코 ;1941;1964;1999;PA;Resource Industrialist;Medium;M57019;X
230020;Minister of Armament;루시앙 라카세 ;1941;1964;1999;PA;Military Entrepreneur;Medium;M57020;X
230021;Minister of Armament;로베르 아스 ;1942;1964;1999;PA;laissez-faire capitalist;Medium;M57021;X
230022;Minister of Armament;스테판 오팡 ;1942;1964;1999;PA;Air to Sea Proponent;Medium;M57022;X
230023;Minister of Armament;폴 팽레브 ;1943;1964;1999;PA;Administrative Genius;Medium;M57023;X
230024;Minister of Armament;폴 망토 ;1943;1964;1999;PA;Theoretical Scientist;Medium;M57024;X
230025;Minister of Security;장 프랑수아 다를랑 ;1940;1964;1999;PA;Back Stabber;Low;M57002;X
230026;Minister of Security;에두아르 에리오 ;1941;1964;1999;PA;Silent Lawyer;Low;M57026;X
230027;Minister of Security;피에르 라발 ;1942;1964;1999;PA;Prince of Terror;Medium;M57011;X
230028;Minister of Security;마리우스 비플 ;1942;1964;1999;PA;Man of the People;Medium;M57028;X
230029;Minister of Security;르네 부스케 ;1942;1964;1999;PA;Compassionate Gentleman;Medium;M57006;X
230030;Minister of Security;라파엘 알리베르 ;1943;1964;1999;PA;Crime Fighter;Medium;M57030;X
230031;Minister of Security;고프르 드 라프라데유 ;1943;1964;1999;PA;Efficient Sociopath;Medium;M57031;X
230032;Head of Military Intelligence;피에르 라발 ;1942;1964;1999;PA;Political Specialist;Medium;M57011;X
230033;Chief of Staff;장 프랑수아 다를랑 ;1941;1964;1999;PA;School of Psychology;Low;M57002;X
230034;Chief of Staff;외젠 브리도 ;1942;1964;1999;PA;School of Mass Combat;Medium;M57034;X
230035;Chief of Army;외젠 브리도 ;1941;1964;1999;PA;Decisive Battle Doctrine;Medium;M57034;X
230036;Chief of Navy;장 에스테바 ;1942;1964;1999;PA;Indirect Approach Doctrine;Medium;M57036;X
230037;Chief of Navy;장 마리 에브리알 ;1943;1964;1999;PA;Open Seas Doctrine;Medium;M57037;X
230038;Chief of Air Force;모리스 자네캥 ;1942;1964;1999;PA;Carpet Bombing Doctrine;Medium;M57038;X
230039;Head of State;앙리 드 주브넬 ;1945;1964;1999;PA;Insignificant Layman;High;M57017;X
230040;Head of Military Intelligence;고프르 드 라프라데유 ;1945;1964;1999;PA;Industrial Specialist;Medium;M57031;X
