BUL;Name;Pic Name;Skill;Start Year;End Year;Speciality1;Speciality2;Speciality3;Speciality4;Speciality5;Speciality6;Speciality7;Speciality8;Speciality9;Speciality10;Speciality11;Speciality12;Speciality13;Speciality14;Speciality15;Speciality16;Speciality17;Speciality18;Speciality19;Speciality20;Speciality21;Speciality22;Speciality23;Speciality24;Speciality25;Speciality26;Speciality27;Speciality28;Speciality29;Speciality30;Speciality31;Speciality32;x
95001;카프로니 불가리아 ;100833;3;1928;1947;aeronautics;bomber_design;avionics;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
95002;국립 항공기 작업장 ;100834;3;1925;1940;aeronautics;fighter_design;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
95003;아타나스 뷰로프 ;100835;5;1910;1954;management;industrial_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
95004;소피아 군사학교 ;100836;4;1915;1970;large_unit_tactics;centralized_execution;infantry_focus;individual_courage;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
95005;국립 비행기 공장 ;100837;3;1941;1954;aeronautics;bomber_design;aircraft_testing;fighter_design;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
95006;사바 이바노프 ;T805;2;1930;1940;small_taskforce_tactics;naval_training;seamanship;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
95007;Balgarski Cherven Krast;100838;3;1885;1991;medicine;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
95008;자카리 자카리에프 ;T807;4;1944;1973;bomber_tactics;combined_arms_focus;piloting;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
95009;스토얀 스토야노프 ;T808;4;1939;1956;fighter_tactics;decentralized_execution;piloting;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
95010;Letishte Bozhurishte;100839;3;1912;1948;fighter_tactics;decentralized_execution;piloting;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
95011;국립 군수 공장 ;100840;3;1900;1970;mechanics;artillery;general_equipment;munitions;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
95012;바르나 해군학교 ;100841;3;1900;1956;naval_training;seamanship;naval_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
95013;SU St. Kliment Ohridski;100842;3;1900;1991;management;chemistry;mathematics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
95014;Darzhavni Mini Pernik;100044;4;1900;1991;industrial_engineering;mechanics;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
95015;불가리아 국영 철도 ;100045;4;1904;1991;management;technical_efficiency;mechanics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
95016;바르나 해군 병기창 ;100046;2;1907;1991;naval_engineering;mechanics;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
95017;블라디미르 바조프 ;100047;5;1906;1920;artillery;infantry_focus;small_unit_tactics;static_defense_tactics;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
95018;VMZ Sopot;100048;4;1940;1991;chemistry;mechanics;munitions;artillery;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
