CAL;Name;Pic Name;Skill;Start Year;End Year;Speciality1;Speciality2;Speciality3;Speciality4;Speciality5;Speciality6;Speciality7;Speciality8;Speciality9;Speciality10;Speciality11;Speciality12;Speciality13;Speciality14;Speciality15;Speciality16;Speciality17;Speciality18;Speciality19;Speciality20;Speciality21;Speciality22;Speciality23;Speciality24;Speciality25;Speciality26;Speciality27;Speciality28;Speciality29;Speciality30;Speciality31;Speciality32;x
575001;샌 프란시스코 베슬리헴 스틸 기업 ;T10300;5;1900;1970;naval_engineering;technical_efficiency;naval_artillery;electronics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
575002;캘리포니아 공과 대학교 ;T10301;4;1900;1970;mathematics;mechanics;chemistry;rocketry;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
575003;캘리포니아 조선 기업 ;T10302;6;1900;1970;naval_engineering;technical_efficiency;naval_artillery;electronics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
575004;펜들턴 훈련소 ;T10303;6;1900;1970;artillery;general_equipment;naval_engineering;training;combined_arms_focus;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
575005;크라이슬러 캘리포니아 자동차 회사 ;T10304;7;1900;1970;mechanics;industrial_engineering;technical_efficiency;management;vehicle_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
575006;로렌스 버클리 국립 연구소 ;T10305;6;1900;1970;nuclear_physics;nuclear_engineering;mathematics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
575007;록히드 ;T10306;6;1900;1970;bomber_design;rocketry;aeronautics;avionics;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
575008;노스 아메리칸 항공사 ;T10307;9;1941;1970;fighter_design;aeronautics;avionics;general_equipment;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
575009;서던 퍼시픽 철도 회사 ;T10308;5;1900;1970;mechanics;general_equipment;industrial_engineering;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
575010;스탠더드 오일 오브 캘리포니아 ;T117;8;1900;1970;industrial_engineering;chemistry;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
575011;스탠포드 대학 ;T10310;5;1900;1970;electronics;mathematics;chemistry;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
575012;웨스턴 퍼시픽 철도 회사 ;T10311;5;1900;1970;mechanics;general_equipment;industrial_engineering;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
575013;프리시디오 ;T10312;6;1900;1970;small_unit_tactics;decentralized_execution;training;combined_arms_focus;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
575014;캘리포니아 해양 대학 ;T10313;6;1900;1970;naval_training;seamanship;management;mechanics;naval_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
575015;샌 디에고 해군 기지 ;T10314;7;1900;1970;submarine_tactics;seamanship;naval_training;carrier_tactics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
575016;무록 육군비행장 ;T10315;5;1900;1970;piloting;bomber_tactics;fighter_tactics;aeronautics;combined_arms_focus;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
