CRO;Name;Pic Name;Skill;Start Year;End Year;Speciality1;Speciality2;Speciality3;Speciality4;Speciality5;Speciality6;Speciality7;Speciality8;Speciality9;Speciality10;Speciality11;Speciality12;Speciality13;Speciality14;Speciality15;Speciality16;Speciality17;Speciality18;Speciality19;Speciality20;Speciality21;Speciality22;Speciality23;Speciality24;Speciality25;Speciality26;Speciality27;Speciality28;Speciality29;Speciality30;Speciality31;Speciality32;x
275001;크로아티아 국영 철도 ;T3805;5;1900;1970;mechanics;electronics;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
275002;이카루스 크로아티아 ;T3800;4;1930;1970;aeronautics;bomber_design;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
275003;항공 엔진 공단 ;T3801;3;1930;1970;fighter_design;aircraft_testing;aeronautics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
275004;오시예크 공단 ;100004;4;1900;1970;industrial_engineering;mechanics;management;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
275005;스플리트 조선소 ;T3802;3;1900;1970;naval_engineering;naval_artillery;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
275006;자그레브 군사 병기창 ;T3812;5;1900;1970;mechanics;artillery;general_equipment;munitions;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
275007;Slavko Kvaternik;100815;3;1930;1948;combined_arms_focus;large_unit_tactics;centralized_execution;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
275008;블라디미르 락사 ;T31007;4;1930;1945;infantry_focus;small_unit_tactics;centralized_execution;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
275009;국방성 ;T31008;3;1900;1970;small_taskforce_tactics;infantry_focus;centralized_execution;fighter_tactics;piloting;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
275010;블라디미르 크렌 ;T31010;4;1930;1945;fighter_tactics;bomber_tactics;piloting;decentralized_execution;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
275011;자그레브 대학교 ;T31011;3;1900;1970;mechanics;chemistry;management;electronics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
275012;라파엘 보반 ;100607;3;1947;1970;infantry_focus;small_unit_tactics;centralized_execution;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
