CZE;Name;Pic Name;Skill;Start Year;End Year;Speciality1;Speciality2;Speciality3;Speciality4;Speciality5;Speciality6;Speciality7;Speciality8;Speciality9;Speciality10;Speciality11;Speciality12;Speciality13;Speciality14;Speciality15;Speciality16;Speciality17;Speciality18;Speciality19;Speciality20;Speciality21;Speciality22;Speciality23;Speciality24;Speciality25;Speciality26;Speciality27;Speciality28;Speciality29;Speciality30;Speciality31;Speciality32;x
120015;프란티셰크 크르지지크 ;100075;5;1900;1942;mechanics;electronics;industrial_engineering;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
120006;슈코다 ;T1105;8;1900;1970;mechanics;industrial_engineering;technical_efficiency;artillery;vehicle_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
120010;야로슬라프 헤이로프스키 ;T1109;6;1900;1970;mathematics;chemistry;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
120011;프라하 하를레스 대학 ;T1110;5;1900;1970;mechanics;chemistry;management;medicine;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
120013;체코 원자력 연구소 ;100073;3;1940;1970;nuclear_physics;nuclear_engineering;mathematics;electronics;chemistry;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
120017;즈브로요프카 브루노 ;100077;6;1930;1970;mechanics;general_equipment;training;artillery;rocketry;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
120004;C-K-D ;T1103;7;1900;1970;mechanics;training;electronics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
120003;체스카 즈브로요프카 ;T1102;5;1900;1970;mechanics;general_equipment;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
120002;아비아 ;T1101;5;1919;1970;aeronautics;electronics;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
120005;레토프 ;T1104;4;1920;1970;aeronautics;electronics;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
120001;아에로 ;T1100;6;1930;1970;aeronautics;technical_efficiency;chemistry;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
120012;타트라 ;100072;5;1930;1970;mechanics;electronics;technical_efficiency;aeronautics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
120014;프라가 ;100074;6;1920;1970;mechanics;aeronautics;chemistry;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
120007;에밀 야노스카 ;T1106;4;1930;1939;bomber_tactics;combined_arms_focus;training;piloting;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
120008;요세프 프란티셰크 ;T1107;5;1930;1970;fighter_tactics;piloting;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
120009;세르게이 보이체호프스키 ;T1108;4;1930;1951;training;small_unit_tactics;combined_arms_focus;decentralized_execution;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
120016;얀 시로브지 ;100076;6;1920;1970;centralized_execution;large_unit_tactics;individual_courage;infantry_focus;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
120018;루드비크 스보보다 ;T4101;5;1945;1970;small_unit_tactics;decentralized_execution;combined_arms_focus;individual_courage;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
