DEN;Name;Pic Name;Skill;Start Year;End Year;Speciality1;Speciality2;Speciality3;Speciality4;Speciality5;Speciality6;Speciality7;Speciality8;Speciality9;Speciality10;Speciality11;Speciality12;Speciality13;Speciality14;Speciality15;Speciality16;Speciality17;Speciality18;Speciality19;Speciality20;Speciality21;Speciality22;Speciality23;Speciality24;Speciality25;Speciality26;Speciality27;Speciality28;Speciality29;Speciality30;Speciality31;Speciality32;x
75001;압살론 ;T200;3;1930;1970;mechanics;technical_efficiency;electronics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
75002;아틀라스 A/S ;T201;3;1930;1970;aeronautics;naval_engineering;electronics;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
75003;부르마이스터 & 바인 ;100079;6;1872;1970;naval_engineering;mechanics;electronics;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
75004;닐스 보어 ;T203;8;1921;1943;nuclear_physics;nuclear_engineering;mathematics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
75005;F.L. 스미트 ;100080;7;1882;1970;mechanics;industrial_engineering;electronics;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
75006;HF 베르크스타데르 ;T205;3;1930;1970;aeronautics;aircraft_testing;general_equipment;avionics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
75007;덴마크 산업 연합 ;T206;4;1930;1970;mechanics;artillery;general_equipment;munitions;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
75008;사돌린 & 홀름블라드 A/S ;T207;3;1912;1970;chemistry;industrial_engineering;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
75009;뵐룬 ;T208;4;1930;1970;mechanics;naval_engineering;electronics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
75010;덴마크 왕립 육군 ;T209;4;1900;1970;small_unit_tactics;centralized_execution;infantry_focus;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
75011;덴마크 왕립 공군 ;T210;3;1945;1970;fighter_tactics;centralized_execution;piloting;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
75012;Haerens Flyvertropper;100829;3;1912;1970;bomber_tactics;fighter_tactics;training;piloting;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
75013;E.V. 그란디에안 ;100088;4;1918;1948;bomber_tactics;carrier_tactics;piloting;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
75014;오게 베델 ;T213;4;1941;1958;seamanship;large_taskforce_tactics;centralized_execution;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
75015;햘마르 레크니처르 ;100081;3;1914;1942;submarine_tactics;small_taskforce_tactics;seamanship;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
75016;노보 노리스크 ;T215;6;1930;1970;chemistry;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
75017;스벤 폰토피단 ;T216;4;1958;1966;seamanship;small_taskforce_tactics;centralized_execution;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
75018;닐센 & 빈테르 A/S ;100082;3;1916;1970;aeronautics;mechanics;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
75019;덴마크 국영 철도 ;100083;2;1885;1970;industrial_engineering;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
75020;빌헬름 메센 ;100084;4;1879;1900;general_equipment;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
75021;메센 A/S ;100085;6;1900;1970;general_equipment;training;artillery;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
75022;덴마크 조선소 ;100086;6;1890;1970;naval_engineering;naval_artillery;technical_efficiency;aeronautics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
75023;Anton Ferdinand Mazanti Evers;100087;4;1914;1924;naval_training;seamanship;centralized_execution;large_taskforce_tactics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
75025;덴마크 해군 학교 ;100375;4;1869;1903;naval_training;seamanship;small_taskforce_tactics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
75026;덴마크 해군 사관학교 ;100375;5;1903;1914;naval_training;seamanship;small_taskforce_tactics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
