DFR;Name;Pic Name;Skill;Start Year;End Year;Speciality1;Speciality2;Speciality3;Speciality4;Speciality5;Speciality6;Speciality7;Speciality8;Speciality9;Speciality10;Speciality11;Speciality12;Speciality13;Speciality14;Speciality15;Speciality16;Speciality17;Speciality18;Speciality19;Speciality20;Speciality21;Speciality22;Speciality23;Speciality24;Speciality25;Speciality26;Speciality27;Speciality28;Speciality29;Speciality30;Speciality31;Speciality32;x
630001;블롬 & 보스 ;T1;7;1900;1970;naval_engineering;naval_artillery;technical_efficiency;submarine_design;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
630002;콘라드 추제 ;T5;7;1900;1970;mathematics;electronics;mechanics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
630003;크루프 ;100089;9;1900;1970;industrial_engineering;mechanics;technical_efficiency;artillery;vehicle_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
630004;만 ;T8;8;1900;1970;mechanics;vehicle_engineering;artillery;munitions;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
630005;마우저 ;100090;8;1900;1970;general_equipment;mechanics;training;munitions;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
630006;메서슈미트 ;T10;9;1900;1970;fighter_design;aeronautics;rocketry;mechanics;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
630007;오펠 ;T11;7;1900;1970;mechanics;management;technical_efficiency;vehicle_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
630008;포르쉐  ;T12;9;1900;1970;mechanics;vehicle_engineering;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
630009;라인메탈 ;100004;7;1900;1970;artillery;mechanics;training;munitions;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
630010;지멘스 ;100091;8;1900;1970;electronics;industrial_engineering;technical_efficiency;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
630011;폴크스바겐 ;T15;6;1900;1970;mechanics;vehicle_engineering;technical_efficiency;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
630012;베르너 하이젠베르크 ;T16;7;1927;1976;nuclear_physics;nuclear_engineering;mathematics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
630013;에리히 폰 만슈타인 ;T20;8;1930;1970;combined_arms_focus;small_unit_tactics;decentralized_execution;training;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
630014;하인츠 구데리안 ;T22;9;1930;1970;combined_arms_focus;small_unit_tactics;decentralized_execution;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
630015;뮈르빅 해군사관학교 ;T7014;6;1900;1970;seamanship;small_taskforce_tactics;naval_training;centralized_execution;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
630016;알프레드 뷜로이우스 ;T7015;6;1930;1970;piloting;training;bomber_tactics;combined_arms_focus;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
630017;요제프 캄후버 ;T7016;6;1930;1970;centralized_execution;fighter_tactics;bomber_tactics;piloting;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
630018;슈밀로 폰 뤼트비츠 ;100604;6;1945;1960;training;small_unit_tactics;combined_arms_focus;decentralized_execution;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
630019;아돌프 호이싱거 ;100605;7;1954;1970;training;small_unit_tactics;combined_arms_focus;centralized_execution;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
