EAF;Name;Pic Name;Skill;Start Year;End Year;Speciality1;Speciality2;Speciality3;Speciality4;Speciality5;Speciality6;Speciality7;Speciality8;Speciality9;Speciality10;Speciality11;Speciality12;Speciality13;Speciality14;Speciality15;Speciality16;Speciality17;Speciality18;Speciality19;Speciality20;Speciality21;Speciality22;Speciality23;Speciality24;Speciality25;Speciality26;Speciality27;Speciality28;Speciality29;Speciality30;Speciality31;Speciality32;x
635001;동아프리카 철도 및 항만청 ;T10700;4;1900;1970;mechanics;general_equipment;industrial_engineering;naval_engineering;electronics;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
635002;케냐 철도 회사 ;T10701;3;1900;1970;mechanics;general_equipment;industrial_engineering;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
635003;탄자니아 철도 회사 ;T10702;3;1900;1970;mechanics;general_equipment;industrial_engineering;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
635004;나이로비 대학교 ;T10703;1;1941;1970;management;mechanics;chemistry;mathematics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
635005;헨리 던데스 스티븐슨 ;T10704;4;1930;1940;combined_arms_focus;large_unit_tactics;centralized_execution;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
635006;다우디 차와 ;T10705;3;1897;1939;decentralized_execution;small_unit_tactics;combined_arms_focus;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
635007;윌리엄 데니스 배터쉴 ;T10605;4;1930;1970;bomber_tactics;training;piloting;decentralized_execution;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
635008;찰스 파커하슨 던데스 ;T10707;3;1930;1940;fighter_tactics;centralized_execution;piloting;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
635009;나시르다스 메흐타 ;T10708;3;1930;1970;bomber_tactics;piloting;centralized_execution;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
635010;동아프리카연방 사관학교 ;100389;3;1900;1970;centralized_execution;large_unit_tactics;combined_arms_focus;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
