EGY;Name;Pic Name;Skill;Start Year;End Year;Speciality1;Speciality2;Speciality3;Speciality4;Speciality5;Speciality6;Speciality7;Speciality8;Speciality9;Speciality10;Speciality11;Speciality12;Speciality13;Speciality14;Speciality15;Speciality16;Speciality17;Speciality18;Speciality19;Speciality20;Speciality21;Speciality22;Speciality23;Speciality24;Speciality25;Speciality26;Speciality27;Speciality28;Speciality29;Speciality30;Speciality31;Speciality32;x
340001;아이유브 ;T9401;4;1930;1970;mechanics;industrial_engineering;technical_efficiency;general_equipment;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
340002;카이로 대학교 ;T9402;3;1900;1970;management;chemistry;industrial_engineering;mathematics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
340003;이집트 철도 ;T9404;4;1900;1970;mechanics;industrial_engineering;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
340004;이집트 군수청 ;T9405;5;1900;1970;mechanics;artillery;general_equipment;munitions;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
340005;압델하미드 솔리만 ;T9408;3;1930;1970;combined_arms_focus;large_unit_tactics;centralized_execution;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
340006;하산 사브리 파샤 ;T9406;3;1930;1970;small_taskforce_tactics;naval_training;centralized_execution;seamanship;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
340007;모하메드 나구이브 ;T9407;4;1942;1970;bomber_tactics;fighter_tactics;centralized_execution;piloting;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
340008;수에즈 운하 회사 ;T10809;5;1900;1970;technical_efficiency;management;general_equipment;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
340009;알렉산드리아 항만 회사 ;100390;2;1900;1970;naval_engineering;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
340010;이집트 항공기 ;100391;3;1930;1970;aeronautics;mechanics;piloting;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
340011;EEA ;100392;5;1941;1970;vehicle_engineering;mechanics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
340012;나스르 ;100393;4;1960;1970;vehicle_engineering;mechanics;technical_efficiency;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
