FIN;Name;Pic Name;Skill;Start Year;End Year;Speciality1;Speciality2;Speciality3;Speciality4;Speciality5;Speciality6;Speciality7;Speciality8;Speciality9;Speciality10;Speciality11;Speciality12;Speciality13;Speciality14;Speciality15;Speciality16;Speciality17;Speciality18;Speciality19;Speciality20;Speciality21;Speciality22;Speciality23;Speciality24;Speciality25;Speciality26;Speciality27;Speciality28;Speciality29;Speciality30;Speciality31;Speciality32;x
145001;국영 항공기 회사 ;100664;5;1928;1951;aeronautics;fighter_design;aircraft_testing;bomber_design;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
145002;크리크호톤 ;100108;5;1900;1970;naval_engineering;technical_efficiency;industrial_engineering;electronics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
145003;큄메네 ;T1302;5;1930;1970;chemistry;industrial_engineering;mechanics;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
145004;티카코스키 ;100109;5;1930;1970;general_equipment;training;artillery;munitions;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
145005;발메트 ;T1304;4;1946;1970;aeronautics;bomber_design;avionics;fighter_design;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
145006;칼 구스타프 만네르헤임 ;T1305;7;1908;1946;infantry_focus;individual_courage;small_unit_tactics;centralized_execution;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
145007;리크하르드 로렌츠 ;T1306;4;1930;1970;decentralized_execution;fighter_tactics;piloting;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
145008;빌호 네노넨 ;100113;6;1918;1947;artillery;training;electronics;centralized_execution;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
145009;K. 네나르트 오에스크흐 ;T1308;5;1930;1970;combined_arms_focus;centralized_execution;small_unit_tactics;individual_courage;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
145010;바이노 발베 ;T1309;4;1919;1970;naval_training;seamanship;centralized_execution;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
145011;아르투리 비르타넨 ;T1310;6;1920;1970;chemistry;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
145012;롤프 헤르만 네반린나 ;100665;4;1930;1970;mathematics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
145013;아르네 라코마 ;100116;5;1944;1970;aeronautics;rocketry;mechanics;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
145014;엽병 훈련 학교 ;100383;3;1900;1970;individual_courage;small_unit_tactics;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
145015;공군 항공기 공장 ;100107;5;1921;1927;aeronautics;artillery;mechanics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
145016;핀란드 육군 ;100663;1;1890;1970;general_equipment;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
145017;핀란드 고무회사 ;100110;4;1898;1970;chemistry;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
145018;피스카르스 ;100111;4;1649;1970;industrial_engineering;mechanics;general_equipment;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
145019;아스트롬 ;100112;6;1908;1970;chemistry;general_equipment;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
145020;핀란드 해양연구소 ;100114;4;1917;1970;centralized_execution;naval_training;seamanship;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
145021;아르네 소메르살로 ;100115;4;1919;1946;centralized_execution;fighter_tactics;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
145022;카를 프레드리크 빌카마 ;100754;3;1918;1928;small_unit_tactics;infantry_focus;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
