GRE;Name;Pic Name;Skill;Start Year;End Year;Speciality1;Speciality2;Speciality3;Speciality4;Speciality5;Speciality6;Speciality7;Speciality8;Speciality9;Speciality10;Speciality11;Speciality12;Speciality13;Speciality14;Speciality15;Speciality16;Speciality17;Speciality18;Speciality19;Speciality20;Speciality21;Speciality22;Speciality23;Speciality24;Speciality25;Speciality26;Speciality27;Speciality28;Speciality29;Speciality30;Speciality31;Speciality32;x
90001;GNAF ;T1500;4;1900;1970;aeronautics;fighter_design;aircraft_testing;bomber_design;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
90002;OASA ;T1501;4;1900;1970;industrial_engineering;mechanics;electronics;management;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
90003;왕립 그리스 해군 조선소 ;T1502;4;1900;1970;naval_engineering;technical_efficiency;electronics;naval_artillery;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
90004;SPAP ;T1503;5;1882;1970;industrial_engineering;mechanics;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
90005;알렉산드로스 파파고스 ;T1504;3;1927;1955;small_unit_tactics;centralized_execution;infantry_focus;individual_courage;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
90006;보병 지원 학교 ;T1505;4;1900;1960;general_equipment;training;munitions;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
90007;포병 탄도학 학교 ;T1506;3;1900;1960;artillery;mechanics;munitions;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
90008;상업 및 산업 아카데미 ;100404;6;1824;1970;industrial_engineering;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
90009;라우리움 제련소 ;100152;4;1824;1970;industrial_engineering;mechanics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
90010;살라미스 조선소 ;100153;4;1824;1970;naval_engineering;naval_artillery;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
90011;그리스 육군 ;100154;5;1824;1970;general_equipment;artillery;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
90012;파나요티스 당글리스 ;100155;5;1917;1918;centralized_execution;infantry_focus;small_unit_tactics;artillery;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
90013;콘스탄티노스 황태자 ;100405;5;1890;1913;centralized_execution;infantry_focus;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
90014;파울로스 쿤투리오티스 ;100156;5;1912;1929;centralized_execution;small_taskforce_tactics;naval_training;seamanship;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
90015;바실레이아데스 ;100893;4;1859;1970;mechanics;management;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
90016;바실레이아데스 조선소 ;100902;4;1896;1953;mechanics;technical_efficiency;general_equipment;naval_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
90017;메트소비안 폴리테크닉 ;100895;3;1914;1970;electronics;technical_efficiency;chemistry;mechanics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
90018;EEPK ;100896;4;1874;1960;general_equipment;chemistry;munitions;artillery;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
90019;크로페이 ;100897;3;1883;1970;medicine;chemistry;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
90020;Aristeidis Moraitinis;100899;3;1912;1918;fighter_tactics;piloting;individual_courage;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
90021;Christos Adamidis;100900;3;1912;1930;bomber_tactics;piloting;individual_courage;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
90022;그리스 사관학교 ;100903;4;1900;1970;centralized_execution;infantry_focus;individual_courage;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
90023;Scholi Nautikon Dokimon;100904;4;1884;1970;small_taskforce_tactics;naval_training;seamanship;centralized_execution;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
90024;AEEHPL ;100892;4;1930;1970;industrial_engineering;chemistry;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
90025;Tangalakis;100894;2;1925;1970;mechanics;technical_efficiency;management;vehicle_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
90026;KEA ;100898;4;1925;1970;aeronautics;fighter_design;aircraft_testing;mechanics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
90027;그리스 공군학교 ;100901;4;1931;1970;fighter_tactics;aircraft_testing;piloting;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
