HUN;Name;Pic Name;Skill;Start Year;End Year;Speciality1;Speciality2;Speciality3;Speciality4;Speciality5;Speciality6;Speciality7;Speciality8;Speciality9;Speciality10;Speciality11;Speciality12;Speciality13;Speciality14;Speciality15;Speciality16;Speciality17;Speciality18;Speciality19;Speciality20;Speciality21;Speciality22;Speciality23;Speciality24;Speciality25;Speciality26;Speciality27;Speciality28;Speciality29;Speciality30;Speciality31;Speciality32;x
105001;부다페스트 화학 ;T1600;5;1900;1970;chemistry;industrial_engineering;management;medicine;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
105002;FEG ;T1601;4;1900;1970;general_equipment;artillery;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
105003;건즈 ;T1602;3;1900;1970;mechanics;electronics;general_equipment;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
105004;M.W. 항공기 ;T1604;5;1930;1970;aeronautics;fighter_design;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
105005;만프레드 와이스 ;T1604;5;1930;1970;mechanics;industrial_engineering;technical_efficiency;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
105006;MAVAG ;T1602;5;1930;1970;mechanics;general_equipment;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
105007;MOLAJ ;T1606;6;1944;1970;industrial_engineering;chemistry;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
105008;솜버테이 페렌츠 ;T1607;4;1930;1960;small_unit_tactics;centralized_execution;combined_arms_focus;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
105009;데브뢰지 죄르지 ;T1608;5;1940;1960;fighter_tactics;piloting;training;centralized_execution;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
105010;리터이 페렌츠 ;T1609;3;1941;1944;bomber_tactics;piloting;training;centralized_execution;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
105011;외트뵈시 로란드 대학 ;T1610;4;1900;1970;nuclear_physics;nuclear_engineering;mathematics;chemistry;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
105012;뵈뢰시 야노시 ;T1611;4;1930;1960;combined_arms_focus;centralized_execution;large_unit_tactics;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
105013;처터이 러요시 ;T1612;4;1930;1944;combined_arms_focus;decentralized_execution;large_unit_tactics;small_unit_tactics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
105014;호르티 미클로시 ;T1613;3;1930;1944;seamanship;naval_training;centralized_execution;large_taskforce_tactics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
105015;버이 졸탄 ;T1614;5;1930;1948;electronics;management;mathematics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
105016;공군 개발부 ;100406;3;1930;1970;aeronautics;bomber_design;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
105017;툰그슈럼 ;T1603;5;1896;1970;electronics;management;mathematics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
105018;Ferenc Feketehalmy-Czeydner;100828;3;1933;1942;bomber_tactics;piloting;training;centralized_execution;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
