IND;Name;Pic Name;Skill;Start Year;End Year;Speciality1;Speciality2;Speciality3;Speciality4;Speciality5;Speciality6;Speciality7;Speciality8;Speciality9;Speciality10;Speciality11;Speciality12;Speciality13;Speciality14;Speciality15;Speciality16;Speciality17;Speciality18;Speciality19;Speciality20;Speciality21;Speciality22;Speciality23;Speciality24;Speciality25;Speciality26;Speciality27;Speciality28;Speciality29;Speciality30;Speciality31;Speciality32;x
250001;바라트 일렉트로닉스 ;T11400;5;1944;1970;electronics;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
250002;인도 국방 개발 연구소 ;T11401;6;1900;1970;munitions;mechanics;artillery;general_equipment;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
250003;가든 리치 선박회사 ;T23002;5;1900;1970;naval_engineering;electronics;general_equipment;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
250004;힌두스탄 항공 회사 ;T23003;5;1930;1970;bomber_design;aeronautics;aircraft_testing;fighter_design;avionics;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
250005;인도 과학 아카데미 ;T11404;5;1900;1970;mathematics;chemistry;electronics;mechanics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
250006;인도 원자력 위원회 ;T11405;3;1943;1970;nuclear_physics;nuclear_engineering;mathematics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
250007;인도 국유 철도 ;T11406;5;1900;1970;mechanics;industrial_engineering;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
250008;J.R.D. 타타 ;T11407;4;1900;1970;industrial_engineering;technical_efficiency;aeronautics;piloting;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
250009;마자곤 선창 리미티드 ;T11408;4;1900;1970;naval_engineering;naval_artillery;electronics;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
250010;인도 공병학 기관 ;T11409;5;1900;1970;management;general_equipment;mechanics;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
250011;인도 군수품 공장 위원회 ;T11410;4;1930;1970;mechanics;munitions;general_equipment;electronics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
250012;스리 간샴 다스 비를라 ;T11411;4;1930;1970;industrial_engineering;management;electronics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
250013;델리 대학교 ;T11412;3;1900;1970;management;chemistry;mechanics;mathematics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
250014;자가디시 찬드라 보스 ;T11413;6;1930;1937;electronics;mathematics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
250015;사티엔드라 나드 보스 ;T11414;7;1930;1970;mathematics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
250016;벤카타 라만 ;T11415;6;1930;1970;management;training;mathematics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
250017;아치볼드 웨이벌 ;T10805;6;1942;1947;centralized_execution;large_unit_tactics;combined_arms_focus;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
250018;프랭크 메서비 ;T11417;5;1942;1947;decentralized_execution;small_unit_tactics;combined_arms_focus;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
250019;빅터 로드 린리스고 ;T11418;3;1930;1943;combined_arms_focus;large_unit_tactics;centralized_execution;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
250020;윌리엄 E. 패리 ;T11419;5;1930;1958;naval_training;large_taskforce_tactics;centralized_execution;seamanship;carrier_tactics;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
250021;아스피 메르완 공학 ;T11420;5;1930;1964;bomber_tactics;training;piloting;centralized_execution;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
250022;R.D. 카트리 ;T23021;4;1954;1965;small_taskforce_tactics;centralized_execution;seamanship;naval_training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
250023;K.M. 카리파 ;T23022;5;1947;1965;centralized_execution;large_unit_tactics;training;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
250024;타타 철강 회사 ;100161;5;1907;1970;industrial_engineering;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
250025;프라풀라 찬드라 레이 ;100162;3;1889;1937;management;chemistry;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
250026;인도 재배 과학 협회 ;100163;3;1876;1970;mathematics;nuclear_physics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
250027;벵골 화학약품 제약회사 ;100164;5;1901;1970;technical_efficiency;chemistry;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
250028;알라하바드 대학교 ;100165;4;1887;1970;management;chemistry;nuclear_physics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
250029;코덴데라 수바야 티마이야 ;100627;5;1950;1970;small_unit_tactics;infantry_focus;centralized_execution;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
