IRE;Name;Pic Name;Skill;Start Year;End Year;Speciality1;Speciality2;Speciality3;Speciality4;Speciality5;Speciality6;Speciality7;Speciality8;Speciality9;Speciality10;Speciality11;Speciality12;Speciality13;Speciality14;Speciality15;Speciality16;Speciality17;Speciality18;Speciality19;Speciality20;Speciality21;Speciality22;Speciality23;Speciality24;Speciality25;Speciality26;Speciality27;Speciality28;Speciality29;Speciality30;Speciality31;Speciality32;x
125001;레이랜드 ;T4000;4;1900;1970;mechanics;technical_efficiency;artillery;vehicle_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
125002;굴딩 화학 ;100166;4;1900;1970;chemistry;industrial_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
125003;레녹스 화학 ;100167;4;1900;1970;chemistry;industrial_engineering;general_equipment;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
125004;사관학교 ;100168;4;1900;1970;small_unit_tactics;infantry_focus;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
125005;해군 사관학교 ;100169;3;1900;1970;naval_training;small_taskforce_tactics;seamanship;centralized_execution;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
125006;항공대 사관학교 ;100170;3;1920;1970;bomber_tactics;fighter_tactics;piloting;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
125007;어니스트 T.S. 월턴 ;100171;4;1930;1970;nuclear_physics;mathematics;management;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
125008;에어 링구스 ;100172;4;1930;1970;aeronautics;avionics;fighter_design;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
125009;더블린 조선소 ;100173;4;1900;1970;naval_engineering;naval_artillery;electronics;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
125010;이오인 맥닐 ;100407;2;1890;1914;small_unit_tactics;individual_courage;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
125011;GS&WR ;100408;5;1844;1925;mechanics;industrial_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
125012;동맹과 더블린 소비자 가스 회사 ;100166;2;1890;1970;chemistry;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
125013;맥뮬란 형제 리미티드 ;100167;6;1920;1970;industrial_engineering;chemistry;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
125014;마이클 콜린스 ;100168;5;1914;1922;small_unit_tactics;infantry_focus;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
125015;아일랜드 공화국군 ;100169;2;1919;1922;general_equipment;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
125016;아일랜드 국민군 ;100170;2;1922;1970;general_equipment;artillery;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
125017;리처드 멀케이 ;100171;4;1922;1970;small_unit_tactics;infantry_focus;individual_courage;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
125018;아일랜드 의용군 ;100172;2;1913;1919;general_equipment;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
125019;왕립 아일랜드 육군 ;100173;4;1970;1970;general_equipment;artillery;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
