ISR;Name;Pic Name;Skill;Start Year;End Year;Speciality1;Speciality2;Speciality3;Speciality4;Speciality5;Speciality6;Speciality7;Speciality8;Speciality9;Speciality10;Speciality11;Speciality12;Speciality13;Speciality14;Speciality15;Speciality16;Speciality17;Speciality18;Speciality19;Speciality20;Speciality21;Speciality22;Speciality23;Speciality24;Speciality25;Speciality26;Speciality27;Speciality28;Speciality29;Speciality30;Speciality31;Speciality32;x
675001;예루살렘 히브리 대학교 ;T11600;5;1900;1970;management;chemistry;mechanics;mathematics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
675002;이스라엘 항공기 공업 회사 ;T11601;7;1930;1970;aeronautics;fighter_design;avionics;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
675003;이스라엘 방위산업체 ;T11602;7;1900;1970;mechanics;artillery;general_equipment;rocketry;munitions;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
675004;타디란 전자 산업 ;T11603;5;1944;1970;electronics;management;mathematics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
675005;군장비 개발청 ;T11604;6;1900;1970;mechanics;artillery;general_equipment;munitions;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
675006;엘빗 시스템즈 리미티드 ;T11605;6;1944;1970;electronics;mechanics;industrial_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
675007;모세 다얀 ;T11606;7;1944;1970;decentralized_execution;small_unit_tactics;combined_arms_focus;centralized_execution;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
675008;IDF 지휘 참모 대학 ;T11607;5;1900;1970;centralized_execution;large_unit_tactics;combined_arms_focus;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
675009;INF 운영 분석 대학 ;T11608;4;1900;1970;naval_training;small_taskforce_tactics;centralized_execution;seamanship;submarine_tactics;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
675010;IAF 공군 본부 ;T11609;7;1930;1970;combined_arms_focus;piloting;training;bomber_tactics;decentralized_execution;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
