JAP;Name;Pic Name;Skill;Start Year;End Year;Speciality1;Speciality2;Speciality3;Speciality4;Speciality5;Speciality6;Speciality7;Speciality8;Speciality9;Speciality10;Speciality11;Speciality12;Speciality13;Speciality14;Speciality15;Speciality16;Speciality17;Speciality18;Speciality19;Speciality20;Speciality21;Speciality22;Speciality23;Speciality24;Speciality25;Speciality26;Speciality27;Speciality28;Speciality29;Speciality30;Speciality31;Speciality32;x
50011;스미토모 ;T1910;6;1650;1970;electronics;chemistry;general_equipment;industrial_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
50008;미쓰이 ;T1907;6;1683;1950;electronics;chemistry;general_equipment;industrial_engineering;naval_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
50029;미쓰이 ;T1907;8;1951;1970;electronics;chemistry;general_equipment;industrial_engineering;naval_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
50010;닛산 ;T1909;6;1933;1970;electronics;industrial_engineering;mechanics;vehicle_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
50032;코마쓰 ;100208;6;1917;1970;industrial_engineering;vehicle_engineering;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
50012;다카기 데이지 ;T1911;6;1900;1960;mathematics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
50014;니시나 요시오 ;T1913;4;1928;1951;nuclear_physics;mathematics;chemistry;nuclear_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
50021;도모나가 신이치로 ;T1920;5;1941;1970;nuclear_physics;mathematics;electronics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
50026;일본 전력 ;T1925;5;1899;1970;chemistry;electronics;mathematics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
50059;니토베 이나조 ;100228;5;1891;1930;training;management;chemistry;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
50060;도쿄 제국대학 ;100229;5;1877;1930;mathematics;chemistry;electronics;mechanics;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
50061;도쿄 제국대학 ;100229;6;1931;1970;mathematics;chemistry;electronics;mechanics;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
50002;히노 자동차 ;T1901;5;1917;1970;mechanics;artillery;electronics;vehicle_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
50006;미쓰비시 중공업 ;T1905;5;1870;1970;vehicle_engineering;artillery;management;mechanics;munitions;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
50013;도쿄 조병창 ;T1912;5;1898;1970;munitions;training;general_equipment;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
50033;카이신샤 ;100209;4;1911;1933;mechanics;artillery;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
50034;카이신샤 ;100210;5;1934;1970;mechanics;artillery;technical_efficiency;general_equipment;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
50062;난부 키지로 ;100230;6;1897;1927;general_equipment;management;training;artillery;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
50063;난부 총기 제조소 ;100231;7;1927;1970;general_equipment;management;training;artillery;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
50003;가와사키 중공업 ;T1902;8;1896;1970;naval_engineering;technical_efficiency;carrier_design;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
50036;요코스카 조선소 ;100211;5;1871;1920;naval_engineering;naval_artillery;technical_efficiency;electronics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
50037;요코스카 조선소 ;100211;7;1921;1970;naval_engineering;naval_artillery;technical_efficiency;electronics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
50004;구레 해군공창 ;100203;7;1889;1970;naval_engineering;electronics;naval_artillery;technical_efficiency;artillery;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
50007;미쓰비시 조선소 ;T1906;7;1870;1970;naval_engineering;naval_artillery;technical_efficiency;submarine_design;chemistry;mechanics;;;;;;;;;;;;;;;;;;;;;;;;;;;x
50001;아이치 항공기 ;T1900;6;1898;1970;aeronautics;fighter_design;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
50005;미쓰비시 항공기 ;T1904;7;1870;1970;fighter_design;naval_artillery;avionics;bomber_design;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
50009;나카지마 ;100204;7;1918;1970;technical_efficiency;fighter_design;mechanics;bomber_design;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
