KOR;Name;Pic Name;Skill;Start Year;End Year;Speciality1;Speciality2;Speciality3;Speciality4;Speciality5;Speciality6;Speciality7;Speciality8;Speciality9;Speciality10;Speciality11;Speciality12;Speciality13;Speciality14;Speciality15;Speciality16;Speciality17;Speciality18;Speciality19;Speciality20;Speciality21;Speciality22;Speciality23;Speciality24;Speciality25;Speciality26;Speciality27;Speciality28;Speciality29;Speciality30;Speciality31;Speciality32;x
265001;대우조선해양 ;T13500;5;1900;1970;naval_engineering;naval_artillery;electronics;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
265002;방위건설청 ;T9800;6;1900;1970;mechanics;artillery;general_equipment;munitions;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
265003;현대중공업 ;T13502;6;1900;1970;mechanics;technical_efficiency;rocketry;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
265004;한국 해양대학교 ;T13503;4;1900;1970;naval_training;naval_engineering;management;mechanics;seamanship;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
265005;대한항공 항공부문 ;T13504;4;1930;1970;aeronautics;aircraft_testing;fighter_design;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
265006;경성정공 ;T13505;4;1944;1970;mechanics;industrial_engineering;management;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
265007;국방연구소 ;T9800;5;1900;1970;mathematics;chemistry;mechanics;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
265008;삼성 ;T13507;6;1938;1970;electronics;management;artillery;industrial_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
265009;국립 서울대학교 ;T13508;4;1946;1970;management;chemistry;mechanics;mathematics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
265010;서울 군사학교 ;T10401;4;1900;1970;centralized_execution;small_unit_tactics;large_unit_tactics;small_unit_tactics;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
