LEB;Name;Pic Name;Skill;Start Year;End Year;Speciality1;Speciality2;Speciality3;Speciality4;Speciality5;Speciality6;Speciality7;Speciality8;Speciality9;Speciality10;Speciality11;Speciality12;Speciality13;Speciality14;Speciality15;Speciality16;Speciality17;Speciality18;Speciality19;Speciality20;Speciality21;Speciality22;Speciality23;Speciality24;Speciality25;Speciality26;Speciality27;Speciality28;Speciality29;Speciality30;Speciality31;Speciality32;x
375001;¾Æ¶ø ÀºÇà ;T9400;4;1900;1970;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
375002;º£ÀÌ·çÆ® º´±âÃ¢ ;T9800;3;1900;1970;mechanics;artillery;general_equipment;munitions;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
375003;Æ®¸®Æú¸® ¼ö¸®Á¶¼±¼Ò ;T11003;2;1900;1970;naval_engineering;naval_artillery;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
375004;»ý-ÁÒ¼Á ´ëÇÐ±³ ;T11903;3;1900;1970;management;chemistry;industrial_engineering;mathematics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
375005;¾Æµå¸®¾Ó ÆçÆ¼¿¡ ;T11904;3;1930;1945;centralized_execution;large_unit_tactics;individual_courage;infantry_focus;combined_arms_focus;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
375006;¾Æ½Ç Æä·¹Æ¼ ;T11905;2;1930;1945;large_taskforce_tactics;naval_training;centralized_execution;seamanship;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
375007;¾Ó¸® ¼ú¶ó ;T11906;3;1930;1945;fighter_tactics;piloting;training;bomber_tactics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
375008;ÅõÇÈ »ì·½ ;T11907;3;1945;1959;centralized_execution;large_unit_tactics;small_unit_tactics;infantry_focus;combined_arms_focus;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
375009;À¯¼öÇÁ »þ¸ÞÀÕ ;T11908;3;1959;1970;centralized_execution;large_unit_tactics;small_unit_tactics;infantry_focus;combined_arms_focus;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
375010;Çª¾Æµå ½¦¹ä ;T11909;3;1945;1958;centralized_execution;naval_training;small_unit_tactics;fighter_tactics;combined_arms_focus;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
375011;¾Æµ¨ ½¦¹ä ;T11910;3;1959;1965;centralized_execution;naval_training;small_unit_tactics;fighter_tactics;combined_arms_focus;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
