MAN;Name;Pic Name;Skill;Start Year;End Year;Speciality1;Speciality2;Speciality3;Speciality4;Speciality5;Speciality6;Speciality7;Speciality8;Speciality9;Speciality10;Speciality11;Speciality12;Speciality13;Speciality14;Speciality15;Speciality16;Speciality17;Speciality18;Speciality19;Speciality20;Speciality21;Speciality22;Speciality23;Speciality24;Speciality25;Speciality26;Speciality27;Speciality28;Speciality29;Speciality30;Speciality31;Speciality32;x
235001;남만주 철도 ;T6400;4;1906;1970;industrial_engineering;general_equipment;electronics;management;mechanics;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
235002;만주 비행기제조 ;T6401;4;1930;1970;aeronautics;fighter_design;aircraft_testing;general_equipment;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
235003;만주 척식회사 ;T6402;4;1900;1970;mechanics;management;chemistry;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
235004;기무라 헤이타로 ;T6403;5;1940;1970;combined_arms_focus;individual_courage;small_unit_tactics;decentralized_execution;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
235005;이타가키 세이시로 ;T6404;4;1930;1938;infantry_focus;individual_courage;centralized_execution;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
235006;만주 제국 육군 ;T6405;6;1939;1970;combined_arms_focus;individual_courage;centralized_execution;large_unit_tactics;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
235007;게이준 오카 ;T6406;4;1939;1970;submarine_tactics;seamanship;naval_training;large_taskforce_tactics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
235008;만주 제국 공군 ;T6405;3;1939;1970;centralized_execution;piloting;bomber_tactics;fighter_tactics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
235009;도와 자동차 ;T1909;5;1930;1970;mechanics;electronics;artillery;vehicle_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
235010;만주국 재벌 ;T1902;4;1900;1970;industrial_engineering;management;mathematics;mechanics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
235011;펑톈 병기창 ;T1003;4;1900;1970;artillery;general_equipment;munitions;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
235012;쇼와 제철소 ;100004;5;1900;1970;industrial_engineering;mechanics;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
235013;장쭤린 ;100420;3;1911;1929;centralized_execution;small_unit_tactics;individual_courage;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
