MEX;Name;Pic Name;Skill;Start Year;End Year;Speciality1;Speciality2;Speciality3;Speciality4;Speciality5;Speciality6;Speciality7;Speciality8;Speciality9;Speciality10;Speciality11;Speciality12;Speciality13;Speciality14;Speciality15;Speciality16;Speciality17;Speciality18;Speciality19;Speciality20;Speciality21;Speciality22;Speciality23;Speciality24;Speciality25;Speciality26;Speciality27;Speciality28;Speciality29;Speciality30;Speciality31;Speciality32;x
170001;TNCA ;T2200;4;1915;1947;aeronautics;avionics;bomber_design;fighter_design;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
170002;COMESA ;T2201;3;1900;1970;general_equipment;munitions;artillery;mechanics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
170003;PEMEX ;T2202;4;1938;1970;industrial_engineering;chemistry;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
170004;마누엘 아빌라 카마초 ;T2203;5;1929;1946;large_unit_tactics;individual_courage;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
170005;멕시코 철강회사 ;T2204;5;1900;1970;industrial_engineering;mechanics;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
170006;알베르토 살리나스 카란사 ;T2205;4;1933;1970;bomber_tactics;piloting;centralized_execution;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
170007;엔리케 에스트라다 레이노소 ;T2206;3;1910;1942;small_unit_tactics;decentralized_execution;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
170008;구스타보 살리나스 카미나 ;T2207;4;1914;1964;fighter_tactics;piloting;centralized_execution;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
170009;루이스 이람 톨레도 ;T2209;2;1930;1943;large_taskforce_tactics;naval_training;seamanship;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
170011;멕시코 자유대학교 ;T2211;3;1910;1970;mechanics;chemistry;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
170012;마누엘 몬드라곤 ;100409;4;1907;1952;general_equipment;artillery;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
170013;멕시코 육군 차량부 ;100410;3;1905;1970;mechanics;general_equipment;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
170014;멕시코 공군 ;100411;2;1915;1970;aeronautics;mechanics;aircraft_testing;piloting;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
170015;크루스 아술 시멘트 ;100412;3;1900;1970;industrial_engineering;mechanics;chemistry;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
170016;알바로 오브레곤 ;100413;7;1913;1928;centralized_execution;large_unit_tactics;individual_courage;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
170017;멕시코 해군학교 ;100414;2;1897;1971;large_taskforce_tactics;naval_training;centralized_execution;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
170018;멕시코 육군학교 ;100571;4;1890;1970;large_unit_tactics;centralized_execution;infantry_focus;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
170019;빅토리아노 우에르타 ;100416;3;1910;1916;centralized_execution;large_unit_tactics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
170020;에밀리아노 사파타 ;100647;6;1910;1919;small_unit_tactics;infantry_focus;individual_courage;decentralized_execution;MANEUVER_TACTICS;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
170021;프란시스코 '판초' 비야 ;100648;5;1910;1923;small_unit_tactics;infantry_focus;individual_courage;decentralized_execution;cavalry_tactics;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
170022;멕시코 국립대학교 ;100580;5;1910;1964;mathematics;management;electronics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
170023;멕시코 병기창 ;100572;3;1910;1964;industrial_engineering;chemistry;general_equipment;munitions;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
170024;후안 기예르모 비야사나 ;100573;3;1912;1930;aeronautics;avionics;bomber_design;fighter_design;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;;
170025;알베르토 살리나스 카란사 ;100661;4;1915;1933;bomber_tactics;piloting;centralized_execution;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
