MTN;Name;Pic Name;Skill;Start Year;End Year;Speciality1;Speciality2;Speciality3;Speciality4;Speciality5;Speciality6;Speciality7;Speciality8;Speciality9;Speciality10;Speciality11;Speciality12;Speciality13;Speciality14;Speciality15;Speciality16;Speciality17;Speciality18;Speciality19;Speciality20;Speciality21;Speciality22;Speciality23;Speciality24;Speciality25;Speciality26;Speciality27;Speciality28;Speciality29;Speciality30;Speciality31;Speciality32;x
390001;부드바 수리조선소 ;T3802;3;1900;1970;naval_engineering;technical_efficiency;naval_artillery;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
390002;몬테네그로 국방부 ;T15601;3;1900;1970;mechanics;artillery;munitions;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
390003;몬테네그로 국영 철도 ;T3805;5;1900;1970;mechanics;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
390004;포드고리차 병기창 ;T3812;5;1900;1970;general_equipment;mechanics;artillery;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
390005;몬테네그로 대학 ;T15604;1;1900;1970;mechanics;chemistry;management;mathematics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
390006;포드고리차 사관학교 ;T10401;2;1900;1970;large_unit_tactics;small_unit_tactics;centralized_execution;infantry_focus;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
390007;몬테네그로 육군 ;100241;5;1890;1970;general_equipment;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
390008;니콜라스 1세 ;100242;2;1870;1921;decentralized_execution;small_unit_tactics;individual_courage;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
390009;바 철도 ;100243;2;1914;1970;mechanics;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
390010;몬테네그로 농업부 ;100244;1;1890;1914;mechanics;industrial_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
390011;왕립 무장요트 루미야 부대 ;100245;2;1905;1970;naval_training;seamanship;small_taskforce_tactics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
390012;비엘라 조선소 ;100246;2;1927;1970;naval_engineering;mechanics;industrial_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
