OTT;Name;Pic Name;Skill;Start Year;End Year;Speciality1;Speciality2;Speciality3;Speciality4;Speciality5;Speciality6;Speciality7;Speciality8;Speciality9;Speciality10;Speciality11;Speciality12;Speciality13;Speciality14;Speciality15;Speciality16;Speciality17;Speciality18;Speciality19;Speciality20;Speciality21;Speciality22;Speciality23;Speciality24;Speciality25;Speciality26;Speciality27;Speciality28;Speciality29;Speciality30;Speciality31;Speciality32;x
720001;오스만 제국 병기창 ;100256;3;1742;1933;chemistry;industrial_engineering;management;general_equipment;munitions;;;;;;;;;;;;;;;;;;;;;;;;;;;;
720002;이스탄불 제국 조선소 ;100252;3;1870;1933;artillery;vehicle_engineering;munitions;naval_artillery;naval_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;
720003;MKEK ;100253;4;1921;1933;chemistry;mathematics;general_equipment;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
720004;THK ;100255;3;1925;1933;aeronautics;fighter_design;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
720005;이스탄불 대학교 ;100257;3;1846;1933;chemistry;electronics;mechanics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
720006;산 스테파노 항공 대학교 ;T3506;3;1912;1933;training;piloting;fighter_tactics;bomber_tactics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
720007;누리 미트하트 ;100258;4;1914;1933;piloting;fighter_tactics;bomber_tactics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
720008;귈하네 군사보건학교 ;100254;3;1898;1933;medicine;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
720009;오스만 해군 학교 ;100260;4;1773;1933;training;naval_training;seamanship;marine_training;large_taskforce_tactics;;;;;;;;;;;;;;;;;;;;;;;;;;;;
720010;누리 야무트 ;T3511;3;1930;1933;small_unit_tactics;centralized_execution;combined_arms_focus;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
