PAR;Name;Pic Name;Skill;Start Year;End Year;Speciality1;Speciality2;Speciality3;Speciality4;Speciality5;Speciality6;Speciality7;Speciality8;Speciality9;Speciality10;Speciality11;Speciality12;Speciality13;Speciality14;Speciality15;Speciality16;Speciality17;Speciality18;Speciality19;Speciality20;Speciality21;Speciality22;Speciality23;Speciality24;Speciality25;Speciality26;Speciality27;Speciality28;Speciality29;Speciality30;Speciality31;Speciality32;x
200001;BCP ;T5400;2;1936;1970;industrial_engineering;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
200002;탄닌 산업 ;T5401;3;1900;1970;general_equipment;chemistry;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
200003;호세 아스타가빌리아 ;T5402;6;1928;1941;large_unit_tactics;centralized_execution;combined_arms_focus;training;individual_courage;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
200004;이기니오 모링고 마르티네스 ;T5403;3;1936;1948;small_unit_tactics;centralized_execution;infantry_focus;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
200005;불룸 컴퍼니 ;T5404;4;1900;1970;general_equipment;management;mechanics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
200006;아순시온 병기창 ;T9800;3;1900;1970;artillery;mechanics;munitions;general_equipment;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
200007;파라과이 항공기 ;T2601;2;1930;1970;aeronautics;avionics;fighter_design;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
200008;셸 파라과이 ;100417;4;1920;1970;industrial_engineering;chemistry;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
200009;파라과이 농업부 ;100418;2;1890;1970;industrial_engineering;mechanics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
200010;파라과이 육군 ;100419;2;1890;1970;general_equipment;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
