PHI;Name;Pic Name;Skill;Start Year;End Year;Speciality1;Speciality2;Speciality3;Speciality4;Speciality5;Speciality6;Speciality7;Speciality8;Speciality9;Speciality10;Speciality11;Speciality12;Speciality13;Speciality14;Speciality15;Speciality16;Speciality17;Speciality18;Speciality19;Speciality20;Speciality21;Speciality22;Speciality23;Speciality24;Speciality25;Speciality26;Speciality27;Speciality28;Speciality29;Speciality30;Speciality31;Speciality32;x
325001;벵게트 연합광산회사 ;T6900;3;1900;1970;mechanics;industrial_engineering;chemistry;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
325002;엘리살데 컴퍼니 ;T6901;6;1900;1970;industrial_engineering;chemistry;naval_engineering;general_equipment;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
325003;마닐라 전기회사 ;T6902;5;1900;1970;industrial_engineering;electronics;management;mechanics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
325004;마닐라 철도회사 ;T6903;3;1900;1970;mechanics;technical_efficiency;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
325005;더글라스 맥아더 ;T6904;6;1930;1942;small_unit_tactics;decentralized_execution;training;combined_arms_focus;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
325006;필리핀 육군학교 ;T6905;3;1900;1970;small_unit_tactics;decentralized_execution;training;combined_arms_focus;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
325007;산토 토마스 대학교 ;T6906;3;1900;1970;mechanics;chemistry;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
325008;필리핀 공군 ;T6907;5;1936;1970;centralized_execution;fighter_tactics;bomber_tactics;piloting;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
325009;비센테 림 ;100614;4;1936;1944;small_unit_tactics;infantry_focus;decentralized_execution;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
325010;리고베르토 아티엔사 ;100615;3;1944;1966;small_unit_tactics;infantry_focus;centralized_execution;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
325011;그레고리오 사라 ;100616;5;1937;1966;aeronautics;technical_efficiency;nuclear_physics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
325012;훌리안 반손 ;100617;4;1941;1970;chemistry;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
