POL;Name;Pic Name;Skill;Start Year;End Year;Speciality1;Speciality2;Speciality3;Speciality4;Speciality5;Speciality6;Speciality7;Speciality8;Speciality9;Speciality10;Speciality11;Speciality12;Speciality13;Speciality14;Speciality15;Speciality16;Speciality17;Speciality18;Speciality19;Speciality20;Speciality21;Speciality22;Speciality23;Speciality24;Speciality25;Speciality26;Speciality27;Speciality28;Speciality29;Speciality30;Speciality31;Speciality32;x
60001;중앙 공단 지구 ;T2700;4;1900;1970;mechanics;artillery;technical_efficiency;industrial_engineering;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
60002;스테판 바나흐 ;T2701;8;1930;1945;mathematics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
60003;스타니슬라프 울람 ;T2702;7;1930;1938;nuclear_physics;nuclear_engineering;mathematics;chemistry;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
60004;국립 군수 공사 ;T2703;5;1927;1970;general_equipment;artillery;munitions;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
60005;스타라호비체 공사 ;T2704;5;1900;1970;artillery;general_equipment;mechanics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
60006;PWS ;T2705;4;1920;1970;aeronautics;fighter_design;aircraft_testing;mechanics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
60007;국립 토목 공사 ;T2706;6;1920;1970;mechanics;artillery;vehicle_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
60008;PZL ;T2707;5;1920;1970;aeronautics;avionics;bomber_design;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
60009;그다니아 조선소 ;T2708;4;1900;1970;naval_engineering;naval_artillery;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
60010;타데우시 쿠트셰바 ;T2709;4;1930;1944;centralized_execution;large_unit_tactics;training;infantry_focus;cavalry_tactics;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
60011;마리안 레예프스키 ;T2710;7;1930;1939;mathematics;electronics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
60012;루도밀 라이스키 ;T2711;4;1930;1944;fighter_tactics;bomber_tactics;piloting;centralized_execution;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
60013;예지 스비르스키 ;T2712;4;1930;1944;naval_training;small_taskforce_tactics;submarine_tactics;seamanship;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
60014;폴란드 국방성 ;T2713;4;1945;1970;large_unit_tactics;centralized_execution;small_taskforce_tactics;fighter_tactics;piloting;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
60015;유제프 피우수트스키 ;100399;4;1904;1935;management;small_unit_tactics;cavalry_tactics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
60016;타데우시 탄스키 ;100400;2;1919;1940;mechanics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
60017;게를라흐 & 풀스트 ;100401;2;1919;1940;artillery;general_equipment;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
60018;CWS ;100402;3;1918;1940;mechanics;industrial_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
60019;카르코스 & 지에치엘레프스키 ;100403;2;1919;1940;small_unit_tactics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
