PRU;Name;Pic Name;Skill;Start Year;End Year;Speciality1;Speciality2;Speciality3;Speciality4;Speciality5;Speciality6;Speciality7;Speciality8;Speciality9;Speciality10;Speciality11;Speciality12;Speciality13;Speciality14;Speciality15;Speciality16;Speciality17;Speciality18;Speciality19;Speciality20;Speciality21;Speciality22;Speciality23;Speciality24;Speciality25;Speciality26;Speciality27;Speciality28;Speciality29;Speciality30;Speciality31;Speciality32;x
185001;엘 카야오 ;T2600;4;1900;1970;naval_engineering;industrial_engineering;training;mechanics;munitions;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
185002;FNA ;T2601;3;1930;1970;aeronautics;fighter_design;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
185003;페루 산업 ;T2602;4;1900;1970;industrial_engineering;mechanics;general_equipment;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
185004;피코스 운송 ;T2603;4;1900;1970;mechanics;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
185005;코를리요 군사학교 ;T2604;4;1900;1970;small_unit_tactics;decentralized_execution;infantry_focus;individual_courage;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
185006;라몬 카스티요 ;T2605;3;1930;1940;large_unit_tactics;centralized_execution;individual_courage;combined_arms_focus;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
185007;페루 해군학교 ;T2606;5;1900;1970;large_taskforce_tactics;seamanship;naval_training;centralized_execution;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
185008;루이스 나바레테 ;T2607;4;1942;1960;large_taskforce_tactics;naval_training;seamanship;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
185009;파울 데 보디에스 ;T2608;5;1930;1939;training;general_equipment;fighter_tactics;piloting;bomber_tactics;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
185010;페르난도 케사다 블랑코 ;T2609;4;1941;1960;fighter_tactics;piloting;training;centralized_execution;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
185011;페드로 파울레트 ;T2610;5;1930;1945;rocketry;aeronautics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
185012;페루 중앙 철도 ;T2600;3;1910;1970;industrial_engineering;mechanics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
185013;태평양 해운회사 ;T2601;3;1890;1970;naval_engineering;seamanship;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
185014;사폴리오 ;T2602;3;1890;1970;industrial_engineering;chemistry;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
185015;페루 육군 ;T2603;3;1890;1970;general_equipment;artillery;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
