ROM;Name;Pic Name;Skill;Start Year;End Year;Speciality1;Speciality2;Speciality3;Speciality4;Speciality5;Speciality6;Speciality7;Speciality8;Speciality9;Speciality10;Speciality11;Speciality12;Speciality13;Speciality14;Speciality15;Speciality16;Speciality17;Speciality18;Speciality19;Speciality20;Speciality21;Speciality22;Speciality23;Speciality24;Speciality25;Speciality26;Speciality27;Speciality28;Speciality29;Speciality30;Speciality31;Speciality32;x
110001;스테우아 로마나 정유공장 ;T2901;4;1897;1970;chemistry;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
110002;UDR 공장 ;T2902;4;1900;1970;mechanics;artillery;training;chemistry;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
110003;IAR ;T2903;6;1925;1970;aeronautics;fighter_design;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
110004;말락사 작업장 ;T2904;5;1930;1970;chemistry;industrial_engineering;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
110005;CMC 금속 공장 ;T2906;4;1930;1970;artillery;general_equipment;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
110006;MAN ;T2907;6;1930;1970;industrial_engineering;mechanics;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
110007;에마노일 이오네스쿠 ;T2908;6;1944;1970;bomber_tactics;combined_arms_focus;fighter_tactics;training;piloting;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
110008;게오르게 지에네스쿠 ;T2909;4;1923;1946;fighter_tactics;bomber_tactics;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
110009;호랴 마첼라류 ;T2910;2;1930;1946;submarine_tactics;naval_training;seamanship;centralized_execution;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
110010;이온 안토네스쿠 ;T2911;5;1916;1946;large_unit_tactics;centralized_execution;combined_arms_focus;individual_courage;infantry_focus;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
110011;미하일 라스칼 ;T2912;6;1939;1950;small_unit_tactics;decentralized_execution;infantry_focus;individual_courage;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
110012;앙리 코안다 ;T2913;5;1930;1970;rocketry;aeronautics;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
110013;부쿠레슈티 종합대학 ;T2914;3;1864;1970;mechanics;chemistry;electronics;mathematics;medicine;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
110014;루마니아 국방부 ;T2915;4;1858;1970;large_unit_tactics;centralized_execution;small_taskforce_tactics;fighter_tactics;piloting;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
110015;루마니아 산악 보병사단 ;100847;3;1917;1970;mountain_training;small_unit_tactics;artillery;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
110016;레오니다 작업장 ;100429;3;1930;1970;mechanics;artillery;technical_efficiency;chemistry;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
110017;부쿠레슈티 육군 병기창 ;100430;3;1914;1970;mechanics;general_equipment;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
110018;콘스탄차 조선소 ;100431;3;1892;1970;naval_engineering;naval_artillery;submarine_design;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
110019;SET ;100432;4;1923;1970;aeronautics;mechanics;artillery;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
110020;니콜라에 말락사 공장 ;100433;5;1921;1970;industrial_engineering;electronics;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
110021;체르체즈 & 컴퍼니 ;100434;3;1910;1970;aeronautics;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
110022;루마니아 국립 철도 관리청 ;100435;2;1880;1970;general_equipment;mechanics;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
110023;트르고비슈테 육군 무기공장 ;100436;4;1890;1970;general_equipment;artillery;training;chemistry;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
110024;알렉산드루 아베레스쿠 ;100271;7;1894;1919;centralized_execution;small_unit_tactics;individual_courage;cavalry_tactics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
