SER;Name;Pic Name;Skill;Start Year;End Year;Speciality1;Speciality2;Speciality3;Speciality4;Speciality5;Speciality6;Speciality7;Speciality8;Speciality9;Speciality10;Speciality11;Speciality12;Speciality13;Speciality14;Speciality15;Speciality16;Speciality17;Speciality18;Speciality19;Speciality20;Speciality21;Speciality22;Speciality23;Speciality24;Speciality25;Speciality26;Speciality27;Speciality28;Speciality29;Speciality30;Speciality31;Speciality32;x
415001;베오그라드 대학 ;100297;3;1905;1970;medicine;electronics;chemistry;mathematics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
415002;이카루스 ;T3800;4;1923;1946;aeronautics;bomber_design;avionics;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
415003;IAM ;T3801;3;1927;1970;industrial_engineering;mechanics;technical_efficiency;aeronautics;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
415004;아드리아 조선소 ;T3802;3;1927;1970;naval_engineering;technical_efficiency;naval_artillery;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
415005;메모란둠 텔레옵티크 ;T3803;5;1922;1970;industrial_engineering;electronics;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
415006;미크론 ;T3804;4;1931;1970;industrial_engineering;electronics;mechanics;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
415007;세르비아 국영 철도 ;100298;3;1881;1970;mechanics;technical_efficiency;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
415008;토폴리브니카 크라구예바츠 ;T3812;4;1853;1945;general_equipment;mechanics;artillery;munitions;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
415009;로고잘스키 ;100299;3;1924;1946;aeronautics;technical_efficiency;management;fighter_design;bomber_design;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
415010;ZMAJ;T3807;4;1927;1946;naval_engineering;aeronautics;fighter_design;avionics;aircraft_Testing;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
415011;베오그라드 육군 사관학교 ;100882;3;1850;1970;centralized_execution;decentralized_execution;large_unit_tactics;infantry_focus;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
415013;베오그라드 조선소 ;100301;3;1908;1970;naval_engineering;technical_efficiency;naval_artillery;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
415014;라도미르 푸트니크 ;100302;5;1906;1917;centralized_execution;large_unit_focus;large_unit_tactics;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
415015;지보인 미시치 ;100303;5;1912;1921;decentralized_execution;infantry_focus;individual_courage;small_unit_tactics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
415016;사티드 스메데레보 ;100304;4;1913;1930;industrial_engineering;mechanics;general_equipment;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
415017;바루타나 오빌리체보 ;100305;4;1890;1930;general_equipment;chemistry;munitions;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
415019;페타르 보조비치 ;100307;4;1916;1945;centralized_execution;infantry_focus;small_unit_tactics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
415020;브란코 뷰코사블제비치 ;100308;2;1916;1919;fighter_tactics;piloting;individual_courage;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
415021;코스타 밀레틱 ;100309;2;1912;1921;aircraft_testing;piloting;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
415022;미하일로 페트로비치 알라스 ;100468;3;1894;1943;mathematics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
415023;이카루스 ;T3800;5;1946;1962;aeronautics;avionics;bomber_design;fighter_design;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
415024;세르비아 국영 철도 ;100300;5;1970;1999;mechanics;electronics;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
415025;자스타바 병기창 ;T3812;5;1945;1999;general_equipment;mechanics;artillery;munitions;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
415026;세르비아 항공 사령부 ;100306;2;1912;1921;training;piloting;individual_courage;aeronautics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
