SIA;Name;Pic Name;Skill;Start Year;End Year;Speciality1;Speciality2;Speciality3;Speciality4;Speciality5;Speciality6;Speciality7;Speciality8;Speciality9;Speciality10;Speciality11;Speciality12;Speciality13;Speciality14;Speciality15;Speciality16;Speciality17;Speciality18;Speciality19;Speciality20;Speciality21;Speciality22;Speciality23;Speciality24;Speciality25;Speciality26;Speciality27;Speciality28;Speciality29;Speciality30;Speciality31;Speciality32;x
290001;루앙 필분송크람 ;T9100;3;1930;1957;individual_courage;infantry_focus;centralized_execution;small_unit_tactics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
290002;시암 해군 ;T9101;3;1900;1970;small_taskforce_tactics;naval_training;centralized_execution;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
290003;루앙 카지송크람 ;T9102;4;1942;1960;bomber_tactics;piloting;training;centralized_execution;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
290004;루앙 신투송크람차이 ;T9103;2;1930;1944;fighter_tactics;piloting;training;centralized_execution;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
290005;방콕 조선소 ;T6;3;1900;1970;naval_engineering;technical_efficiency;naval_artillery;electronics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
290006;방콕 병기창 ;100004;4;1900;1970;mechanics;artillery;training;general_equipment;munitions;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
290007;시암 왕립 공군 ;T6401;4;1930;1970;aeronautics;artillery;mechanics;avionics;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
290008;시암 시멘트 ;T10504;5;1900;1970;industrial_engineering;chemistry;mechanics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
290009;시암 전기회사 ;T2704;5;1900;1970;industrial_engineering;electronics;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
290010;탐마삿 대학교 ;T9109;3;1900;1970;mechanics;chemistry;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
290011;사릿 다나라자타 ;T9110;4;1957;1970;individual_courage;infantry_focus;centralized_execution;small_unit_tactics;piloting;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
290012;태국 중앙은행 ;T9111;2;1943;1970;industrial_engineering;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
