SIB;Name;Pic Name;Skill;Start Year;End Year;Speciality1;Speciality2;Speciality3;Speciality4;Speciality5;Speciality6;Speciality7;Speciality8;Speciality9;Speciality10;Speciality11;Speciality12;Speciality13;Speciality14;Speciality15;Speciality16;Speciality17;Speciality18;Speciality19;Speciality20;Speciality21;Speciality22;Speciality23;Speciality24;Speciality25;Speciality26;Speciality27;Speciality28;Speciality29;Speciality30;Speciality31;Speciality32;x
520001;차플리긴 시베리아 과학 항공역학 연구소 ;T13100;7;1941;1970;aeronautics;electronics;chemistry;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
520002;치칼로프 항공 산업 ;T13101;5;1930;1970;aeronautics;avionics;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
520003;이르쿠츠크 항공 산업 협회 ;T13102;5;1930;1970;avionics;fighter_design;rocketry;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
520004;니즈니 타길 공장 ;T3712;4;1900;1970;mechanics;technical_efficiency;industrial_engineering;artillery;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
520005;노보시비르스크 전기공학 기관 ;T13104;4;1950;1970;management;electronics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
520006;노보시비르스크 국립 주석 공장 ;T10504;3;1900;1970;industrial_engineering;general_equipment;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
520007;노보시비르스크 광산공학 ;T10504;4;1900;1970;chemistry;management;industrial_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
520008;노보시비르스크 라디오 부품 공장 ;T13107;4;1900;1970;electronics;mechanics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
520009;옴스크 기관 설계 부서 ;T13108;4;1900;1970;munitions;mechanics;vehicle_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
520010;PO 시브셀마쉬 ;T13109;5;1900;1970;management;industrial_engineering;artillery;general_equipment;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
520011;울란우데 항공기 공장 ;T13110;5;1900;1970;aeronautics;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
520012;시베리아 사관학교 ;T10401;4;1900;1970;centralized_execution;decentralized_execution;large_unit_tactics;infantry_focus;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
