SLO;Name;Pic Name;Skill;Start Year;End Year;Speciality1;Speciality2;Speciality3;Speciality4;Speciality5;Speciality6;Speciality7;Speciality8;Speciality9;Speciality10;Speciality11;Speciality12;Speciality13;Speciality14;Speciality15;Speciality16;Speciality17;Speciality18;Speciality19;Speciality20;Speciality21;Speciality22;Speciality23;Speciality24;Speciality25;Speciality26;Speciality27;Speciality28;Speciality29;Speciality30;Speciality31;Speciality32;x
280001;두브니차 기계 공장 ;T1103;7;1910;1970;mechanics;training;electronics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
280002;얀 골리안 ;T4102;5;1942;1942;large_unit_tactics;centralized_execution;combined_arms_focus;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
280003;초메니우스 대학교 ;T4103;3;1930;1970;mechanics;chemistry;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
280004;슬로바키아 방위성 ;T4104;4;1900;1970;aeronautics;electronics;artillery;general_equipment;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
280005;아폴로 정유소 ;100310;4;1920;1970;industrial_engineering;chemistry;management;mechanics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
280006;포바슈스카 비스트리차 항공기 ;T1604;5;1935;1970;aeronautics;chemistry;electronics;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
280007;포브레조바 제철소 ;100311;3;1900;1970;industrial_engineering;technical_efficiency;mechanics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
280008;디나미트 노벨 슬로바키아 ;100312;4;1930;1970;chemistry;general_equipment;industrial_engineering;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
280009;페르디난트 차틀로스 ;100313;5;1930;1970;large_unit_tactics;training;large_unit_focus;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
280010;유르 흐로네츠 ;100314;7;1920;1970;mathematics;industrial_engineering;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
280011;코마르노 조선소 ;100315;2;1920;1970;naval_engineering;naval_artillery;mechanics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
280012;루돌프 보지크 ;100316;4;1940;1970;piloting;fighter_tactics;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
