TEX;Name;Pic Name;Skill;Start Year;End Year;Speciality1;Speciality2;Speciality3;Speciality4;Speciality5;Speciality6;Speciality7;Speciality8;Speciality9;Speciality10;Speciality11;Speciality12;Speciality13;Speciality14;Speciality15;Speciality16;Speciality17;Speciality18;Speciality19;Speciality20;Speciality21;Speciality22;Speciality23;Speciality24;Speciality25;Speciality26;Speciality27;Speciality28;Speciality29;Speciality30;Speciality31;Speciality32;x
780001;컨베어 ;T13800;6;1943;1970;aeronautics;bomber_design;avionics;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
780002;블리스 요새 방공기관 ;T13801;6;1942;1970;artillery;electronics;munitions;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
780003;강철 기업 연합 ;T13802;5;1941;1970;naval_engineering;naval_artillery;technical_efficiency;artillery;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
780004;휴스턴 조선 기업 ;T13803;6;1900;1970;naval_engineering;naval_artillery;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
780005;험블 석유 정제 회사 ;T13804;7;1900;1970;industrial_engineering;chemistry;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
780006;론 스타 항공사 ;T13805;6;1920;1970;aeronautics;fighter_design;aircraft_testing;mechanics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
780007;서던퍼시픽 철도 회사 ;T13806;5;1900;1970;mechanics;industrial_engineering;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
780008;텍사스 & 퍼시픽 철도 회사 ;T13807;6;1900;1970;mechanics;industrial_engineering;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
780009;텍사스 A&M 대학교 ;T13808;5;1900;1970;mechanics;chemistry;training;small_unit_tactics;decentralized_execution;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
780010;텍사스 석유 회사 ;T118;8;1900;1970;industrial_engineering;chemistry;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
780011;텍사스 대학교 ;T13810;4;1900;1970;mechanics;management;chemistry;mathematics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
780012;화이트샌드 시험장 ;T13811;6;1900;1970;rocketry;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
780013;후드 요새 ;T13812;7;1900;1970;infantry_focus;centralized_execution;combined_arms_focus;training;artillery;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
780014;휴스턴 해군기지 ;T13803;6;1900;1970;submarine_tactics;carrier_tactics;large_taskforce_tactics;seamanship;naval_training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
780015;코퍼스 크리스티 해군 항공대 비행장 ;T13814;5;1920;1970;fighter_tactics;piloting;aeronautics;decentralized_execution;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
780016;샌 안토니오 항공 사관생도 기관 ;T13815;5;1940;1970;centralized_execution;bomber_tactics;fighter_tactics;combined_arms_focus;piloting;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
780017;에드윈 앤더슨 워커 ;100622;4;1944;1970;centralized_execution;combined_arms_focus;training;small_unit_tactics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
780018;더글라스 커리건 ;100623;5;1934;1950;mechanics;aeronautics;aircraft_testing;piloting;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
780019;오디 레온 머피 ;100624;5;1950;1970;decentralized_execution;infantry_focus;individual_courage;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
