TRA;Name;Pic Name;Skill;Start Year;End Year;Speciality1;Speciality2;Speciality3;Speciality4;Speciality5;Speciality6;Speciality7;Speciality8;Speciality9;Speciality10;Speciality11;Speciality12;Speciality13;Speciality14;Speciality15;Speciality16;Speciality17;Speciality18;Speciality19;Speciality20;Speciality21;Speciality22;Speciality23;Speciality24;Speciality25;Speciality26;Speciality27;Speciality28;Speciality29;Speciality30;Speciality31;Speciality32;x
785001;아비아드비가텔 ;T14700;5;1939;1970;aeronautics;fighter_design;avionics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
785002;첼랴빈스크 트랙터 공장 ;T14701;5;1900;1970;mechanics;industrial_engineering;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
785003;첼랴빈스크 65호 ;T14702;4;1942;1970;nuclear_physics;nuclear_engineering;chemistry;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
785004;이젭스크 전기기계 공장 ;T14703;5;1945;1970;mechanics;electronics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
785005;이젭스크 군수품 및 강철 공장 ;T14704;7;1930;1970;mechanics;artillery;general_equipment;munitions;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
785006;쿠르간마시자보드 ;T14705;6;1939;1970;mechanics;artillery;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
785007;니즈니 타길 공장 ;T3712;4;1900;1970;mechanics;chemistry;technical_efficiency;industrial_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
785008;스베르들로프스크 44호 ;T14702;4;1944;1970;nuclear_physics;nuclear_engineering;chemistry;industrial_engineering;mathematics;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
785009;우랄바곤자보드 ;T14708;6;1936;1970;mechanics;artillery;technical_efficiency;general_equipment;industrial_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
785010;보트킨스키 쟈보드 협회 ;T14709;6;1900;1970;industrial_engineering;mechanics;chemistry;artillery;general_equipment;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
785011;첼랴빈스크 사관학교 ;T10401;4;1900;1970;large_unit_tactics;infantry_focus;combined_arms_focus;centralized_execution;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
785012;트란스우랄 공군 사관학교 ;T10402;3;1930;1970;centralized_execution;bomber_tactics;fighter_tactics;piloting;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
