TUR;Name;Pic Name;Skill;Start Year;End Year;Speciality1;Speciality2;Speciality3;Speciality4;Speciality5;Speciality6;Speciality7;Speciality8;Speciality9;Speciality10;Speciality11;Speciality12;Speciality13;Speciality14;Speciality15;Speciality16;Speciality17;Speciality18;Speciality19;Speciality20;Speciality21;Speciality22;Speciality23;Speciality24;Speciality25;Speciality26;Speciality27;Speciality28;Speciality29;Speciality30;Speciality31;Speciality32;x
45001;골추크 조선소 ;T3500;4;1900;1970;naval_engineering;technical_efficiency;naval_artillery;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
45002;이스탄불 발데 조선소 ;T3501;5;1900;1970;naval_engineering;technical_efficiency;naval_artillery;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
45003;KTF ;T3502;4;1932;1970;aeronautics;bomber_design;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
45004;MKEK ;T3503;5;1900;1970;chemistry;mathematics;general_equipment;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
45005;THK ;T3504;4;1925;1970;aeronautics;fighter_design;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
45006;터키 정유 회사 ;T3505;3;1925;1970;industrial_engineering;chemistry;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
45007;터키 공군 사관학교 ;T3506;4;1900;1970;fighter_tactics;bomber_tactics;piloting;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
45008;에르칸 가탈리 ;T3507;3;1939;1970;bomber_tactics;training;piloting;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
45009;페브지 차크마크 ;T3508;4;1900;1945;large_unit_tactics;centralized_execution;infantry_focus;individual_courage;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
45010;터키 해군 사관학교 ;T3509;4;1900;1970;large_taskforce_tactics;naval_training;seamanship;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
45011;메흐메트 알리 윙겐 ;T3510;5;1930;1970;centralized_execution;large_taskforce_tactics;naval_training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
45012;메흐메트 누리 야무트 ;T3511;4;1930;1961;small_unit_tactics;centralized_execution;combined_arms_focus;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
45013;이스탄불 군수 공장 ;T1103;4;1900;1970;artillery;mechanics;general_equipment;munitions;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
45014;이스탄불 대학교 ;T3513;4;1900;1970;mechanics;chemistry;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
